"LA BELLE MO - ADM QUINCY - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.43,-0.2075,-0.3525,-0.0875,-0.1525,-0.01
2,-0.55,-0.3,-0.005,-0.09,-0.2125,-0.0125
3,-0.655,-0.3175,-0.4925,-0.09,,-0.05
4,-0.62,-0.37,-0.475,-0.09,-0.2225,-0.14
5,-0.5175,-0.36,-0.3875,-0.0975,-0.13,-0.0025
6,-0.485,-0.3725,-0.3775,-0.1,-0.1375,-0.14
7,-0.485,-0.4225,-0.3425,-0.105,-0.0075,-0.1425
8,-0.435,-0.36,-0.3475,-0.1175,-0.0775,-0.1325
9,-0.54,-0.5225,-0.4275,-0.114,-0.1125,-0.135
10,-0.45,-0.5825,-0.4275,-0.1175,-0.1475,-0.23
11,-0.395,-0.5675,-0.38,-0.145,-0.12,-0.1725
12,-0.495,-0.62,-0.3488,-0.1613,-0.0375,-0.06
13,-0.4675,-0.4225,-0.3325,-0.23,-0.0375,-0.1525
14,-0.45,-0.3575,-0.2775,-0.2175,-0.075,-0.1625
15,-0.45,-0.3975,-0.2825,-0.0975,-0.04,-0.0875
16,-0.4225,-0.335,-0.2275,-0.24,0.0000,-0.1163
17,-0.4475,-0.34,-0.3125,-0.33,-0.105,-0.0625
18,-0.4475,-0.3575,-0.2225,-0.3725,0.0575,0.1525
19,-0.465,-0.3675,-0.196,-0.4025,0.0775,0.0675
20,-0.4825,-0.3813,-0.2163,-0.275,0.0100,0.0700
21,-0.4375,-0.4225,-0.1475,-0.2675,0.1375,-0.075
22,-0.42,-0.4,-0.2275,-0.3075,0.0650,-0.085
23,-0.3925,-0.355,-0.2475,-0.27,0.0800,-0.14
24,-0.3925,-0.305,-0.19,-0.14,0.0025,0.0125
25,-0.3475,-0.3025,-0.2875,,0.0625,0.8525
26,-0.255,-0.32,-0.4475,-0.1175,0.2825,0.7950
27,-0.245,-0.3925,-0.3275,-0.0525,0.0575,0.4975
28,-0.335,-0.4075,-0.2175,-0.0075,0.1263,0.3775
29,-0.5,-0.515,-0.24,-0.485,0.4125,1.4050
30,-0.495,-0.5475,-0.16,-0.005,0.1250,1.2450
31,-0.325,-0.525,0.2125,-0.015,0.0650,1.1325
32,-0.3775,-0.5625,-0.19,-0.0987,0.2600,0.8925
33,-0.575,-0.69,-0.39,-0.055,,1.2100
34,-0.615,-0.64,-0.485,-0.1475,-0.0425,0.4625
35,-0.6475,-0.69,-0.52,-0.085,0.0775,1.7050
36,-0.6125,-0.64,-0.695,-0.465,-0.2037,-0.3375
37,,-0.665,,,-0.14,-0.5375
38,,-0.5425,,,-0.085,-0.29
39,,-0.5875,,,-0.18,-0.305
40,,-0.6113,,,-0.145,-0.5237
41,,-0.685,-0.6025,-0.675,-0.13,-0.5525
42,,-0.405,-0.595,-0.67,-0.0875,-0.5375
43,,-0.69,-0.3725,-0.4375,-0.0775,-0.4775
44,,-0.695,-0.4638,-0.4875,-0.0625,-0.28
45,,-0.595,-0.3875,-0.43,-0.0725,-0.2125
46,,-0.64,-0.3725,-0.34,-0.0875,-0.24
47,,-0.48,-0.29,-0.3375,-0.045,-0.26
48,,-0.48,-0.265,-0.3375,-0.0563,-0.3275
