"LA GRANGE MO - BUNGE COOP - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.52,,,-0.0675,-0.2025,-0.03
2,,,,-0.11,-0.2125,-0.0325
3,-0.615,,,-0.07,-0.195,-0.03
4,-0.585,-0.4525,-0.3175,-0.07,-0.1825,-0.11
5,-0.5375,-0.44,,-0.0775,-0.11,0.0075
6,-0.465,-0.5825,,-0.02,0.0325,-0.12
7,-0.475,-0.4125,-0.3275,-0.025,0.0625,-0.0425
8,-0.485,-0.4075,-0.3075,-0.0975,0.0325,-0.1125
9,,-0.39,-0.28,-0.064,-0.0725,-0.075
10,,-0.3025,-0.2438,-0.0075,-0.0375,-0.24
11,-0.335,,,-0.045,-0.1,-0.1125
12,,-0.3575,,-0.0912,0.0625,0.0200
13,,-0.275,-0.1625,-0.14,0.0325,-0.0525
14,,-0.32,-0.1075,-0.1375,-0.025,-0.0425
15,,-0.2775,,-0.0475,0.0100,0.0325
16,,-0.2275,-0.1925,-0.17,0.0750,-0.0112
17,,-0.2763,-0.126,-0.32,0.1550,0.0675
18,,-0.3925,-0.1063,-0.3925,0.1975,0.1425
19,,-0.26,-0.1775,-0.3225,0.1675,0.1975
20,,-0.265,-0.1875,-0.155,0.1800,-0.05
21,,-0.215,-0.2375,-0.0875,0.1075,-0.075
22,,-0.1625,-0.14,-0.1975,0.0950,-0.075
23,,,-0.2275,-0.2,0.0700,-0.14
24,,,-0.3275,-0.07,0.0225,-0.0175
25,,-0.3475,-0.1675,-0.085,-0.0475,0.7325
26,,-0.455,-0.1175,-0.1075,0.2125,0.7350
27,,,,-0.0325,-0.0925,0.1075
28,,-0.475,,0.0525,-0.1488,-0.4175
29,,-0.6225,-0.1575,0.1250,0.0225,0.6650
30,,,,0.1350,0.1050,0.8050
31,-0.315,,,0.0250,0.1650,0.7425
32,,-0.9,,-0.0187,0.2000,-0.7375
33,,-0.8,,-0.115,-0.11,-0.12
34,,-0.685,-0.575,-0.1675,-0.0925,-0.0475
35,-0.5175,-0.6025,-0.5725,-0.155,-0.0825,-0.085
36,-0.4625,-0.6475,-0.4425,-0.275,-0.1187,-0.2175
37,-0.3475,-0.5862,-0.4325,-0.3175,-0.08,-0.6175
38,-0.3375,-0.455,-0.525,-0.325,-0.045,-0.2
39,-0.31,,-0.4625,-0.345,-0.07,-0.145
40,-0.2675,-0.36,-0.455,-0.55,-0.035,-0.2288
41,,-0.405,-0.3225,-0.465,0.0300,-0.2325
42,,-0.465,-0.3088,-0.26,0.1225,-0.1575
43,,-0.58,,-0.2175,0.0525,-0.1575
44,,-0.52,,-0.2825,0.0975,-0.08
45,,-0.43,,-0.23,0.0675,0.0175
46,,,,-0.22,0.0025,-0.07
47,,,,-0.2475,-0.015,-0.17
48,,,,-0.2275,-0.0613,-0.2575
