"LAREDO    MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.9,-0.7075,-0.8525,-0.4475,-0.6625,-0.32
2,-0.9,-0.8,-0.805,-0.45,-0.6525,-0.3525
3,-0.905,-0.7975,-0.9025,-0.45,-0.675,-0.38
4,-0.9,-0.75,-0.905,-0.45,-0.6325,-0.395
5,-0.9475,-0.75,-0.8975,-0.4475,-0.59,-0.1125
6,-0.955,-0.7525,-0.8975,-0.45,-0.5275,-0.47
7,-0.895,-0.7525,-0.9025,-0.405,-0.4975,-0.5925
8,-0.805,-0.75,-0.8475,-0.3975,-0.4975,-0.5225
9,-0.8,-0.8525,-0.9575,-0.444,-0.5825,-0.635
10,-0.8,-0.8525,-0.9475,-0.4475,-0.5375,-0.63
11,-0.805,-0.8475,-0.9,-0.445,-0.49,-0.5425
12,-0.805,-0.85,-0.8738,-0.4763,-0.4875,-0.39
13,-0.7975,-0.9025,-0.8525,-0.5,-0.4575,-0.2625
14,-0.75,-0.7975,-0.7975,-0.4975,-0.415,-0.3425
15,-0.75,-0.7975,-0.8025,-0.4675,-0.46,-0.3075
16,-0.7525,-0.805,-0.6975,-0.65,-0.4,-0.3512
17,-0.8975,-0.95,-0.8525,-0.65,-0.415,-0.1925
18,-0.6975,-0.9375,-0.7525,-0.7025,-0.4125,-0.1875
19,-0.695,,-0.696,-0.7025,-0.3725,-0.1125
20,-0.7525,-0.6513,-0.6513,-0.695,-0.36,-0.19
21,-0.8475,-0.7025,-0.7475,-0.6975,-0.2825,-0.495
22,-0.85,-0.6,-0.6475,-0.6475,-0.285,-0.465
23,-0.8525,-0.605,-0.5475,-0.7,-0.26,-0.36
24,-0.8525,-0.595,-0.55,-0.645,-0.2575,-0.3775
25,-0.7975,-0.6025,-0.5975,-0.555,-0.3575,0.4325
26,-0.805,-0.6,-0.6475,-0.5975,-0.1875,0.2450
27,-0.755,-0.6025,-0.6475,-0.5325,-0.3025,0.3175
28,-0.75,-0.5975,-0.6475,-0.4875,-0.3088,0.1825
29,-0.72,-0.695,-0.83,-0.435,-0.1675,1.0450
30,-0.725,-0.7075,-0.63,-0.395,-0.045,0.9950
31,-0.725,-0.735,-0.6675,-0.395,-0.065,0.5925
32,-0.7175,-0.7275,-0.635,-0.4637,0.0400,1.3325
33,-0.945,-0.9,-0.75,-0.245,-0.16,1.9500
34,-0.855,-0.9,-0.745,-0.2975,-0.2525,0.0025
35,-0.8475,-0.9,-0.75,-0.295,-0.4625,-0.005
36,-0.8525,-0.9,-0.755,-0.555,-0.5238,-0.5975
37,-0.8975,-0.905,-0.8025,-0.5975,-0.55,-0.8975
38,-0.8975,-0.8525,-0.8025,-0.695,-0.495,-0.9
39,-0.85,-0.8475,-0.8025,-0.695,-0.5,-0.845
40,-0.8475,-0.9013,-0.795,-0.83,-0.505,-0.8937
41,,-0.955,-0.9525,-0.945,-0.42,-0.9325
42,,-0.645,-0.905,-0.95,-0.3475,-0.8575
43,,-0.65,-0.9025,-0.9475,-0.3975,-0.7475
44,,-0.655,-0.8988,-0.9525,-0.4525,-0.75
45,,-0.755,-0.6975,-0.85,-0.4525,-0.7425
46,,-0.7,-0.7025,-0.85,-0.4775,-0.75
47,,-0.75,-0.7,-0.8475,-0.445,-0.7
48,,-0.75,-0.695,-0.8475,-0.4463,-0.6675
