"LAWSON MO - MFA - Soybeans Basis"
"Week
","2018
","2017
","2016
","2015
","2014
"
1,,-0.7525,-0.2575,-0.4225,-0.08
2,-0.6975,-0.745,,-0.4725,-0.0025
3,-0.625,-0.8225,-0.25,-0.355,-0.1
4,-0.5,-0.805,-0.25,-0.3025,-0.085
5,-0.5025,-0.7775,-0.2575,,0.0875
6,-0.5025,-0.7975,,-0.1975,-0.2
7,-0.5,-0.8025,-0.355,-0.1575,-0.3025
8,,-0.7975,-0.2575,-0.1475,-0.2525
9,,-0.8475,-0.304,-0.3025,-0.355
10,,-0.8475,-0.3075,-0.2475,-0.25
11,,-0.85,-0.305,-0.2,-0.2025
12,,-0.7488,-0.3513,-0.1875,-0.02
13,,-0.6525,,-0.1475,-0.0025
14,-0.5475,-0.6475,-0.3675,-0.205,-0.0325
15,-0.555,-0.6025,-0.3075,-0.15,-0.0275
16,,-0.5475,-0.52,-0.395,-0.0313
17,,-0.6525,-0.52,-0.045,0.1475
18,,-0.5525,-0.5225,0.0575,0.1225
19,,-0.496,-0.5025,-0.0825,0.1675
20,,-0.5013,-0.495,-0.03,0.1500
21,,-0.4475,-0.4575,-0.0025,-0.155
22,,-0.4475,-0.6475,-0.005,-0.135
23,,-0.3975,-0.55,0.0000,-0.02
24,,-0.4,-0.47,0.0425,0.0125
25,,-0.4475,-0.445,-0.1875,0.6825
26,,-0.5475,-0.4475,0.1625,0.6450
27,,-0.5475,-0.4625,-0.0525,0.6475
28,,-0.5475,-0.3375,-0.2137,0.6275
29,,-0.5,-0.335,0.5825,1.2850
30,,-0.5,-0.295,0.5750,1.3750
31,,-0.5375,-0.295,0.1950,1.3325
32,,-0.505,-0.3638,0.2200,2.5825
33,,,-0.015,,3.2000
34,,,-0.0175,,
35,,,-0.015,,-0.645
36,-0.695,-0.755,-0.595,-0.2338,-0.6475
37,-0.7025,-0.7525,-0.5975,-0.3,-0.6475
38,-0.6975,-0.7525,-0.595,-0.355,-0.65
39,-0.7025,-0.7025,-0.655,-0.4,-0.655
40,,-0.695,-0.7,-0.355,-0.7738
41,,-1.0025,-0.905,-0.32,-0.7225
42,,-0.905,-0.98,-0.2075,-0.9475
43,,-0.8025,-0.9775,-0.0975,-0.8475
44,,-0.7488,-0.9825,-0.2525,-0.55
45,,-0.7475,-0.75,-0.2525,-0.5525
46,,-0.7525,-0.75,-0.3075,-0.55
47,,-0.75,-0.7475,-0.235,-0.35
48,,-0.755,-0.7475,-0.2763,-0.2975
