"LOCKWOOD MO - LOCKWOOD FARMERS EXCHANGE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.7775,-0.8225,-0.4075,-0.6325,-0.14
2,-0.945,-0.84,-0.835,-0.42,-0.6125,-0.0925
3,-1.065,-0.8475,-0.9325,-0.48,-0.605,-0.2
4,-0.9875,-0.815,-0.865,-0.49,-0.5725,-0.305
5,-0.955,-0.76,-0.8675,-0.4775,-0.64,-0.3625
6,-0.855,-0.8125,-0.8875,-0.42,-0.6375,-0.5
7,-0.855,-0.8425,-0.8625,-0.435,-0.4775,-0.2925
8,-0.98,-0.84,-0.8375,-0.3075,-0.5275,-0.5025
9,-0.97,-0.9525,-0.8575,-0.424,-0.5425,-0.535
10,-0.925,-0.8925,-0.8075,-0.5175,-0.6075,-0.47
11,-0.925,-0.9175,-0.88,-0.545,-0.57,-0.3825
12,-0.8975,-0.89,-0.7888,-0.5263,-0.5875,-0.31
13,-0.9,-0.8525,-0.7325,-0.56,-0.5775,-0.2925
14,-0.89,-0.8675,-0.7375,-0.5475,-0.435,-0.1625
15,-0.8325,-0.8675,-0.7025,-0.5575,-0.41,-0.2175
16,-0.9975,-0.875,-0.7475,-0.72,-0.425,-0.2113
17,-0.9675,-0.98,-0.8825,-0.81,-0.365,-0.1325
18,-0.905,,-0.9025,-0.8025,-0.3725,-0.1175
19,-0.8425,-0.9175,-0.896,-0.9425,-0.4125,-0.1525
20,-0.7775,-0.7863,-0.7163,-0.635,-0.41,-0.17
21,-0.9,-0.7025,-0.7075,-0.5975,-0.4625,-0.445
22,-0.9425,-0.7,-0.6975,-0.5375,-0.365,-0.445
23,-0.6825,-0.765,-0.6375,-0.52,-0.35,-0.19
24,-0.6875,-0.745,-0.63,-0.455,-0.3275,-0.3175
25,-0.685,-0.7925,,-0.445,-0.4275,0.3825
26,-0.785,-0.66,-0.7475,-0.4275,-0.2775,0.1850
27,-0.82,-0.6425,-0.7975,-0.2725,-0.4125,0.4875
28,-0.87,-0.6375,-0.8075,-0.2675,-0.4138,0.3075
29,-0.875,-0.715,-0.79,-0.335,-0.2175,1.1050
30,-0.805,-0.7675,-0.79,-0.265,-0.015,0.9450
31,-0.8575,-0.815,-0.5275,-0.235,-0.275,0.4525
32,-0.935,-0.7525,-0.505,-0.3988,-0.17,0.6625
33,-0.985,-0.83,-0.57,-0.185,-0.21,1.2900
34,-0.9775,-0.99,-0.575,-0.1675,-0.2125,1.3125
35,-1.0425,-0.93,-0.62,-0.315,-0.3725,0.4050
36,-1.2875,-1,-0.785,-0.505,-0.3088,-0.3875
37,-1.3875,-1.045,-0.9525,-0.8475,-0.6,-0.9275
38,-1.43,-1.0225,-0.9325,-0.835,0.1450,-0.93
39,-1.4875,-1.0275,-0.9125,-0.795,-0.73,-0.945
40,,-1.0313,-0.915,-0.86,-0.555,-0.9788
41,,-1.065,-1.0025,-1.035,-0.53,-0.9825
42,,-0.985,-1.025,-1.02,-0.4575,-0.8675
43,,-1,-0.9825,-0.9375,-0.4075,-0.8775
44,,-0.965,-0.9338,-0.9125,-0.4525,-0.85
45,,-0.985,-0.9075,-0.88,-0.4325,-0.7325
46,,-0.91,-0.8925,-0.86,-0.4775,-0.66
47,,-0.91,-0.89,-0.8275,-0.405,-0.69
48,,-0.88,-0.915,-0.7675,-0.4463,-0.8625
