"MACON MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.78,-0.4475,-0.5725,-0.2175,-0.4525,-0.16
2,-0.8,-0.5,-0.495,-0.22,-0.4225,-0.2025
3,-0.845,-0.4975,-0.6525,-0.22,-0.395,-0.22
4,-0.835,-0.59,-0.645,-0.22,-0.4225,-0.33
5,-0.7175,-0.6,-0.5375,-0.2375,-0.39,-0.2025
6,-0.725,-0.5925,-0.5675,-0.24,-0.2675,-0.34
7,-0.725,-0.6425,-0.5125,-0.245,-0.2575,-0.3425
8,-0.685,-0.58,-0.5175,-0.2575,-0.2975,-0.3225
9,-0.76,-0.7225,-0.7075,-0.274,-0.3425,-0.325
10,-0.67,-0.7625,-0.5975,-0.2975,-0.3375,-0.35
11,-0.615,-0.7675,-0.54,-0.305,-0.32,-0.4225
12,-0.665,-0.77,-0.5188,-0.4113,-0.2275,-0.25
13,-0.6975,-0.6225,-0.5025,-0.44,-0.2275,-0.3025
14,-0.67,-0.5775,-0.4475,-0.3975,-0.255,-0.3425
15,-0.68,-0.5975,-0.4525,-0.3275,-0.28,-0.3375
16,-0.6225,-0.545,-0.3975,-0.46,-0.22,-0.3463
17,-0.6675,-0.58,-0.4825,-0.52,-0.255,-0.2425
18,-0.6675,-0.5975,-0.4425,-0.5525,-0.1525,-0.0375
19,-0.675,-0.5475,-0.396,-0.5825,-0.1825,-0.1425
20,-0.6325,-0.5813,-0.4013,-0.495,-0.15,-0.15
21,-0.6275,-0.6025,-0.3175,-0.3975,-0.1425,-0.275
22,-0.56,-0.6,-0.3975,-0.4675,-0.155,-0.285
23,-0.5325,-0.535,-0.4275,-0.45,-0.15,-0.34
24,-0.5525,-0.515,-0.38,-0.325,-0.0975,-0.3575
25,-0.5075,-0.5025,-0.4575,-0.275,-0.1975,0.3125
26,-0.425,-0.5,-0.6175,-0.3175,0.0125,0.1750
27,-0.465,-0.5425,-0.4975,-0.2325,-0.1225,0.1475
28,-0.52,-0.6375,-0.3975,-0.1375,-0.0437,0.0275
29,-0.59,-0.745,-0.41,-0.115,0.1925,1.0350
30,-0.625,-0.7375,-0.38,-0.145,0.0150,0.8750
31,-0.445,,-0.3375,-0.175,0.0050,0.3825
32,-0.5075,-0.7775,-0.365,-0.1038,0.1000,0.5825
33,-0.635,-0.8,-0.6,0.0050,0.0000,0.8500
34,-0.765,-0.85,-0.615,,-0.1025,-0.3475
35,-0.7775,-0.85,-0.68,,-0.1125,-0.425
36,-0.8525,-0.85,-0.855,,-0.3138,-0.6475
37,-0.7975,-0.875,-0.8025,-0.5975,-0.25,-0.6975
38,-0.6575,-0.8825,-0.7025,-0.595,-0.225,-0.45
39,-0.58,-0.7975,-0.6825,-0.655,-0.26,-0.445
40,-0.5675,-0.8513,-0.745,-0.83,-0.245,-0.6488
41,,-0.795,-0.8225,-0.875,-0.2,-0.7525
42,,-0.645,-0.695,-0.64,-0.1475,-0.6475
43,,-0.7,-0.5825,-0.5975,-0.1175,-0.7175
44,,-0.755,-0.5338,-0.6025,-0.1225,-0.49
45,,-0.775,-0.6175,-0.58,-0.1225,-0.4925
46,,-0.88,-0.6025,-0.5,-0.1675,-0.45
47,,-0.75,-0.56,-0.4975,-0.125,-0.45
48,,-0.75,-0.475,-0.4975,-0.1663,-0.2275
