"MARTINSBURG MO - FARMERS ELEVATOR - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.48,-0.3975,-0.3425,0.0225,-0.3025,
2,-0.48,-0.4,-0.345,0.0200,,0.3000
3,-0.485,,,0.0200,,
4,-0.48,-0.34,,0.0200,,-0.1225
5,-0.4775,-0.35,-0.4975,0.0025,,0.0000
6,-0.485,-0.3725,-0.4175,-0.04,-0.1475,0.0075
7,-0.485,-0.4225,-0.4225,-0.045,-0.0775,-0.1525
8,-0.485,-0.42,-0.4175,-0.0975,-0.1075,-0.235
9,-0.45,-0.5825,-0.4975,-0.094,-0.2425,-0.28
10,-0.45,-0.5225,-0.4975,-0.0975,-0.2275,-0.1725
11,-0.395,-0.5175,-0.45,-0.095,-0.15,-0.1
12,-0.405,-0.52,-0.4488,-0.1313,-0.1475,
13,-0.3975,-0.5325,-0.4025,-0.2,-0.0475,-0.1925
14,-0.4,-0.3975,-0.3975,-0.1975,-0.095,-0.1875
15,-0.4,-0.4275,-0.4025,-0.1075,-0.1,-0.1563
16,-0.4025,-0.425,-0.2475,-0.25,-0.04,-0.1225
17,-0.2975,-0.29,-0.3025,-0.3,-0.035,-0.0775
18,-0.2975,-0.2875,-0.2025,-0.3025,-0.0025,
19,-0.305,-0.2875,-0.196,-0.3525,0.0175,-0.01
20,-0.2975,-0.2913,-0.1913,-0.345,0.0500,-0.115
21,-0.3475,-0.2125,-0.1775,-0.2475,0.1075,-0.135
22,-0.35,-0.21,-0.1775,-0.2975,0.0550,-0.15
23,-0.3525,-0.215,-0.1475,-0.3,0.0600,-0.1375
24,-0.3525,-0.215,-0.15,-0.305,-0.0475,0.7125
25,-0.2375,-0.2325,-0.1975,-0.265,0.0525,0.7150
26,-0.245,-0.15,-0.3575,-0.0775,0.2925,0.4375
27,-0.245,-0.1425,-0.2775,-0.0125,0.2475,0.2275
28,-0.25,-0.1475,-0.2775,-0.0375,0.2513,1.4550
29,-0.37,-0.205,-0.31,-0.085,0.3525,0.9750
30,-0.395,-0.1975,-0.31,-0.045,0.2650,1.4825
31,-0.395,-0.195,,-0.045,0.2550,1.4325
32,-0.3875,-0.2525,-0.2,-0.1138,0.3500,2.2000
33,-0.545,-0.47,-0.35,0.1050,0.0000,1.3025
34,-0.605,-0.47,-0.345,0.0025,-0.0025,1.8050
35,-0.6175,-0.52,-0.5,-0.095,0.0875,-0.3475
36,-0.6225,-0.52,-0.605,-0.345,0.0513,-0.5975
37,-0.5975,-0.495,-0.7025,-0.3975,-0.05,-0.35
38,-0.5975,-0.5025,-0.5725,-0.395,-0.055,-0.195
39,-0.6,-0.4975,-0.5625,-0.445,-0.1,-0.4488
40,-0.5975,-0.5263,-0.625,-0.5,-0.005,
41,,-0.445,-0.6725,-0.595,-0.02,
42,,-0.445,-0.655,-0.45,0.0025,
43,,-0.45,-0.6525,-0.4475,0.0025,
44,,-0.405,-0.3988,-0.4525,0.0475,
45,,-0.305,-0.3475,-0.5,-0.0025,
46,,-0.5,-0.3525,-0.25,0.0225,-0.27
47,,-0.5,-0.35,-0.2475,0.0550,-0.2525
48,,-0.5,-0.345,-0.2475,0.0537,
