"MARYVILLE MO - CONSUMERS OIL COMPANY - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.82,-0.7275,-0.8525,-0.4175,-0.4725,-0.27
2,-0.8,,-0.845,-0.4,-0.4725,-0.2225
3,-0.795,-0.7475,-0.8825,-0.41,-0.475,-0.24
4,-0.8,-0.7325,-0.855,-0.41,-0.4225,-0.255
5,-0.8175,-0.73,-0.8575,-0.4075,-0.4,-0.1325
6,,-0.6925,-0.8675,-0.42,-0.2975,-0.39
7,-0.775,-0.7225,-0.8525,-0.425,-0.2975,-0.4725
8,-0.695,-0.74,-0.8475,-0.4275,-0.3575,-0.4225
9,-0.74,-0.8825,-0.9475,-0.454,-0.3825,-0.445
10,-0.7,-0.8825,-0.8675,-0.4475,-0.3675,-0.32
11,-0.725,,-0.89,-0.475,-0.36,-0.2725
12,-0.715,-0.83,-0.8488,-0.4913,-0.2975,-0.19
13,-0.7175,-0.7525,-0.7925,-0.47,-0.2875,-0.2225
14,-0.72,-0.6975,-0.7275,-0.5375,-0.275,-0.2225
15,-0.72,-0.6175,-0.6925,-0.5575,-0.3,-0.1275
16,-0.7225,-0.605,-0.6175,-0.68,-0.295,-0.1263
17,-0.7975,-0.6,-0.6425,-0.71,-0.285,0.0175
18,,-0.6075,-0.6625,-0.7525,-0.2825,0.0625
19,-0.695,-0.5975,-0.616,-0.6925,-0.2325,-0.1225
20,-0.6975,-0.5863,-0.6225,-0.655,-0.2,0.0000
21,-0.7175,-0.5225,-0.5875,-0.5875,-0.1225,-0.175
22,-0.72,,-0.5375,-0.6975,-0.095,-0.145
23,-0.7225,-0.425,-0.5375,-0.63,-0.12,-0.04
24,-0.7825,-0.425,-0.51,-0.655,-0.2475,-0.0075
25,-0.7775,-0.1425,,-0.485,-0.2675,0.6625
26,,-0.08,-0.6175,,,0.5750
27,-0.745,-0.5125,-0.5975,-0.4325,,0.5775
28,-0.705,-0.3675,,-0.4575,-0.2588,0.3825
29,-0.81,-0.575,-0.62,-0.405,-0.0075,1.2150
30,-0.795,-0.4875,-0.62,-0.295,0.0650,0.9050
31,-0.795,-0.065,-0.5875,-0.335,0.0350,0.9625
32,-0.8075,-0.4825,-0.505,-0.3788,0.0900,2.4625
33,-0.935,,-0.67,-0.135,-0.12,2.8800
34,-0.965,-0.86,-0.695,-0.1375,-0.2225,-0.6675
35,-0.8475,-0.69,-0.77,-0.425,-0.3425,-0.775
36,-0.8425,-1.01,-0.795,-0.715,-0.4438,-0.8275
37,-0.7975,-1.165,-0.8025,-0.7175,-0.57,-0.8175
38,-0.7975,-0.8525,-0.8025,-0.715,-0.455,-0.82
39,-0.8,,-0.7925,-0.725,-0.45,-0.775
40,-0.7475,-0.88,-0.785,-0.82,-0.435,-0.8488
41,,-0.845,-1.0125,-0.845,-0.29,-0.8025
42,,-0.765,,,-0.2675,-0.6975
43,,-0.75,-0.8525,,-0.2675,-0.6675
44,,-0.745,-0.795,-0.8225,-0.3725,-0.57
45,,-0.705,-0.7675,-0.83,-0.3725,-0.5225
46,,-0.7,-0.7625,-0.8,-0.4175,-0.49
47,,-0.7,-0.77,-0.7975,-0.395,-0.49
48,,,-0.775,-0.7875,-0.4413,-0.5075
