"MEXICO    MO - ADM - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.45,-0.0075,-0.3025,0.1225,-0.1025,0.2000
2,-0.45,-0.18,-0.305,0.1800,-0.1025,0.2475
3,-0.405,-0.1775,-0.4025,0.1300,-0.095,0.2600
4,-0.4,-0.24,-0.405,0.1300,-0.0525,0.1050
5,-0.3975,-0.24,-0.3975,0.0625,0.0500,0.2075
6,-0.405,-0.2425,-0.3975,0.0600,0.0525,0.0700
7,-0.395,-0.2425,-0.4025,0.0550,0.0725,0.0675
8,-0.305,-0.24,-0.3975,0.0525,0.0725,0.0275
9,-0.37,-0.4325,-0.3975,-0.014,-0.0525,0.0550
10,-0.25,-0.5025,-0.3975,,-0.0275,0.0000
11,-0.345,-0.4475,-0.4,0.0350,0.0500,0.0975
12,-0.385,-0.45,-0.2488,-0.0112,0.1525,0.1500
13,-0.3275,-0.4025,-0.2025,-0.02,0.1025,0.1175
14,-0.38,-0.2475,-0.1975,-0.0475,0.1050,0.0975
15,-0.33,-0.3475,-0.1725,0.0325,0.1300,0.1825
16,-0.3025,-0.305,-0.0975,-0.15,0.1700,0.1388
17,-0.2475,-0.25,-0.0225,-0.2,0.1950,0.2575
18,-0.2475,-0.1975,-0.1025,-0.2025,0.1975,0.3625
19,-0.245,-0.1975,-0.096,-0.2025,0.1975,0.2975
20,-0.2525,-0.1863,-0.0762,-0.195,0.3200,0.3000
21,-0.3175,-0.1025,-0.0475,-0.0475,0.3075,0.1450
22,-0.25,-0.14,0.0225,-0.0775,0.2550,0.1750
23,-0.2725,-0.105,0.0025,-0.08,0.2600,0.1300
24,-0.2725,0.0050,0.0400,0.0400,0.1525,0.2425
25,-0.1975,-0.0025,-0.0475,0.1150,0.2525,1.0525
26,-0.155,-0.05,0.0025,0.0725,0.5225,1.0550
27,-0.185,-0.0025,-0.0975,0.1375,0.3975,0.6975
28,-0.25,0.0025,0.0225,0.1625,0.4263,0.6075
29,-0.32,-0.215,-0.03,0.2650,0.5025,1.6850
30,-0.325,-0.1475,-0.03,0.3550,0.3650,1.4750
31,-0.325,-0.185,0.0325,0.3050,0.3450,1.6825
32,-0.3175,-0.1875,-0.01,0.3363,0.3500,1.6325
33,-0.465,-0.4,-0.25,0.4550,0.1000,2.4000
34,-0.455,,-0.395,-0.0475,0.1975,1.5025
35,-0.5375,-0.35,-0.35,0.1050,0.0875,2.0050
36,-0.4525,-0.55,-0.585,-0.245,0.1013,0.0525
37,-0.4975,-0.495,-0.5525,-0.2975,0.0500,-0.3975
38,-0.4975,-0.4025,-0.4525,-0.295,0.1550,-0.05
39,-0.5,-0.4475,-0.4525,-0.405,-0.05,0.0550
40,-0.4975,-0.4863,-0.445,-0.5,0.1450,-0.2487
41,,-0.345,-0.5525,-0.345,,-0.2525
42,,-0.415,-0.305,-0.3,,-0.1975
43,,-0.25,-0.3525,-0.2975,0.1825,-0.1975
44,,-0.275,-0.2488,-0.4025,0.1775,-0.05
45,,-0.365,-0.2175,-0.5,0.1575,-0.0025
46,,-0.44,-0.2225,-0.5,0.1325,0.0000
47,,-0.4,-0.22,-0.3975,0.1850,-0.1
48,,-0.44,-0.195,-0.2975,0.1625,-0.1225
