"MILAN     MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.95,-0.7075,-0.7525,-0.5175,-0.7025,-0.35
2,-0.95,-0.8,-0.745,-0.52,-0.7025,-0.4525
3,-0.945,-0.7975,-0.8025,-0.52,-0.675,-0.44
4,-0.95,-0.775,-0.855,-0.5,-0.7025,-0.52
5,-0.9975,-0.75,-0.8475,-0.4975,-0.66,-0.3225
6,-1.005,-0.7525,-0.7975,-0.5,-0.5575,-0.6
7,-0.895,-0.7525,-0.8025,-0.485,-0.5375,-0.6025
8,-0.845,-0.75,-0.7475,-0.4775,-0.5875,-0.6025
9,-0.85,-0.8525,-0.8575,-0.544,-0.5925,-0.595
10,-0.85,-0.8525,-0.8475,-0.5375,-0.6175,-0.65
11,-0.845,-0.8475,-0.8,-0.535,-0.56,-0.6325
12,-0.845,-0.85,-0.7738,-0.5663,-0.4575,-0.51
13,-0.8475,-0.8525,-0.7525,-0.6,-0.4775,-0.4525
14,-0.8,-0.8475,-0.7475,-0.5975,-0.505,-0.5325
15,-0.8,-0.8475,-0.7525,-0.5275,-0.52,-0.4975
16,-0.8025,-0.845,-0.6475,-0.67,-0.48,-0.5313
17,-0.8475,-0.9,-0.7925,-0.65,-0.445,-0.3025
18,-0.7475,-0.8875,-0.7025,-0.7025,-0.4025,-0.2975
19,-0.745,,-0.646,-0.7525,-0.4125,-0.2525
20,-0.7975,-0.7013,-0.6513,-0.745,-0.33,-0.27
21,-0.8475,-0.7525,-0.6475,-0.7475,-0.3225,-0.495
22,-0.85,-0.7,-0.5975,-0.5675,-0.395,-0.545
23,-0.8525,-0.695,-0.5975,-0.65,-0.35,-0.44
24,-0.8525,-0.695,-0.6,-0.575,-0.3475,-0.4575
25,-0.7975,-0.6525,-0.6475,-0.495,-0.4475,0.3625
26,-0.805,-0.65,-0.7975,-0.4975,-0.1775,0.1650
27,-0.695,-0.6525,-0.7975,-0.4625,-0.3525,0.2475
28,-0.7,-0.6475,-0.7975,-0.6375,-0.2588,0.0275
29,-0.72,-0.745,-0.78,-0.375,-0.1475,0.9650
30,-0.725,-0.7575,-0.63,-0.345,-0.125,0.9150
31,-0.725,-0.785,-0.6675,-0.395,-0.135,0.5125
32,-0.7175,-0.7775,-0.635,-0.4387,-0.04,1.3325
33,-0.895,-0.95,-0.75,-0.245,-0.2,1.9500
34,-0.855,-0.95,-0.745,-0.4475,-0.2025,0.0025
35,-0.8475,-0.95,-0.75,-0.445,-0.4625,-0.005
36,-0.8525,-0.95,-0.755,-0.655,-0.5238,-0.5975
37,-0.8475,-0.945,-0.8525,-0.6475,-0.55,-0.9475
38,-0.8475,-0.9025,-0.8525,-0.745,-0.495,-0.95
39,-0.8,-0.8975,-0.8525,-0.755,-0.4,-0.895
40,-0.7975,-0.9513,-0.845,-0.83,-0.405,-0.9438
41,,-1.005,-0.9525,-0.945,-0.42,-0.9825
42,,-0.695,-0.855,-0.95,-0.3975,-0.9075
43,,-0.7,-0.8525,-0.9475,-0.4475,-0.8475
44,,-0.695,-0.8488,-0.9525,-0.4525,-0.85
45,,-0.805,-0.6975,-0.8,-0.4525,-0.7425
46,,-0.75,-0.7025,-0.75,-0.4775,-0.7
47,,-0.8,-0.7,-0.7475,-0.445,-0.7
48,,-0.8,-0.695,-0.7475,-0.4763,-0.7375
