"MONTGOMERY CITY MO - ADM MONTGOMERY - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.62,-0.2675,-0.2625,
2,-0.55,-0.33,-0.265,
3,-0.655,-0.3375,-0.4725,
4,-0.295,-0.38,-0.395,
5,-0.5175,-0.36,-0.3875,
6,-0.525,-0.3725,-0.2875,
7,-0.435,-0.4525,-0.2325,-0.23
8,-0.305,-0.39,-0.2375,-0.2075
9,-0.39,-0.4725,-0.3775,-0.1075
10,-0.43,-0.4625,-0.3775,-0.19
11,-0.465,-0.6075,-0.37,-0.45
12,-0.585,-0.57,-0.3588,-0.3725
13,-0.5375,-0.4625,-0.4225,-0.3625
14,-0.48,-0.3975,-0.3275,-0.275
15,-0.45,-0.4375,-0.3225,-0.1675
16,-0.4525,-0.435,-0.2375,-0.2375
17,-0.4175,-0.44,-0.3225,-0.24
18,-0.3675,-0.3975,-0.3025,-0.045
19,-0.365,,-0.226,0.0350
20,-0.3525,-0.2613,-0.2463,0.0525
21,-0.3675,-0.2825,-0.3475,0.1075
22,-0.29,-0.28,-0.3375,0.1325
23,-0.2825,-0.305,-0.3475,0.0750
24,-0.2825,-0.295,-0.29,0.1250
25,-0.2775,-0.2025,-0.3075,0.1350
26,-0.195,-0.2,-0.3675,0.1063
27,-0.195,-0.2025,-0.2175,-0.025
28,-0.295,-0.1975,-0.1475,0.0625
29,,-0.275,-0.16,-0.025
30,-0.385,-0.3875,-0.1,-0.315
31,-0.235,-0.435,,-0.3275
32,-0.2275,-0.3525,-0.105,-0.355
33,-0.495,-0.85,-0.26,-0.355
34,-0.755,-0.75,-0.345,-0.44
35,-0.6475,-0.7,-0.33,-0.325
36,-0.6025,-0.85,-0.605,-0.31
37,,-0.695,-0.6625,-0.3475
38,,-0.6525,-0.5125,-0.4075
39,,-0.6475,-0.5625,-0.32
40,,-0.7213,-0.575,-0.17
41,,-0.505,-0.6525,-0.1775
42,,-0.495,-0.415,-0.1675
43,,-0.5,-0.3825,
44,,-0.445,-0.4038,
45,,-0.525,-0.4075,
46,,-0.6,-0.3925,
47,,-0.4,-0.34,
48,,-0.4,-0.345,
