"MONTGOMERY CITY MO - MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.63,-0.2775,-0.2325,-0.0075,-0.1625,0.1600
2,-0.51,-0.31,-0.265,0.0700,-0.1225,0.3075
3,,-0.3475,-0.3725,0.0700,-0.185,0.0500
4,-0.63,-0.39,-0.405,0.0600,-0.1525,-0.3
5,-0.5275,-0.36,-0.3475,-0.1275,-0.15,-0.1625
6,-0.525,-0.3625,-0.2975,-0.12,-0.1075,-0.3
7,-0.525,-0.4525,-0.3025,-0.105,-0.1075,-0.3025
8,-0.525,-0.32,-0.3075,-0.1775,-0.0075,-0.1325
9,-0.43,-0.4925,-0.3975,-0.204,-0.1725,-0.135
10,-0.43,-0.6025,-0.4175,-0.0975,-0.2275,-0.13
11,-0.425,-0.6075,-0.4,-0.135,-0.25,-0.2525
12,-0.465,-0.61,-0.3638,-0.2063,-0.2275,-0.2
13,-0.5375,-0.5325,-0.3825,-0.2,-0.2275,-0.1525
14,-0.54,-0.3475,-0.3875,-0.1875,-0.155,-0.1525
15,-0.54,-0.4475,-0.3225,-0.1575,-0.15,-0.1575
16,-0.4525,-0.445,-0.2675,-0.24,-0.145,-0.1563
17,-0.5775,-0.31,-0.3325,-0.47,-0.145,0.0075
18,-0.4275,-0.3275,-0.2025,-0.3225,-0.1425,0.0025
19,-0.425,-0.3375,-0.206,-0.3825,-0.0125,0.0075
20,-0.3525,-0.3013,-0.2762,-0.305,-0.01,0.0100
21,-0.3375,-0.2825,-0.2275,-0.2275,0.0275,-0.195
22,-0.33,-0.28,-0.3475,-0.2275,-0.005,-0.165
23,-0.3325,-0.305,-0.3975,-0.2,0.0000,-0.05
24,-0.3325,-0.305,-0.35,-0.135,-0.0575,-0.0775
25,-0.2875,-0.2425,-0.3375,0.0550,-0.0175,0.4925
26,-0.285,-0.2,-0.3775,0.0425,0.2525,0.4150
27,-0.205,-0.2025,-0.2375,0.1275,-0.0025,0.4175
28,-0.24,-0.2075,-0.2375,0.0825,-0.0387,
29,-0.44,-0.255,-0.18,0.0850,-0.0275,
30,-0.475,-0.2775,-0.18,0.1550,-0.205,
31,-0.385,-0.385,-0.1375,0.1350,-0.205,
32,-0.2775,-0.4525,-0.035,0.0663,0.0700,
33,-0.505,-0.85,-0.35,0.0550,-0.12,
34,-0.725,-0.85,-0.245,-0.0575,-0.1125,
35,-0.7575,-0.75,-0.39,-0.045,-0.1025,
36,-0.6025,-0.71,-0.605,-0.325,-0.1337,-0.3075
37,-0.5575,-0.705,-0.7525,-0.3875,-0.1,-0.6575
38,-0.5275,-0.6525,-0.6325,-0.425,-0.105,-0.25
39,-0.44,-0.6575,-0.5625,-0.435,-0.15,-0.255
40,-0.4275,-0.7863,-0.635,-0.45,-0.055,-0.4537
41,,-0.745,-0.6725,-0.495,-0.09,-0.5025
42,,-0.505,-0.635,-0.4,-0.0375,-0.5075
43,,-0.5,-0.3925,-0.3175,-0.0375,-0.4075
44,,-0.505,-0.3838,-0.4075,-0.0225,0.0000
45,,-0.445,-0.4175,-0.35,-0.0125,-0.0525
46,,-0.6,-0.4125,-0.23,-0.0475,-0.05
47,,-0.6,-0.41,-0.1975,-0.005,-0.05
48,,-0.4,-0.345,-0.1975,-0.0463,-0.1025
