"NEW MADRID MO - CARGILL - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.25,0.1325,0.0975,0.2225,0.2775,0.6300
2,-0.26,0.1500,0.0550,0.3000,0.3475,0.8075
3,-0.355,0.1125,-0.0825,0.3000,0.2450,0.7400
4,-0.26,-0.0025,-0.035,0.3000,0.3475,0.5000
5,,,-0.0375,0.1925,0.3000,0.4075
6,-0.205,,0.0425,0.1400,0.4425,0.3700
7,-0.175,,0.1075,0.1550,0.4125,0.4875
8,-0.215,0.0500,0.1025,0.1025,0.3925,0.3075
9,-0.19,-0.0825,-0.0575,0.0160,0.2475,0.0850
10,-0.1,-0.1625,-0.0275,0.0425,0.2125,0.0000
11,-0.115,-0.0075,-0.06,0.0750,0.2000,0.0375
12,-0.285,0.0000,-0.0638,-0.0212,0.1925,0.0600
13,-0.1975,-0.1025,-0.0625,-0.04,0.2025,-0.0725
14,-0.17,0.0425,-0.0575,-0.0075,0.1950,-0.0725
15,-0.15,-0.0075,-0.0125,0.0525,0.1500,-0.0075
16,-0.1025,0.0450,0.0325,-0.02,0.2450,0.0038
17,-0.1275,-0.08,-0.1625,-0.15,0.2450,0.0575
18,-0.0575,0.0225,0.0775,-0.1225,0.2475,0.0525
19,-0.055,0.0425,0.0840,-0.1225,0.1975,0.0875
20,0.1225,0.0587,0.0888,-0.065,0.2000,0.0600
21,0.0925,-0.0025,0.0925,-0.0575,0.1975,0.0550
22,0.2000,0.0000,0.0325,-0.0075,0.1950,0.0550
23,0.1975,-0.005,0.0225,0.0000,0.1500,0.0600
24,0.1575,0.0950,0.0500,0.1000,0.2425,0.0925
25,0.0125,0.0475,0.0325,0.2550,0.1325,0.9525
26,0.1150,0.0500,-0.0375,0.2525,0.2625,0.8150
27,0.1150,-0.0025,0.0225,0.2975,-0.0025,0.4475
28,0.0600,0.0325,0.0525,0.3025,0.1413,-0.0175
29,-0.2,-0.105,0.1200,0.0350,-0.0975,1.1150
30,-0.195,-0.1975,0.1200,0.1150,0.0650,0.1650
31,-0.075,-0.095,0.1625,0.1050,0.1450,-0.5175
32,-0.1775,-0.5175,0.1050,0.1063,0.2500,-0.5275
33,-0.305,-0.52,-0.04,0.2550,0.1000,0.2000
34,-0.425,-0.6,-0.035,0.0925,0.0975,0.1925
35,-0.4075,-0.75,0.0000,0.2250,0.2275,0.0950
36,-0.3225,-0.61,-0.305,-0.005,0.1513,-0.0075
37,-0.2075,-0.505,-0.6025,,0.2200,-0.2375
38,-0.2075,-0.4225,-0.2525,0.0050,0.2250,0.1500
39,-0.06,-0.5275,-0.1625,-0.085,-0.05,0.3450
40,0.0325,-0.3512,-0.265,-0.08,0.0450,0.2363
41,,-0.285,-0.2625,-0.095,0.1800,0.2975
42,,-0.175,-0.105,-0.03,0.2625,0.3425
43,,-0.15,-0.0525,0.0425,0.2625,0.1925
44,,-0.225,-0.0538,-0.0275,0.2975,0.4000
45,,-0.245,-0.1575,0.0000,0.2475,0.4475
46,,-0.26,-0.0825,0.1200,0.1925,0.4000
47,,-0.26,0.0000,0.1525,0.2450,0.3000
48,,-0.12,0.0450,0.1625,0.2388,0.2475
