"PATTONSBURG MO - MURPHY-BROWN, LLC - Soybeans Basis",,,
"Week
",2018,2017,2016
1,-0.7075,-0.6525,
2,-0.8,-0.655,
3,-0.7975,-0.8025,
4,-0.8,-0.805,
5,-0.7,-0.7975,
6,-0.6025,-0.7975,-0.195
7,-0.6025,-0.7825,-0.2513
8,-0.6,-0.7775,-0.3
9,-0.8025,-0.7975,-0.2975
10,-0.8025,-0.7975,-0.3075
11,-0.7975,-0.73,-0.52
12,-0.8,-0.7288,-0.6
13,-0.8025,-0.7325,-0.6525
14,-0.5975,-0.7275,-0.4525
15,-0.5975,-0.7325,-0.445
16,-0.595,-0.7275,-0.4975
17,-0.65,-0.7025,-0.6475
18,-0.6475,-0.7025,-0.65
19,-0.6475,-0.696,-0.655
20,-0.6513,-0.7013,-0.935
21,-0.8025,-0.7975,-0.8275
22,-0.8,-0.7975,-0.7625
23,-0.805,-0.7975,-0.7875
24,-0.795,-0.8,
25,-0.7925,-0.8575,
26,-0.8,-0.8375,
27,-0.7925,,
28,-0.7975,,
29,-0.855,-0.8,
30,-0.8475,-0.8,
31,-0.855,-0.7975,
32,-0.8525,-0.8,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
