"PERRYVILLE MO - BUCHHEIT AGRI DIVISION - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.45,-0.2875,-0.1725,-0.0375,-0.2125,0.2000
2,-0.45,-0.15,-0.235,0.0000,-0.2125,0.1975
3,-0.445,-0.2575,-0.2425,0.0000,0.0150,0.3000
4,-0.45,-0.29,-0.385,0.0000,-0.0825,0.2000
5,-0.3975,-0.32,-0.3875,-0.0475,-0.13,0.0175
6,-0.475,-0.3225,-0.3875,-0.05,-0.0475,-0.12
7,-0.475,-0.3225,-0.3925,-0.045,-0.1475,0.0575
8,-0.475,-0.32,-0.2975,-0.0975,0.1025,-0.0025
9,-0.48,-0.4325,-0.4975,-0.164,-0.0325,-0.065
10,-0.48,-0.4525,-0.3975,-0.1775,-0.0875,-0.07
11,-0.475,-0.4475,-0.32,-0.245,-0.09,-0.1225
12,-0.475,-0.45,-0.3188,-0.2513,-0.1475,-0.12
13,-0.5475,-0.5525,-0.3225,-0.29,-0.1375,-0.1925
14,-0.55,-0.5475,-0.3175,-0.2875,-0.135,-0.1925
15,-0.55,-0.5475,-0.3225,-0.1975,-0.14,-0.1875
16,-0.5525,-0.545,-0.1975,-0.35,-0.09,-0.1863
17,-0.6775,-0.31,-0.3125,-0.39,-0.045,-0.1925
18,-0.6075,-0.4375,-0.3125,-0.4025,-0.0525,-0.1875
19,-0.595,-0.2175,-0.206,-0.4025,0.0575,-0.1925
20,-0.4475,-0.4813,-0.2013,-0.395,0.0600,-0.19
21,-0.4975,-0.3525,-0.1975,-0.3975,0.0975,-0.195
22,-0.5,-0.35,-0.1975,-0.3975,0.1350,-0.185
23,-0.4925,-0.345,-0.1975,-0.39,0.1300,-0.19
24,-0.5025,-0.345,-0.35,-0.295,0.1325,-0.1875
25,-0.5475,-0.4025,-0.3475,-0.015,0.1325,0.6325
26,-0.545,-0.4,-0.3475,-0.0175,0.3025,0.5850
27,-0.545,-0.4025,-0.3475,0.0475,-0.1025,0.5775
28,-0.55,-0.3975,-0.3475,0.0925,-0.0987,0.1125
29,-0.6,-0.395,-0.38,-0.345,-0.0575,0.7650
30,-0.605,-0.3975,-0.38,-0.295,0.0450,0.1450
31,-0.375,-0.485,-0.4175,-0.315,0.0350,-0.3475
32,-0.4175,-0.6275,-0.4,-0.3837,0.1300,-0.5475
33,-0.515,,,-0.135,-0.25,-0.22
34,-0.615,,,-0.1475,-0.2525,-0.2175
35,-0.5975,-0.8,,-0.145,-0.2725,-0.215
36,-0.5025,-0.8,-0.375,-0.145,-0.2487,-0.2175
37,-0.4575,-0.795,-0.5125,-0.1975,-0.15,-0.3975
38,-0.4275,-0.7025,-0.4025,-0.185,-0.065,-0.34
39,-0.34,-0.6475,-0.3525,-0.245,-0.3,0.0550
40,-0.2375,-0.5463,-0.495,-0.23,-0.095,-0.1337
41,,-0.425,-0.5325,-0.375,-0.07,-0.1625
42,,-0.345,-0.495,-0.33,-0.0475,-0.1475
43,,-0.35,-0.3625,-0.3275,-0.0475,-0.1775
44,,-0.295,-0.3588,-0.2275,-0.1025,0.0300
45,,-0.365,-0.3975,-0.25,-0.0825,0.0375
46,,-0.42,-0.4025,-0.25,-0.0675,0.0400
47,,-0.42,-0.4,-0.2475,-0.035,0.0100
48,,-0.35,-0.395,-0.1475,-0.0513,-0.0925
