"ROCK PORT MO - BARTLETT SPECIALTY GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.9,-0.7975,-0.8525,-0.4475,,-0.34
2,-0.9,-0.85,-0.845,-0.45,,-0.2125
3,-0.895,-0.8475,-0.8825,-0.45,,-0.2
4,-0.9,-0.825,-0.875,-0.45,,-0.25
5,-0.8675,-0.8,-0.8775,-0.4475,,-0.0325
6,-0.865,-0.7925,-0.8975,-0.45,,-0.35
7,-0.795,-0.8025,-0.9025,-0.455,,-0.4525
8,-0.715,-0.81,-0.8975,-0.4575,,-0.4625
9,-0.85,-0.9225,-0.8575,-0.504,,-0.405
10,-0.73,-0.8725,-0.8575,-0.4775,,-0.4
11,-0.725,-0.8675,-0.86,-0.465,,-0.3325
12,-0.795,-0.87,-0.8488,-0.5413,,-0.33
13,-0.8475,-0.7825,-0.8025,-0.55,,-0.3025
14,-0.85,-0.7775,-0.7475,-0.6175,,-0.2825
15,-0.85,-0.6975,-0.7525,-0.6075,,-0.2875
16,-0.8525,-0.685,-0.6675,-0.7,,-0.3413
17,,-0.8,-0.7825,-0.74,,-0.1225
18,-0.8075,-0.7975,-0.7825,-0.7525,,-0.0975
19,-0.805,-0.7275,-0.756,-0.7725,,-0.0525
20,-0.8025,-0.7313,-0.7013,-0.655,,-0.1
21,-0.7975,-0.7325,-0.7075,-0.6475,,-0.275
22,-0.8,-0.63,-0.6975,-0.7975,,-0.275
23,-0.8025,-0.635,-0.6875,-0.8,,-0.1
24,-0.7925,-0.545,-0.64,-0.695,,
25,-0.8475,-0.6025,-0.6875,-0.655,,0.4825
26,-0.855,-0.58,-0.7075,-0.6075,,
27,-0.855,-0.5025,-0.7075,-0.5225,,0.4975
28,-0.85,-0.4975,-0.6875,-0.5375,,
29,,-0.545,-0.63,-0.585,,
30,-0.775,-0.5875,-0.63,-0.475,,
31,-0.775,-0.675,-0.6675,-0.495,,
32,,-0.7275,-0.65,-0.5638,,
33,,-0.9,-0.75,-0.335,,
34,,-0.9,-0.795,-0.3575,,
35,,-0.98,-0.85,-0.745,,
36,,-0.99,-0.895,-0.735,,
37,,-0.975,-0.9025,-0.7375,,
38,,-0.9825,-0.9025,-0.725,,
39,,-0.9775,-0.9425,-0.735,,
40,,-1.0013,-0.955,-0.8,,
41,,-0.925,-1.0525,-0.895,,
42,,-0.795,-1.045,-0.9,,
43,,-0.8,-0.9425,-0.8975,,
44,,-0.775,-0.9388,-0.8375,,
45,,-0.785,-0.8475,-0.8,,
46,,-0.77,-0.8525,-0.82,,-0.5
47,,-0.77,-0.86,-0.8175,,
48,,-0.77,-0.775,-0.7475,,
