"SAINT JOSEPH MO - BARTLET - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.73,-0.4575,-0.6525,-0.2475,-0.2225,0.0000
2,-0.73,-0.5,-0.605,-0.25,-0.2025,0.0475
3,-0.655,-0.4975,-0.7525,-0.25,-0.205,-0.02
4,-0.65,-0.515,-0.705,-0.25,-0.1825,-0.025
5,-0.6375,-0.55,-0.6975,-0.2475,-0.15,0.0875
6,-0.555,-0.5225,-0.6975,-0.25,-0.0975,-0.2
7,-0.545,-0.5825,-0.7025,-0.255,-0.0775,-0.2525
8,-0.505,-0.55,-0.6975,-0.2575,-0.1775,-0.2025
9,-0.63,-0.6325,-0.7775,-0.284,-0.2025,-0.225
10,-0.58,-0.6525,-0.6475,-0.2575,-0.1975,-0.1
11,-0.585,-0.5975,-0.65,-0.265,-0.17,-0.1025
12,-0.575,-0.55,-0.5738,-0.3513,-0.2475,0.0000
13,-0.5775,-0.5325,-0.5125,-0.35,-0.1475,-0.0025
14,-0.6,-0.5375,-0.4475,-0.4175,-0.155,-0.0025
15,-0.62,-0.4575,-0.4525,-0.4075,-0.1,0.0525
16,-0.6225,-0.405,-0.3475,-0.53,-0.105,0.0888
17,-0.6475,-0.47,-0.4525,-0.53,-0.045,0.2375
18,-0.6075,-0.4675,-0.4525,-0.6025,-0.0525,0.2425
19,-0.585,-0.4275,-0.346,-0.5525,-0.0525,0.2975
20,-0.5825,-0.3263,-0.3512,-0.455,0.0000,0.1900
21,-0.6475,-0.3025,-0.3175,-0.3875,0.0475,0.0450
22,-0.65,-0.25,-0.2675,-0.5475,0.0450,0.0750
23,-0.6525,-0.205,-0.2675,-0.51,0.1000,0.1800
24,-0.6525,-0.205,-0.24,-0.335,-0.0175,0.2125
25,-0.6575,-0.2025,,-0.235,-0.1375,0.8825
26,-0.605,-0.2,-0.3975,-0.2775,0.0725,0.7450
27,-0.605,-0.2025,-0.3475,-0.2625,-0.1025,0.7475
28,-0.55,-0.1975,-0.3575,-0.2875,-0.0787,0.5725
29,-0.57,-0.345,-0.37,-0.285,0.1525,1.5350
30,-0.605,-0.4475,-0.36,-0.175,0.2150,1.1250
31,-0.605,-0.535,-0.2675,-0.195,0.1950,0.9825
32,-0.5975,-0.6525,-0.255,-0.2637,0.3000,1.8825
33,-0.775,-0.8,-0.55,-0.045,0.0500,-0.6
34,-0.795,-0.8,-0.655,-0.0475,-0.0525,-0.5975
35,-0.7975,-0.83,-0.65,-0.605,-0.2725,-0.605
36,-0.8025,-0.9,-0.655,-0.625,-0.3487,-0.5975
37,-0.7975,-0.855,-0.6525,-0.6175,-0.5,-0.5975
38,-0.7475,-0.8525,-0.6525,-0.495,-0.405,-0.6
39,-0.7,-0.8475,-0.6425,-0.645,-0.43,-0.505
40,-0.6475,-0.7913,-0.705,-0.65,-0.305,-0.6637
41,,-0.605,-0.9025,-0.775,-0.17,-0.7025
42,,-0.555,-0.785,-0.87,-0.0975,-0.4275
43,,-0.55,-0.6025,-0.7475,-0.0975,-0.3975
44,,-0.555,-0.5438,-0.6525,-0.2025,-0.3
45,,-0.555,-0.5675,-0.68,-0.2025,-0.2525
46,,-0.6,-0.5525,-0.66,-0.2475,-0.25
47,,-0.65,-0.5,-0.6475,-0.225,-0.27
48,,-0.63,-0.505,-0.6175,-0.2763,-0.2175
