"SAINT JOSEPH MO - USDA WIRE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.73,-0.4575,-0.6025,,-0.2025,0.0000
2,,-0.5,-0.575,-0.2,-0.2025,0.0475
3,,-0.4975,-0.7025,-0.2,-0.205,0.0300
4,-0.65,-0.5,-0.675,-0.1975,-0.1525,0.0250
5,-0.5975,-0.52,-0.6675,-0.2,-0.12,0.1375
6,-0.555,-0.5025,-0.6675,-0.205,-0.0275,-0.12
7,-0.555,-0.5025,-0.6725,-0.2075,-0.0275,-0.2025
8,-0.475,-0.55,-0.6675,-0.234,-0.0875,-0.1525
9,-0.53,-0.6325,-0.7475,-0.2275,-0.1425,-0.175
10,-0.48,-0.6525,-0.6475,-0.235,-0.0975,-0.05
11,-0.515,-0.5975,-0.65,-0.2813,-0.1,-0.0525
12,,-0.55,-0.5488,-0.28,-0.0475,0.0800
13,-0.4975,-0.5325,-0.5225,-0.3475,-0.0175,0.0475
14,,-0.4775,-0.4475,-0.3275,-0.005,0.0475
15,-0.5,-0.3975,-0.4225,-0.45,-0.03,0.1425
16,-0.5525,-0.355,-0.3475,-0.47,-0.025,0.1438
17,-0.4775,-0.38,-0.4525,-0.5025,-0.015,0.2375
18,-0.4575,-0.3775,-0.4525,-0.5525,-0.0125,0.3325
19,-0.455,-0.3275,-0.346,-0.405,0.0375,0.3475
20,-0.5775,-0.3163,-0.3512,-0.3475,0.0700,0.2700
21,-0.5575,-0.3025,-0.3175,-0.4475,0.1775,0.0950
22,-0.6,-0.25,-0.2675,-0.36,0.1750,0.1250
23,,-0.155,-0.2675,-0.285,0.1400,0.2300
24,-0.6325,-0.155,-0.24,-0.165,0.0225,0.2625
25,-0.6175,-0.2025,,-0.1775,0.0025,0.9325
26,-0.555,-0.16,-0.3475,-0.1625,0.2325,
27,-0.505,-0.1025,-0.3075,-0.1875,0.0475,0.8475
28,-0.5,-0.1075,-0.3575,-0.135,0.0163,0.7525
29,-0.56,-0.305,-0.36,-0.025,0.3225,1.5350
30,-0.575,-0.3475,-0.35,-0.065,0.3350,1.1750
31,-0.575,-0.445,-0.2675,-0.1087,0.2950,1.3825
32,-0.5975,-0.5275,-0.235,0.1350,,2.7225
33,-0.725,-0.7,-0.45,0.1325,,3.1500
34,-0.775,-0.7,-0.475,0.0950,0.0475,1.9525
35,-0.7575,-0.73,-0.55,-0.155,,-0.155
36,-0.7525,-0.77,-0.605,-0.3875,-0.1488,0.4525
37,-0.7575,-0.485,-0.6525,-0.435,-0.35,-0.3975
38,-0.7375,-0.4825,-0.6525,-0.575,-0.355,-0.55
39,-0.63,-0.4875,-0.6525,-0.6,-0.35,-0.505
40,-0.5875,-0.7263,-0.655,-0.705,-0.235,-0.5787
41,,-0.605,-0.8025,-0.7,-0.07,-0.5325
42,,-0.555,-0.705,-0.6975,-0.0575,-0.2675
43,,-0.5,-0.6025,-0.5925,-0.0475,-0.3975
44,,-0.505,-0.5438,-0.61,-0.1525,-0.3
45,,-0.495,-0.5475,-0.61,-0.1525,-0.2525
46,,-0.55,-0.5525,-0.5975,-0.1975,-0.22
47,,-0.55,-0.5,-0.5675,-0.175,-0.02
48,,-0.55,-0.505,,-0.255,-0.2425
