"SEDALIA MO - MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.72,-0.5075,-0.7025,
2,-0.72,-0.6,-0.695,
3,,-0.5975,-0.7025,
4,-0.75,-0.6,-0.705,
5,-0.6975,-0.6,-0.6975,
6,-0.705,-0.6025,-0.6975,
7,-0.695,-0.6025,-0.7025,
8,-0.695,-0.6,-0.6975,
9,-0.78,-0.7025,-0.7475,
10,-0.78,-0.7025,-0.7475,
11,-0.775,-0.6975,-0.75,-0.55
12,-0.775,-0.7,-0.7488,-0.5525
13,-0.6175,-0.7025,-0.6525,-0.5025
14,-0.62,-0.6475,-0.6475,-0.495
15,-0.62,-0.5975,-0.6525,-0.4975
16,-0.6225,-0.595,-0.5975,-0.7975
17,-0.7475,-0.6,-0.7025,-0.8
18,-0.7675,-0.5975,-0.7025,-0.805
19,-0.765,-0.5975,-0.596,-0.805
20,-0.7675,-0.6013,-0.5513,-0.7975
21,-0.7975,-0.6025,-0.4975,-0.7325
22,-0.8,-0.45,-0.4975,-0.6975
23,-0.8025,-0.445,-0.4975,
24,-0.6525,-0.345,-0.5,
25,-0.6475,-0.3525,-0.5475,
26,-0.655,-0.35,-0.5475,
27,-0.655,-0.3025,-0.5475,-0.545
28,-0.65,-0.2975,-0.5475,-0.5475
29,-0.62,-0.345,-0.55,-0.545
30,-0.625,-0.4875,-0.55,
31,-0.625,,-0.5475,-0.6975
32,-0.6175,-0.6025,-0.55,-0.695
33,-0.745,-0.75,-0.6,-0.695
34,-0.755,-0.75,-0.595,-0.8
35,-0.7475,-0.75,-0.6,-0.905
36,-0.7525,-0.75,,-0.9
37,-0.8475,-0.905,-0.9525,-0.8975
38,-0.8475,-0.9025,-0.9525,-0.9025
39,-0.75,-0.8975,-0.8525,-0.85
40,-0.7475,-0.9413,-0.845,-0.85
41,,-0.985,-0.9525,-0.8475
42,,-0.845,-0.945,-0.8475
43,,-0.85,,
44,,-0.855,,
45,,-0.695,-0.7475,
46,,-0.7,-0.7025,
47,,-0.7,-0.7,
48,,-0.7,-0.695,
