"ST LOUIS MO - ADM MILLING ST - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2,0.1325,0.0575,
2,-0.24,0.0300,0.0850,
3,-0.345,0.0125,-0.1225,
4,-0.255,-0.05,-0.035,
5,-0.1775,,0.0125,
6,-0.175,-0.0325,0.0325,
7,-0.145,-0.0425,0.1175,
8,0.0150,-0.03,0.1125,
9,-0.09,-0.1325,-0.0275,
10,-0.1,-0.2625,-0.0375,
11,-0.245,-0.2775,0.0200,
12,-0.285,-0.22,-0.0088,
13,-0.2375,-0.1125,-0.0725,
14,-0.18,0.0025,0.0225,
15,-0.13,-0.0975,0.0275,
16,-0.0425,-0.025,0.0925,
17,-0.0775,0.0100,-0.0125,
18,-0.0475,0.1225,0.0475,0.3250
19,-0.065,0.0425,0.0840,0.0550
20,-0.0475,0.0788,0.1038,-0.0475
21,-0.0175,-0.0225,0.0125,-0.065
22,0.0400,0.0000,0.0125,-0.085
23,0.0775,0.0550,-0.0775,-0.09
24,0.0975,0.1150,0.0600,-0.115
25,0.0925,0.1075,0.0325,0.0300
26,0.1550,0.0900,-0.0575,0.0025
27,0.1150,0.0275,0.0825,-0.0575
28,0.0150,0.0725,0.1825,0.0000
29,0.1200,-0.085,0.1700,0.1600
30,-0.025,-0.0975,0.2300,0.1725
31,0.1350,-0.105,0.0325,0.1725
32,0.0225,-0.2375,0.0450,
33,-0.225,-0.5,0.0100,
34,-0.365,-0.66,0.0050,
35,-0.3375,-0.68,0.0000,
36,-0.2825,-0.45,,
37,-0.1475,-0.495,-0.5025,
38,-0.1375,-0.4425,-0.2225,
39,-0.05,-0.4375,-0.1825,
40,0.0325,-0.3313,-0.245,
41,,-0.205,-0.3425,
42,,-0.125,-0.155,
43,,-0.15,-0.0725,
44,,-0.185,-0.0388,
45,,-0.215,-0.1075,
46,,-0.27,-0.0425,
47,,-0.1,-0.01,
48,,-0.07,0.0650,
