"Saint Louis MO - ST. LOUIS USDA WIRE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2,0.1325,0.0875,,0.2675,0.5500
2,,0.0300,0.1150,0.4000,0.2975,0.7775
3,,0.0425,-0.0125,0.3800,0.2950,0.7500
4,-0.22,-0.045,-0.035,0.2525,0.3175,0.4750
5,-0.1775,-0.03,0.0125,0.2200,0.3500,0.4375
6,-0.175,-0.0425,0.0625,0.2550,0.3725,0.3200
7,-0.145,-0.1025,0.1075,0.1825,0.3825,0.4475
8,0.0150,-0.02,0.1125,0.1060,0.4125,0.1975
9,-0.11,-0.1225,-0.0375,0.1325,0.2475,0.1350
10,-0.11,-0.2425,-0.0375,0.1550,0.2325,0.1000
11,-0.205,-0.2275,0.0200,0.0788,0.2300,0.2175
12,,-0.23,-0.0088,0.0300,0.2925,0.3400
13,-0.2275,-0.1825,-0.0625,0.0425,0.2725,0.2275
14,,0.0025,0.0225,0.1325,0.2150,0.2675
15,-0.13,-0.0875,0.0275,0.0600,0.2400,0.3425
16,-0.0425,0.0150,0.0925,-0.06,0.3000,0.2588
17,-0.0875,-0.03,-0.0025,-0.0225,0.4050,0.3275
18,-0.0575,0.0225,0.0775,-0.0825,0.4975,0.3425
19,-0.065,0.0425,0.0840,0.0150,0.3975,0.3975
20,-0.1225,0.0888,0.0788,0.0525,0.4000,0.4000
21,-0.0375,0.0175,0.0825,0.1025,0.4075,0.3050
22,0.0700,-0.02,0.0125,0.0700,0.4150,0.2850
23,,0.0550,-0.0475,0.2550,0.4000,0.2900
24,0.0875,0.0750,0.0400,0.3750,0.3025,0.3325
25,0.1125,0.0875,,0.3525,0.3625,1.2025
26,0.1450,0.1600,-0.0575,0.4475,0.5925,
27,0.1150,0.0275,0.0825,0.4625,0.3275,0.7975
28,0.0050,0.0725,0.1625,0.4450,0.3763,0.5825
29,-0.15,-0.085,0.1700,0.5250,0.3325,1.2850
30,-0.025,-0.0675,0.2300,0.4850,0.3450,1.4150
31,0.1150,-0.055,0.2525,0.3963,0.2950,0.5825
32,-0.0375,-0.2325,0.3050,0.5250,,0.9725
33,-0.235,-0.48,0.0600,0.3825,,0.7000
34,-0.395,-0.61,0.1150,0.3350,0.3075,0.7925
35,-0.3375,-0.68,0.0400,0.0550,,0.3450
36,-0.2825,-0.49,-0.305,-0.0475,0.1713,0.0125
37,-0.1575,-0.455,-0.4525,-0.025,0.2000,-0.2075
38,-0.1475,-0.4025,-0.2425,0.0450,0.2250,0.1500
39,-0.05,-0.2775,-0.1725,-0.03,-0.01,0.3450
40,0.0525,-0.3013,-0.275,-0.135,0.2050,0.2163
41,,-0.195,-0.3025,0.0300,0.2500,0.2475
42,,-0.125,-0.195,0.0425,0.3425,0.3825
43,,-0.18,-0.0625,-0.0575,0.3225,0.2125
44,,-0.205,-0.0587,0.0100,0.2875,0.4500
45,,-0.225,-0.1375,0.1600,0.3075,0.4475
46,,-0.32,-0.0525,0.1625,0.2825,0.4400
47,,-0.1,0.0000,0.1725,0.3250,0.4100
48,,-0.1,0.0650,,0.2750,0.3275
