"TARKIO MO - AG PARTNERS - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.95,-0.8575,-0.9525,-0.4975,-0.6625,
2,-0.95,-0.9,-0.915,-0.5,-0.6525,-0.39
3,-0.945,-0.8975,-1.0225,-0.5,-0.625,-0.42
4,-0.95,-0.9025,-1.005,-0.5,-0.6025,-0.2225
5,-0.9475,-0.9,-0.9975,-0.4975,-0.58,-0.5
6,-0.855,-0.8525,-0.9975,-0.5,-0.4975,-0.5525
7,-0.845,-0.8525,-1.0025,-0.505,-0.4975,
8,-0.805,,-0.9975,-0.4975,,-0.495
9,-0.9,-1.0025,-1.0475,-0.554,-0.5125,-0.51
10,-0.9,-1.0025,-0.9475,-0.5475,-0.4975,-0.5025
11,-0.895,-0.9475,-0.97,-0.555,-0.5,-0.45
12,-0.905,-0.9,-0.9175,-0.5525,-0.4775,-0.4525
13,-0.8975,-0.8725,-0.9225,-0.55,,-0.4825
14,-0.9,-0.8475,-0.9175,-0.5975,-0.445,-0.4475
15,-0.9,-0.7975,-0.8225,-0.6075,-0.43,-0.395
16,-0.9025,-0.745,-0.7975,-0.73,-0.385,-0.3025
17,-0.8975,-0.8,-0.8525,-0.8,-0.395,-0.2975
18,-0.8975,-0.7975,-0.8525,-0.8325,-0.3925,-0.3025
19,-0.895,-0.7475,-0.746,-0.8025,-0.3725,-0.31
20,-0.9025,-0.7263,-0.7525,-0.805,-0.33,-0.305
21,-0.8975,-0.7025,-0.7475,-0.7475,-0.2125,-0.375
22,-0.9,-0.6,-0.6975,-0.8475,-0.225,-0.27
23,-0.9025,-0.605,-0.6975,-0.81,-0.25,-0.2875
24,-0.9025,-0.565,-0.7,-0.785,-0.3975,0.4125
25,-0.9475,-0.6525,-0.6475,-0.585,-0.3975,0.1850
26,-0.905,-0.6,-0.6975,-0.5275,-0.2275,0.2975
27,-0.905,-0.5525,-0.6975,-0.5125,-0.3525,0.0825
28,-0.85,-0.5475,-0.6975,-0.5375,-0.4288,1.0850
29,-0.82,-0.645,-0.74,-0.585,-0.2975,0.6850
30,-0.825,-0.6375,-0.7,-0.495,-0.185,0.4825
31,-0.825,,-0.6175,-0.495,-0.195,1.6325
32,-0.8175,-0.7575,-0.61,-0.6075,-0.1,2.3000
33,-0.945,-0.93,-0.8,-0.345,-0.35,-0.8475
34,-0.955,-0.93,-0.805,-0.3475,-0.4525,-0.855
35,-0.9475,-0.98,-0.85,-0.345,-0.5725,-0.8475
36,-0.9525,-0.98,-0.855,-0.745,-0.5475,-0.8475
37,,-0.985,-0.9025,-0.7475,-0.65,
38,,-0.9825,-0.9025,-0.745,-0.645,
39,,-0.9775,-0.9025,-0.775,-0.63,
40,,-0.9913,-0.935,-0.83,-0.585,-0.8525
41,,-0.955,,-0.945,-0.54,-0.8075
42,,-0.895,-1.005,-0.95,-0.4975,-0.8475
43,,-0.9,-0.9525,-0.9475,-0.4975,-0.75
44,,-0.855,-0.9238,-0.9025,-0.5025,-0.6425
45,,-0.845,-0.8975,-0.9,-0.5025,-0.65
46,,-0.85,-0.9025,-0.9,-0.5275,-0.65
47,,-0.85,-0.9,-0.9975,-0.495,-0.68
48,,-0.85,-0.905,-0.8975,-0.5263,
