"UNIONVILLE MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-1.27,-0.8375,-0.8725,-0.6475,-0.7125,-0.5
2,-1.23,-0.85,-0.885,-0.63,-0.7125,-0.5025
3,-1.315,-0.8675,-1.0125,-0.63,-0.725,-0.54
4,-1.27,-0.94,-0.995,-0.63,-0.7325,-0.63
5,-1.1675,-0.95,-0.9075,-0.6475,-0.64,-0.4925
6,-1.155,-0.9525,-0.9175,-0.65,-0.5675,-0.63
7,-1.155,-0.9925,-0.8625,-0.635,-0.6175,-0.6325
8,-1.115,-0.93,-0.8375,-0.6775,-0.6775,-0.6225
9,-1.21,-1.0925,-0.9775,-0.674,-0.6925,-0.625
10,-1.15,-1.1325,-0.9475,-0.6675,-0.6975,-0.72
11,-1.065,-1.1175,-0.93,-0.695,-0.68,-0.6625
12,-1.115,-1.17,-0.8688,-0.7613,-0.5775,-0.55
13,-1.1475,-0.9725,-0.8425,-0.77,-0.5775,-0.6425
14,-1.15,-0.9275,-0.7975,-0.7575,-0.615,-0.6525
15,-1.13,-0.9675,-0.8025,-0.6775,-0.62,-0.5775
16,-1.0925,-0.915,-0.7575,-0.8,-0.58,-0.6063
17,-1.0175,-0.91,-0.8325,-0.87,-0.425,-0.5525
18,-1.1175,-0.9075,-0.7725,-0.9025,-0.4825,-0.3975
19,-1.155,-0.9175,-0.746,-0.9525,-0.4525,-0.4225
20,-1.1525,-0.9313,-0.7525,-0.835,-0.43,-0.42
21,-1.1075,-0.9725,-0.6675,-0.7475,-0.4725,-0.575
22,-1.09,-0.95,-0.7575,-0.8375,-0.505,-0.585
23,-1.0825,-0.915,-0.7675,-0.8,-0.48,-0.66
24,-1.0425,-0.845,-0.71,-0.705,-0.6075,-0.4875
25,-1.0175,-0.7525,,-0.655,-0.5275,0.3025
26,-1.035,-0.85,-0.9275,-0.6775,-0.1775,0.2950
27,-0.905,-0.9225,-0.8475,,-0.4525,-0.0025
28,-1.01,-0.9875,,,-0.3488,-0.1225
29,-1.18,-1.085,-0.7,,-0.0375,0.9050
30,-1.165,-1.1275,-0.68,,-0.335,0.7450
31,-0.935,-1.115,-0.6675,,-0.305,0.7825
32,-1.0575,-1.2625,-0.695,,-0.3,0.4825
33,-1.255,-1.37,-0.9,,-0.45,0.8000
34,-1.345,-1.42,-1.005,,-0.3025,0.0525
35,-1.2875,-1.42,-1.03,,-0.4225,1.8950
36,-1.3025,-1.37,-1.205,,-0.7088,-1.0475
37,-1.1175,-1.255,-1.1525,,-0.7,-0.9975
38,-1.1175,-1.1225,-1.0525,,-0.705,-0.7
39,-1.05,-1.1675,-1.0525,-1.155,-0.72,-0.755
40,-1.0175,-1.3363,-1.145,-1.29,-0.655,-0.8638
41,,-1.155,-1.1925,-1.215,-0.64,-0.8425
42,,-1.075,-1.075,-1.08,-0.5675,-0.8175
43,,-1.12,-0.9525,-1.0675,-0.5875,-0.8175
44,,-1.175,-0.9038,-1.0775,-0.5725,-0.7
45,,-1.295,-0.9675,-1.05,-0.6125,-0.6525
46,,-1.35,-0.9725,-0.95,-0.6275,-0.68
47,,-1.17,-0.89,-0.8475,-0.565,-0.7
48,,-1.17,-0.825,-0.8475,-0.6113,-0.7775
