"VANDALIA MO - LADDONIA-VANDALIA-MARTINSBURG MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.55,-0.1175,-0.4025,-0.0075,-0.4125,0.1300
2,-0.55,-0.28,-0.405,0.0600,-0.3725,0.2775
3,-0.555,-0.2875,-0.5025,0.0100,-0.375,0.0000
4,-0.55,-0.345,-0.505,0.0100,-0.4525,-0.35
5,-0.5075,-0.35,-0.5075,-0.0675,-0.25,-0.2125
6,-0.505,-0.3425,-0.5075,-0.06,-0.1475,-0.35
7,-0.505,-0.4525,-0.5025,-0.065,-0.1075,-0.3525
8,-0.505,-0.45,-0.5075,-0.0775,-0.1075,-0.1825
9,-0.53,-0.5525,-0.6075,-0.134,-0.1725,-0.185
10,-0.45,-0.5525,-0.5075,-0.0675,-0.2075,-0.18
11,-0.345,-0.6075,-0.5,-0.085,-0.2,-0.3025
12,-0.455,-0.6,-0.3538,-0.1363,-0.1575,-0.2
13,-0.4475,-0.5525,-0.3025,-0.17,-0.1275,-0.2025
14,-0.5,-0.4075,-0.3075,-0.1775,-0.125,-0.1725
15,-0.5,-0.5075,-0.2725,-0.0875,-0.12,-0.1775
16,-0.5025,-0.445,-0.2575,-0.27,-0.085,-0.1763
17,-0.5275,-0.35,-0.2225,-0.39,-0.085,-0.0525
18,-0.4075,-0.2875,-0.2025,-0.3225,-0.0825,-0.0575
19,-0.405,-0.3275,-0.206,-0.3225,0.0475,-0.0525
20,-0.4025,-0.3213,-0.2063,-0.325,0.0500,-0.05
21,-0.4575,-0.2525,-0.1575,-0.1775,0.0775,-0.245
22,-0.45,-0.25,-0.1575,-0.2175,0.0750,-0.215
23,-0.4025,-0.255,-0.1075,-0.2,0.0800,-0.1
24,-0.4025,-0.255,-0.1,-0.165,0.0725,-0.1275
25,-0.4375,-0.2425,-0.0975,-0.055,0.0425,0.4425
26,-0.305,-0.14,-0.2575,-0.0475,0.2425,0.4950
27,-0.305,-0.1225,-0.2575,0.0175,0.1975,0.4975
28,-0.325,-0.1275,-0.1875,-0.0075,0.2263,
29,-0.4,-0.235,-0.16,-0.035,0.3225,
30,-0.475,-0.3475,-0.14,0.1750,0.1950,
31,-0.475,-0.235,-0.1675,0.1550,0.1750,
32,-0.4275,-0.3425,-0.16,0.0863,0.1800,
33,-0.555,-0.5,-0.4,-0.145,0.0300,
34,-0.615,-0.5,-0.455,-0.3575,-0.0025,
35,-0.6575,-0.6,-0.5,-0.355,0.0275,
36,-0.7025,-0.61,-0.655,-0.355,0.0263,-0.3775
37,-0.6575,-0.555,-0.7025,-0.4075,0.0000,-0.6575
38,-0.6575,-0.6525,-0.6025,-0.395,0.0450,-0.37
39,-0.65,-0.6575,-0.5525,-0.505,-0.15,-0.375
40,-0.5575,-0.6663,-0.555,-0.6,-0.005,-0.4638
41,,-0.625,-0.6525,-0.705,0.0100,-0.6025
42,,-0.435,-0.555,-0.45,0.0425,-0.5075
43,,-0.43,-0.4525,-0.4575,0.0425,-0.4575
44,,-0.435,-0.3538,-0.5025,0.0575,-0.45
45,,-0.405,-0.3075,-0.55,0.0375,-0.3025
46,,-0.55,-0.3025,-0.46,0.0025,-0.27
47,,-0.55,-0.3,-0.4575,0.0750,-0.32
48,,-0.55,-0.305,-0.4575,0.0287,-0.3675
