"VERSAILLES MO - NUTRAAG, LLC - Soybeans Basis",,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.8,-0.4575,-0.7525,-0.1775,-0.5825,-0.18
2,-0.8,-0.55,-0.745,-0.15,-0.5025,-0.0325
3,-0.805,-0.5475,-0.7525,-0.15,-0.475,0.06
4,-0.8,-0.55,-0.755,-0.15,-0.5025,-0.12
5,-0.7475,-0.55,-0.6975,-0.1775,-0.41,-0.0725
6,-0.755,-0.5525,-0.6975,-0.18,-0.3975,-0.25
7,-0.745,-0.6525,-0.6025,-0.185,-0.3975,-0.1525
8,-0.655,,-0.5975,-0.1675,-0.2975,-0.2525
9,-0.75,-0.7525,-0.6775,-0.234,-0.3425,-0.345
10,-0.7,-0.8025,-0.6775,-0.2175,-0.3475,-0.41
11,-0.695,-0.7975,-0.68,-0.225,-0.35,-0.3025
12,-0.695,-0.8,-0.6138,-0.2563,-0.3475,-0.18
13,-0.6975,-0.7525,,-0.26,-0.2975,-0.3025
14,-0.7,-0.6475,-0.5475,-0.2575,-0.305,-0.3025
15,-0.7,-0.6975,-0.5025,-0.2575,-0.3,-0.2375
16,-0.7025,-0.645,-0.3975,-0.45,-0.28,-0.2513
17,-0.6475,-0.6,-0.5025,-0.5,-0.195,-0.2225
18,-0.6475,-0.5475,-0.5025,-0.5025,-0.1825,-0.2175
19,-0.645,-0.5475,-0.496,-0.5025,-0.1225,-0.1025
20,-0.6525,-0.5263,-0.4513,-0.495,-0.12,-0.1
21,-0.6475,-0.5025,-0.3975,-0.4475,-0.1125,-0.235
22,-0.6,-0.5,-0.3975,-0.4275,-0.105,-0.235
23,-0.6025,-0.505,-0.3975,-0.43,-0.1,-0.23
24,-0.6025,-0.395,-0.5,-0.51,-0.2275,-0.2275
25,-0.5975,,-0.5475,-0.235,-0.1975,
26,-0.595,,-0.5475,-0.2275,0.0725,
27,-0.605,,-0.5475,-0.1625,-0.1025,
28,-0.6,,-0.4975,-0.1875,-0.0987,
29,-0.57,,-0.43,-0.085,,
30,-0.575,,-0.43,0.005,,
31,-0.575,,-0.3675,0.005,,
32,-0.5675,,-0.335,-0.1138,,
33,-0.745,,-0.6,-0.045,-0.05,
34,-0.755,,-0.595,-0.0975,-0.0525,
35,-0.8975,,-0.65,-0.445,-0.0125,
36,-0.8525,,-0.755,-0.595,-0.2238,
37,-0.6975,-0.745,-1.0025,-0.6475,-0.45,
38,-0.6975,-0.7525,-0.8525,-0.645,-0.495,-0.77
39,-0.7,-0.7475,-0.8025,-0.695,-0.55,-0.765
40,-0.6975,-0.7763,-0.795,-0.8,-0.505,-0.8938
41,,-0.845,-0.9025,-0.945,-0.41,-1.0425
42,,-0.795,-0.905,-0.95,-0.3475,-0.9375
43,,-0.7,-0.8525,-0.8775,-0.3475,-0.9775
44,,-0.695,-0.7488,-0.8675,-0.3025,-0.88
45,,-0.695,-0.6475,-0.7,-0.3025,-0.7725
46,,-0.75,-0.6525,-0.7,-0.2775,-0.68
47,,-0.75,-0.6,-0.6975,-0.245,-0.58
48,,-0.75,-0.555,-0.6975,-0.1963,-0.6325
