"CARROLLTON MO - RAY-CARROLL GRAIN - WAKENDA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3475,-0.35,-0.3975,-0.1525,-0.4525,0.0450
2,-0.33,-0.3475,-0.3525,-0.15,-0.4,0.0500
3,-0.33,-0.35,-0.3525,-0.1575,-0.4,0.0025
4,-0.33,-0.35,-0.3475,-0.1525,-0.3525,-0.0788
5,-0.33,-0.3525,-0.3525,-0.15,-0.355,-0.0125
6,-0.3275,-0.3525,-0.3475,-0.15,-0.3575,-0.05
7,-0.2975,-0.3475,-0.3475,-0.2025,-0.3075,-0.0375
8,-0.2975,-0.355,-0.35,-0.205,-0.2775,-0.035
9,-0.345,-0.4325,-0.4,-0.1525,-0.355,-0.13
10,-0.355,-0.4275,-0.4025,-0.155,-0.35,-0.135
11,-0.3525,-0.43,-0.405,-0.2025,-0.3075,-0.1375
12,-0.2975,-0.405,-0.3713,-0.2175,-0.3,-0.055
13,-0.2975,-0.4,-0.3475,-0.2,-0.2575,-0.1075
14,-0.2975,-0.4,-0.33,-0.225,-0.2525,-0.1525
15,-0.2525,-0.35,-0.3275,-0.2575,-0.2,-0.205
16,-0.1975,-0.345,-0.3,-0.1775,-0.2063,-0.2075
17,-0.274,-0.4,-0.3675,-0.2375,-0.2075,-0.26
18,-0.2525,-0.3975,-0.3725,-0.205,-0.2025,-0.205
19,-0.255,-0.3525,-0.375,-0.225,-0.2,-0.105
20,-0.2475,-0.355,-0.3713,-0.2575,-0.205,-0.105
21,-0.2475,-0.3535,-0.365,-0.3075,-0.2,-0.0525
22,-0.25,-0.3,-0.37,-0.3825,-0.2025,-0.05
23,-0.25,-0.3025,-0.3675,-0.38,-0.2025,-0.055
24,-0.2525,-0.295,-0.3475,-0.2788,-0.2025,-0.11
25,-0.1975,-0.3525,-0.45,-0.255,-0.405,-0.0125
26,-0.15,-0.35,-0.455,-0.25,-0.315,-0.1025
27,-0.15,-0.3525,-0.445,-0.255,-0.41,-0.1025
28,-0.15,-0.3025,-0.4475,-0.2575,-0.3575,-0.13
29,-0.145,-0.25,-0.455,-0.25,-0.2575,-0.1025
30,-0.15,-0.2525,-0.4525,-0.305,-0.2525,-0.1
31,-0.145,-0.295,-0.455,-0.3025,-0.2525,-0.055
32,-0.1475,-0.2988,-0.4525,-0.31,-0.3725,-0.05
33,-0.165,,-0.55,-0.4425,-0.305,-0.2
34,-0.16,,,-0.4575,-0.45,-0.4575
35,-0.1525,,,-0.45,-0.48,-0.4575
36,-0.2025,,,-0.1025,-0.455,-0.455
37,,-0.4475,-0.5325,-0.5175,-0.3575,-0.6025
38,,-0.4475,-0.53,-0.51,-0.25,-0.6025
39,,-0.4525,-0.525,-0.515,-0.16,-0.605
40,,-0.425,-0.53,-0.5,-0.15,-0.6013
41,,-0.3725,-0.5025,-0.5025,-0.075,-0.6025
42,,-0.35,-0.5025,-0.4975,-0.0525,
43,,-0.3475,-0.4525,-0.455,-0.0575,-0.5525
44,,-0.355,-0.3513,-0.4025,-0.06,-0.4525
45,,-0.4025,-0.3975,-0.5,-0.1225,-0.45
46,,-0.4025,-0.38,-0.505,-0.1475,-0.4075
47,,-0.3975,-0.3825,-0.4525,-0.1625,-0.4025
48,,-0.3525,-0.3475,-0.4525,-0.1525,-0.4025
