"CENTRALIA MO - CENTRALIA MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.5,-0.4475,-0.3025,-0.8025,
2,-0.45,-0.4975,-0.4525,-0.3,-0.79,-0.3675
3,-0.45,-0.5,-0.4525,-0.3075,,-0.3438
4,-0.45,-0.5,-0.4475,,-0.7925,-0.2725
5,,,,,-0.805,
6,-0.4375,-0.5025,,,,-0.3075
7,,-0.4975,-0.4475,-0.2525,-0.8075,-0.265
8,-0.545,-0.495,,-0.195,-0.8075,-0.4
9,-0.455,-0.5825,-0.51,-0.2225,-0.605,-0.295
10,-0.4025,-0.5475,-0.5225,-0.215,-0.61,-0.2975
11,-0.4075,-0.5,-0.445,-0.1925,-0.5975,-0.255
12,-0.4075,-0.495,-0.4463,-0.1975,-0.6,-0.2975
13,-0.3975,-0.5,,-0.2,-0.6075,-0.2525
14,-0.4125,-0.48,-0.45,-0.195,,-0.255
15,-0.4075,-0.5,-0.4475,-0.1975,-0.6,-0.2175
16,-0.484,-0.505,-0.14,-0.1975,-0.6063,-0.27
17,-0.4925,-0.59,-0.2675,-0.2375,-0.3975,-0.245
18,-0.485,-0.5875,,-0.235,-0.4225,-0.255
19,-0.4025,-0.5625,-0.225,-0.195,-0.4,-0.195
20,-0.3975,-0.565,-0.2425,-0.1975,-0.415,-0.2325
21,-0.4,-0.5635,-0.295,-0.3275,,
22,-0.41,-0.57,-0.22,,-0.4025,-0.225
23,-0.4025,-0.4525,-0.1475,-0.39,-0.4025,-0.18
24,-0.4375,-0.445,-0.2975,-0.4038,-0.4025,-0.1725
25,-0.41,-0.3025,-0.4,-0.255,-0.515,-0.1525
26,-0.3,-0.3,-0.395,-0.24,-0.445,-0.1525
27,-0.2013,,-0.295,-0.245,-0.41,-0.085
28,-0.205,,-0.3775,-0.2975,-0.4025,-0.2225
29,-0.2,-0.3,-0.375,-0.28,-0.4575,-0.18
30,-0.205,-0.3025,-0.3825,,-0.4125,-0.175
31,-0.1975,-0.295,-0.375,-0.3525,-0.4125,-0.28
32,-0.285,-0.2988,-0.3775,-0.395,-0.5225,
33,-0.32,-0.4325,-0.53,,-0.535,-0.5875
34,-0.3025,-0.345,-0.495,-0.4475,-0.53,-0.6275
35,-0.3025,-0.3575,,,,-0.875
36,,-0.4,-0.55,-0.4525,-0.5025,-0.9225
37,,-0.4475,-0.5925,-0.4975,-0.5075,-1.1625
38,,,-0.6,-0.49,-0.5,-0.825
39,,-0.4225,-0.595,-0.545,-0.51,-0.7713
40,,-0.45,-0.6,-0.6,-0.5,-0.8125
41,,-0.4525,-0.6025,-0.6025,-0.525,-0.7975
42,,-0.46,-0.6025,-0.4975,-0.5025,-0.8025
43,,-0.4475,-0.6025,-0.495,-0.5075,-0.6725
44,,-0.455,-0.6013,-0.4475,,-0.81
45,,-0.4525,,-0.52,-0.5625,-0.7975
46,,,-0.5,-0.555,-0.5175,-0.7125
47,,-0.4575,-0.5025,-0.4525,-0.3025,-0.8075
48,,-0.4525,-0.4975,-0.4525,-0.3,
