"CRAIG MO - GOLDEN TRIANGLE ENERGY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2475,-0.28,-0.2875,-0.0825,-0.3225,
2,-0.22,-0.2675,-0.2925,-0.05,-0.28,
3,-0.17,-0.23,-0.3225,-0.0775,-0.28,-0.1425
4,-0.145,-0.29,-0.3075,-0.1125,-0.2825,-0.22
5,-0.15,-0.3025,-0.3425,-0.2,-0.255,-0.2575
6,-0.1475,-0.2925,,-0.25,-0.1575,-0.275
7,-0.1475,-0.2975,-0.4575,-0.2325,-0.1775,-0.36
8,-0.1275,-0.305,,-0.215,-0.1775,
9,-0.195,-0.3725,,-0.2025,-0.255,
10,-0.055,-0.3675,-0.4025,-0.185,-0.28,-0.505
11,-0.1525,-0.34,-0.325,-0.1625,-0.2775,-0.4575
12,-0.2075,-0.255,-0.3063,-0.125,-0.18,-0.4625
13,-0.2075,-0.25,-0.2775,,-0.1875,-0.405
14,-0.1975,-0.25,-0.25,-0.155,-0.2025,-0.2325
15,-0.2025,-0.25,-0.2975,-0.2175,-0.2,-0.28
16,-0.1075,-0.255,-0.33,-0.2975,-0.2013,-0.145
17,-0.154,-0.3,-0.3075,-0.3175,-0.1975,-0.105
18,-0.1525,-0.3075,-0.3025,-0.315,-0.1025,-0.155
19,-0.175,-0.2025,,-0.325,-0.08,-0.0925
20,-0.2775,-0.28,-0.3263,-0.3275,-0.005,0.0100
21,-0.3375,-0.2035,-0.405,-0.2875,-0.1,-0.005
22,-0.35,-0.11,,-0.3225,-0.1025,-0.04
23,-0.4,-0.0825,-0.4475,-0.32,0.0075,-0.0125
24,-0.4025,-0.045,-0.4475,,-0.0025,-0.1525
25,-0.2975,-0.1825,,-0.215,-0.285,-0.2025
26,-0.2,-0.18,-0.555,,-0.265,-0.255
27,-0.1,-0.1525,-0.495,-0.165,-0.33,-0.2825
28,-0.11,-0.1525,-0.4175,-0.2775,-0.3475,-0.2
29,-0.055,-0.15,-0.355,-0.35,-0.2775,-0.125
30,-0.08,-0.2025,-0.3325,-0.355,-0.2525,-0.12
31,-0.005,-0.205,-0.325,-0.3525,-0.1025,-0.1
32,0.0525,-0.2038,-0.3225,-0.225,-0.2025,-0.1975
33,-0.105,-0.3825,-0.46,-0.3425,,-0.2975
34,-0.1,-0.355,-0.405,-0.4475,-0.05,-0.355
35,-0.1025,-0.3575,-0.4,-0.5,-0.23,-0.5525
36,-0.2025,-0.32,-0.47,-0.5525,-0.265,-0.6525
37,,-0.3475,-0.5025,-0.5275,,-0.685
38,,-0.3475,-0.5,-0.49,-0.42,-0.6613
39,,-0.3325,-0.505,-0.495,-0.44,-0.6825
40,,-0.285,,-0.4,-0.34,-0.5475
41,,-0.1225,-0.4025,-0.2725,,-0.5025
42,,-0.17,-0.3725,-0.1675,-0.2525,-0.3225
43,,-0.1175,-0.4025,-0.275,0.0325,-0.4
44,,-0.085,-0.4025,-0.2225,0.0000,-0.3775
45,,-0.2025,-0.3775,-0.23,-0.0525,-0.3825
46,,-0.2025,-0.38,-0.205,-0.0675,-0.3525
47,,-0.2375,,-0.2325,-0.1025,
48,,-0.2525,-0.3175,-0.3525,-0.1025,
