"ALBANY    MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.54,-0.6175,-0.4425,-0.7025,-0.395
2,-0.45,-0.5375,-0.6225,-0.44,-0.7,-0.25
3,-0.45,-0.54,-0.6225,-0.4375,-0.69,-0.2475
4,-0.45,-0.54,-0.6175,-0.4425,-0.7025,-0.2488
5,-0.45,-0.4925,-0.5425,-0.34,-0.715,-0.2125
6,-0.4475,-0.4925,-0.5375,-0.34,-0.6975,-0.25
7,-0.4475,-0.4875,-0.5375,-0.3425,-0.6975,-0.2475
8,-0.4475,-0.495,-0.54,-0.345,-0.6975,-0.245
9,-0.555,-0.5725,-0.59,-0.3825,-0.565,-0.35
10,-0.455,-0.5675,-0.5925,-0.375,-0.57,-0.405
11,-0.4525,-0.57,-0.595,-0.3825,-0.4775,-0.3975
12,-0.4475,-0.565,-0.5763,-0.3775,-0.48,-0.405
13,-0.4475,-0.55,-0.5675,-0.42,-0.4775,-0.4475
14,-0.4475,-0.55,-0.57,-0.455,-0.4825,-0.4825
15,-0.4525,-0.55,-0.5675,-0.4575,-0.48,-0.455
16,-0.4475,-0.545,-0.57,-0.4475,-0.4763,-0.4525
17,-0.394,-0.59,-0.6475,-0.5175,-0.4775,-0.35
18,-0.4025,-0.5875,-0.6525,-0.525,-0.5425,-0.345
19,-0.405,-0.5925,-0.655,-0.515,-0.43,-0.345
20,-0.3975,-0.585,-0.6513,-0.5175,-0.435,-0.425
21,-0.3975,,-0.575,-0.5175,-0.39,-0.3925
22,-0.4,-0.5,-0.58,-0.5225,-0.3825,-0.39
23,-0.4,-0.5025,-0.5775,-0.57,-0.3825,-0.385
24,-0.4025,-0.505,-0.5775,-0.5888,-0.3725,-0.39
25,-0.3975,-0.4825,-0.62,-0.605,-0.455,-0.3025
26,-0.4,-0.47,-0.625,-0.6,-0.415,-0.2925
27,-0.4,-0.4625,-0.615,-0.605,-0.5,-0.5425
28,-0.4013,-0.4625,-0.6175,-0.4975,-0.4975,-0.54
29,-0.245,-0.42,,,-0.4475,-0.5425
30,-0.25,-0.3025,-0.6025,,-0.4425,-0.56
31,-0.245,-0.295,-0.605,,-0.4325,-0.535
32,-0.2475,-0.2988,-0.6025,,-0.5525,-0.54
33,-0.475,,-0.67,,-0.445,
34,-0.45,,-0.665,,-0.44,
35,-0.4525,,-0.67,,-0.56,
36,-0.4525,,-0.67,,-0.53,
37,,-0.4475,-0.6325,-0.6775,-0.5275,
38,,-0.4975,-0.63,-0.67,-0.47,-0.8025
39,,-0.5025,-0.635,-0.675,-0.47,-0.805
40,,-0.525,-0.63,-0.68,-0.47,-0.8313
41,,-0.5525,-0.6325,-0.6825,-0.485,-0.8025
42,,-0.55,-0.6325,-0.6775,-0.4725,-0.8175
43,,-0.3475,-0.6325,-0.685,-0.4175,-0.8325
44,,-0.355,-0.5613,-0.6775,-0.37,-0.8325
45,,-0.4525,-0.5675,-0.65,-0.4025,-0.82
46,,-0.4425,-0.57,-0.645,-0.3875,-0.8275
47,,-0.4475,-0.5725,-0.6525,-0.4025,-0.8325
48,,-0.4525,-0.5675,-0.6525,-0.4025,-0.8025
