"BARING MO - NEMO FEED LLC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
"
1,-0.2375,-0.31,-0.3475,-0.0225,
2,-0.25,-0.2475,-0.2525,-0.02,
3,-0.22,-0.2,-0.1525,-0.0175,
4,-0.15,-0.175,-0.1475,-0.0225,
5,-0.15,-0.1925,-0.1325,0.0000,
6,-0.1475,-0.2225,-0.1275,0.0000,
7,-0.1475,-0.2975,-0.1775,-0.0025,
8,-0.1775,-0.315,-0.18,-0.005,
9,-0.295,-0.4025,-0.22,-0.1025,
10,-0.295,-0.4375,-0.2725,-0.095,
11,-0.2425,-0.4,-0.275,-0.1025,
12,-0.4075,-0.385,-0.2663,-0.1025,
13,-0.2475,-0.44,-0.1875,-0.06,
14,-0.3975,-0.4,-0.26,-0.065,
15,-0.4025,-0.38,-0.2575,-0.1575,
16,-0.2975,-0.335,-0.26,-0.1475,
17,-0.384,-0.4,-0.3075,-0.1775,
18,-0.2525,-0.3375,-0.3125,-0.185,
19,-0.245,-0.2825,-0.315,-0.185,
20,-0.3925,-0.27,-0.3113,-0.1775,
21,-0.4575,-0.2535,-0.285,-0.1575,-0.065
22,-0.4,-0.21,-0.29,-0.1625,-0.0225
23,-0.4,-0.1625,-0.2875,-0.21,-0.0175
24,-0.4025,-0.145,-0.2875,-0.2538,0.0000
25,-0.2475,-0.2425,-0.37,-0.325,-0.0725
26,-0.22,-0.23,-0.365,-0.18,-0.1075
27,-0.15,-0.2025,,-0.205,-0.1225
28,-0.2013,-0.1525,,-0.1175,-0.0875
29,-0.195,-0.2,-0.395,-0.12,
30,-0.3,-0.2025,,-0.205,
31,-0.245,-0.175,-0.395,-0.4025,
32,-0.2475,-0.2138,-0.3575,-0.395,
33,-0.245,-0.5025,-0.48,-0.6025,
34,-0.25,-0.495,-0.475,-0.6075,
35,-0.3525,-0.4775,-0.6,-0.56,
36,-0.3525,-0.45,-0.6,-0.5625,
37,,-0.5775,-0.6125,-0.5575,
38,,-0.4975,-0.51,-0.5,
39,,-0.5025,-0.475,-0.475,
40,,-0.44,-0.42,-0.48,
41,,-0.3525,-0.4825,-0.3825,
42,,-0.28,-0.4525,-0.3875,
43,,-0.2475,-0.3625,-0.435,
44,,-0.175,-0.3113,-0.4275,
45,,-0.2925,-0.3975,-0.45,
46,,-0.2825,-0.32,-0.395,
47,,-0.2775,-0.3525,-0.4025,
48,,-0.2825,-0.3475,-0.4025,
