"BRAYMER   MO - CONSUMERS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.38,-0.5575,-0.2825,-0.5825,-0.215
2,-0.41,-0.3475,-0.5625,-0.28,-0.45,-0.22
3,-0.31,-0.34,-0.5025,-0.2975,-0.45,-0.2875
4,-0.27,-0.37,-0.4975,-0.2925,-0.4325,-0.3088
5,-0.26,-0.4025,-0.5025,-0.41,-0.445,
6,-0.2775,-0.4425,-0.4975,-0.34,-0.4175,-0.33
7,-0.2275,,-0.5175,-0.3525,-0.4175,-0.3475
8,-0.1575,-0.435,-0.5,-0.355,-0.3575,-0.305
9,-0.255,-0.5025,-0.52,-0.3025,-0.465,-0.4
10,-0.235,-0.4975,-0.5225,-0.305,-0.47,-0.405
11,-0.2425,-0.5,-0.545,-0.2625,-0.4675,-0.4475
12,-0.2275,-0.445,-0.4863,-0.2925,-0.45,-0.395
13,-0.2475,-0.44,-0.4275,-0.36,-0.4575,-0.4575
14,-0.2175,-0.42,-0.41,-0.325,-0.4725,-0.4725
15,-0.2425,-0.44,-0.4175,-0.3175,-0.47,-0.475
16,-0.1975,-0.435,-0.4,-0.3275,-0.3113,-0.4625
17,-0.384,-0.43,-0.4675,-0.2775,-0.2875,-0.43
18,-0.2525,-0.3775,-0.5025,-0.355,-0.3025,-0.435
19,-0.255,-0.3625,-0.525,-0.355,-0.3,-0.305
20,-0.2675,-0.33,-0.4363,-0.3475,-0.345,-0.325
21,-0.3075,-0.2535,-0.365,-0.3875,-0.25,-0.2625
22,-0.2,-0.29,-0.37,-0.4825,-0.2525,-0.28
23,-0.2,-0.2425,-0.4175,-0.49,-0.2625,-0.385
24,-0.1925,-0.245,-0.3775,-0.4488,-0.2725,-0.4
25,-0.3375,-0.3325,-0.49,-0.505,-0.475,-0.3025
26,0.0000,-0.28,-0.475,-0.33,-0.425,-0.2425
27,0.0000,-0.1525,-0.475,-0.405,-0.45,-0.4025
28,-0.0163,-0.1725,-0.5075,-0.3975,-0.4825,-0.395
29,-0.045,-0.2,-0.505,-0.38,-0.3675,-0.4025
30,-0.02,-0.2025,-0.5325,-0.435,-0.3625,-0.34
31,-0.035,-0.185,-0.505,-0.4425,-0.4225,-0.395
32,0.0125,-0.3988,-0.5025,-0.385,-0.5425,-0.34
33,-0.075,-0.5625,-0.6,-0.4725,-0.545,-0.4
34,-0.36,-0.515,-0.575,-0.5175,-0.56,-0.4575
35,-0.4225,-0.5075,-0.5,-0.55,-0.63,
36,-0.4025,-0.48,-0.55,-0.6225,-0.47,-0.655
37,,-0.4875,-0.6025,-0.6375,-0.4975,-0.8025
38,,-0.5575,-0.63,-0.63,-0.39,-0.8025
39,,-0.5625,-0.545,-0.635,-0.27,-0.795
40,,-0.47,-0.53,-0.5,-0.25,-0.7713
41,,-0.3625,-0.5325,-0.5025,-0.175,-0.8125
42,,-0.34,-0.5225,-0.4975,-0.1625,-0.8075
43,,-0.3375,-0.5225,-0.465,-0.2175,-0.8625
44,,-0.345,-0.2963,-0.4525,-0.12,-0.6425
45,,-0.5025,-0.4275,-0.55,-0.1925,-0.6
46,,-0.4125,-0.39,-0.515,-0.3075,-0.4975
47,,-0.4175,-0.3825,-0.5525,-0.2925,-0.5425
48,,-0.4325,-0.3775,-0.5525,-0.3125,-0.5725
