"BROOKFIELD MO - AGRISERVICES OF BRUNSWICK - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,,-0.45,-0.4975,
2,-0.43,-0.4475,-0.4525,
3,-0.43,-0.45,-0.4525,
4,-0.43,-0.455,-0.4475,
5,-0.4275,-0.4525,-0.4525,
6,-0.4275,-0.4525,-0.4475,
7,,-0.4475,-0.4475,-0.3
8,-0.455,,-0.45,-0.315
9,-0.455,-0.5325,,-0.3575
10,-0.4525,-0.5275,-0.5025,
11,-0.3975,-0.53,-0.505,-0.3275
12,-0.3975,-0.505,-0.4975,-0.295
13,-0.3975,-0.5,-0.4475,-0.315
14,-0.4025,-0.5,-0.43,-0.3475
15,-0.3475,-0.45,-0.4275,
16,-0.374,-0.445,,-0.4825
17,-0.3525,,-0.4675,-0.48
18,-0.355,-0.4975,-0.4725,-0.48
19,-0.3475,-0.4525,-0.465,
20,-0.3475,-0.455,-0.4725,
21,-0.35,-0.4535,-0.465,
22,-0.35,-0.4,-0.47,
23,,-0.4025,-0.4675,
24,-0.2975,-0.395,,
25,-0.3,-0.4525,-0.55,
26,-0.25,-0.45,-0.545,
27,,-0.4525,-0.545,-0.5425
28,-0.245,-0.4025,-0.5475,-0.5475
29,-0.25,,-0.555,-0.55
30,-0.245,-0.3525,-0.5525,-0.6225
31,-0.2475,-0.395,-0.555,
32,-0.255,-0.3988,-0.55,
33,-0.26,,-0.65,
34,-0.2525,,-0.595,
35,,,-0.6,
36,,,,
37,,-0.5475,-0.6325,
38,,-0.5475,-0.63,
39,,-0.5525,-0.635,-0.6
40,,-0.525,-0.63,-0.605
41,,-0.4725,,-0.5525
42,,-0.45,-0.6025,
43,,-0.4475,-0.5525,
44,,-0.455,-0.5025,
45,,-0.5325,-0.4975,
46,,-0.5025,-0.48,
47,,-0.4975,-0.4825,
48,,-0.4525,-0.4475,
