"BROWNING   MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4975,-0.55,-0.6975,-0.4025,-0.6525,-0.205
2,-0.5,-0.5475,-0.6525,-0.4,-0.7,-0.2
3,-0.5,-0.55,-0.6525,-0.3975,-0.69,-0.3475
4,-0.5,-0.525,-0.6975,-0.4025,-0.6525,-0.2988
5,-0.55,-0.5525,-0.7025,-0.4,-0.675,-0.2625
6,-0.5475,-0.5525,-0.6975,-0.4,-0.6275,-0.4
7,-0.3975,-0.5475,-0.6975,-0.4025,-0.6575,-0.3975
8,-0.3975,-0.545,-0.7,-0.405,-0.6575,-0.405
9,-0.495,-0.6025,-0.76,-0.4525,-0.645,-0.55
10,-0.495,-0.5975,-0.7525,-0.445,-0.6,-0.505
11,-0.5025,-0.6,-0.755,-0.4525,-0.4775,-0.4975
12,-0.3975,-0.605,-0.6963,-0.4525,-0.48,-0.505
13,-0.3975,-0.6,-0.6475,-0.45,-0.4975,-0.4475
14,-0.3475,-0.65,-0.6,-0.455,-0.4825,-0.5725
15,-0.3525,-0.65,-0.5975,-0.4575,-0.48,-0.595
16,-0.3475,-0.645,-0.55,-0.4475,-0.4763,-0.5525
17,-0.394,-0.74,-0.6875,-0.4475,-0.4175,-0.5
18,-0.4025,-0.7275,-0.6025,-0.455,-0.3525,-0.495
19,-0.405,,-0.605,-0.495,-0.35,-0.455
20,-0.3975,-0.55,-0.6263,-0.4975,-0.375,-0.375
21,-0.4475,-0.5535,-0.645,-0.4975,-0.39,-0.3525
22,-0.45,-0.55,-0.65,-0.5525,-0.3825,-0.4
23,-0.45,-0.5525,-0.6475,-0.65,-0.3825,-0.405
24,-0.4525,-0.555,-0.6475,-0.6238,-0.3725,-0.4
25,-0.3975,-0.5025,-0.75,-0.645,-0.555,-0.3325
26,-0.4,-0.5,-0.755,-0.65,-0.565,-0.3825
27,-0.3,-0.5025,-0.745,-0.645,-0.6,-0.3525
28,-0.3013,-0.5025,-0.7475,-0.6475,-0.5475,-0.375
29,-0.295,-0.55,-0.705,-0.6,-0.4775,-0.4025
30,-0.3,-0.5525,-0.6025,-0.595,-0.4525,-0.48
31,-0.295,-0.495,-0.605,-0.6025,-0.4525,-0.445
32,-0.2975,-0.5038,-0.6025,-0.6,-0.5625,-0.45
33,-0.525,-0.6025,-0.75,-0.5925,-0.505,-0.6
34,-0.45,-0.605,-0.745,-0.5975,-0.5,-0.4475
35,-0.4525,-0.5975,-0.75,-0.6,-0.53,-0.4475
36,-0.4525,-0.55,-0.7,-0.6025,-0.55,-0.645
37,,-0.5475,-0.7025,-0.6775,-0.5475,-0.8525
38,,-0.4975,-0.7,-0.67,-0.55,-0.8025
39,,-0.5025,-0.695,-0.645,-0.45,-0.805
40,,-0.525,-0.7,-0.65,-0.45,-0.8063
41,,-0.4525,-0.7525,-0.6525,-0.415,-0.8025
42,,-0.35,-0.6525,-0.6475,-0.4025,-0.7875
43,,-0.3475,-0.6525,-0.655,-0.3975,-0.8025
44,,-0.355,-0.6163,-0.6475,-0.4,-0.8025
45,,-0.5025,-0.5475,-0.7,-0.4025,-0.79
46,,-0.4525,-0.55,-0.695,-0.3875,-0.7975
47,,-0.4475,-0.5525,-0.7025,-0.4025,-0.7525
48,,-0.4525,-0.5475,-0.7025,-0.4025,-0.6575
