"BRUNSWICK MO - AGRISERVICES OF BRUNSWICK - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.3,-0.3475,-0.1025,-0.4025,
2,-0.28,-0.2975,-0.3025,-0.1,-0.35,0.0025
3,-0.28,-0.3,-0.3025,-0.0975,-0.34,-0.0238
4,-0.28,-0.295,-0.2975,-0.1025,,0.0375
5,-0.2775,-0.3025,-0.3025,-0.1,-0.315,-0.05
6,-0.2775,-0.3025,-0.2975,-0.1,-0.2975,-0.0275
7,,-0.2975,-0.2975,-0.1525,-0.2475,
8,-0.295,,-0.3,-0.155,-0.2475,-0.13
9,-0.295,-0.3825,,-0.1025,-0.295,-0.135
10,-0.3025,-0.3775,-0.3525,-0.095,-0.3,-0.1275
11,-0.2475,-0.38,-0.355,-0.1525,-0.2475,-0.055
12,-0.2475,-0.355,-0.3475,-0.145,-0.25,-0.0975
13,-0.2475,-0.35,-0.2975,-0.15,,-0.1825
14,-0.2025,-0.35,-0.28,-0.175,-0.2025,-0.155
15,-0.1475,-0.3,-0.2775,-0.2075,-0.15,-0.155
16,-0.224,-0.295,,,-0.1463,-0.21
17,-0.2025,-0.35,-0.3175,-0.1775,-0.1475,-0.155
18,-0.205,-0.3475,-0.3225,-0.145,-0.1525,-0.045
19,-0.1975,-0.3025,-0.315,-0.165,-0.15,
20,-0.1975,-0.295,-0.3225,-0.1975,-0.145,-0.0025
21,-0.2,-0.3035,-0.315,,-0.16,0.0000
22,-0.2,-0.25,-0.32,-0.3325,-0.1525,0.0050
23,,-0.2525,-0.3175,-0.33,-0.1525,-0.05
24,-0.1475,-0.255,,-0.33,-0.1425,0.0175
25,-0.15,-0.3025,-0.4,,-0.305,-0.0825
26,-0.1,-0.3,-0.395,,-0.215,-0.0525
27,,-0.3025,-0.395,,-0.3,-0.1025
28,-0.095,-0.2525,-0.3975,,-0.2975,-0.0525
29,-0.1,,-0.405,,-0.1475,-0.12
30,-0.105,-0.2025,-0.4025,,-0.1525,-0.045
31,-0.0975,-0.245,-0.395,,-0.1525,
32,-0.105,-0.2538,-0.4,,-0.2625,-0.3
33,-0.11,,-0.5,-0.3925,-0.255,-0.3975
34,-0.1025,,-0.455,-0.3975,-0.35,-0.3975
35,,,-0.45,-0.4,-0.38,-0.395
36,,,,,-0.3525,-0.5525
37,,-0.3975,-0.4825,-0.4675,-0.2475,-0.5525
38,,-0.3975,-0.48,-0.46,-0.2,-0.555
39,,-0.4025,-0.485,-0.465,-0.05,-0.5563
40,,-0.375,-0.48,-0.45,-0.05,-0.5525
41,,-0.3225,,-0.4525,-0.015,-0.4875
42,,-0.3,-0.4525,-0.4475,-0.0025,-0.5025
43,,-0.2975,-0.4025,-0.355,0.0025,-0.4025
44,,-0.295,-0.3525,-0.3475,,-0.39
45,,-0.3825,-0.3475,-0.45,-0.0725,-0.3475
46,,-0.3525,-0.33,-0.455,-0.0875,-0.3525
47,,-0.3475,-0.3325,-0.4025,-0.1025,-0.375
48,,-0.3025,-0.2975,,-0.105,
