"CAMERON   MO - CAMERON COOP - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3475,-0.5,-0.4475,-0.2225,-0.5025,
2,-0.35,-0.4975,-0.4025,-0.22,-0.53,-0.2475
3,-0.35,-0.5,-0.4025,-0.2175,-0.52,-0.2338
4,-0.35,-0.395,-0.3575,-0.2525,-0.4325,-0.1825
5,-0.35,-0.3825,-0.4525,-0.22,-0.365,-0.25
6,-0.3475,-0.4025,-0.4975,-0.22,-0.3475,-0.2475
7,-0.2275,-0.3975,-0.4475,-0.2225,-0.3475,-0.205
8,-0.2175,,-0.45,-0.225,-0.3475,-0.28
9,-0.315,-0.4625,-0.45,-0.2225,-0.415,-0.285
10,-0.285,-0.4975,-0.4525,-0.215,-0.46,-0.2975
11,-0.2825,-0.5,-0.455,-0.2225,-0.4575,-0.335
12,-0.2575,-0.505,-0.4813,-0.2675,-0.46,-0.3475
13,-0.2475,-0.48,-0.4675,-0.3,-0.3975,-0.3725
14,-0.2475,-0.48,-0.47,-0.295,-0.4025,-0.345
15,-0.2525,-0.48,-0.4675,-0.3075,-0.4,-0.345
16,-0.2475,-0.475,-0.4,-0.3175,-0.3363,-0.3
17,-0.354,-0.52,-0.4575,-0.3275,-0.3575,-0.325
18,-0.2825,-0.5175,-0.4225,-0.355,-0.3625,-0.245
19,-0.255,-0.5225,-0.425,-0.345,-0.36,-0.245
20,-0.2475,-0.49,-0.4813,-0.3475,-0.355,-0.2125
21,-0.2475,-0.4035,-0.345,-0.2975,-0.27,-0.21
22,-0.25,-0.4,-0.35,-0.4025,-0.2625,-0.275
23,-0.2,-0.4025,-0.3475,-0.4,-0.2225,-0.25
24,-0.2025,-0.395,-0.3475,,-0.2425,-0.1825
25,-0.2575,-0.4025,-0.48,-0.475,-0.445,-0.2325
26,-0.13,-0.4,-0.475,-0.48,-0.405,-0.2025
27,0.0200,-0.4025,-0.475,-0.475,-0.44,-0.22
28,0.0187,-0.3025,-0.5575,-0.4775,-0.4175,-0.2725
29,0.0050,-0.3,-0.565,-0.5,-0.3275,-0.29
30,0.0000,-0.3025,-0.5625,-0.495,-0.3325,
31,0.0050,-0.295,-0.565,-0.5025,-0.3325,
32,0.0325,-0.2788,-0.4725,-0.5,-0.4425,-0.5
33,-0.025,-0.3525,-0.55,-0.5425,-0.455,-0.4975
34,-0.06,-0.355,-0.555,-0.6975,-0.48,-0.5475
35,-0.2425,-0.3475,-0.4,-0.65,-0.48,-0.545
36,-0.2825,-0.45,-0.45,-0.6025,-0.465,-0.9525
37,,-0.3175,-0.6025,-0.6475,-0.4575,-0.8325
38,,-0.3475,-0.55,-0.64,-0.43,-0.825
39,,-0.3025,-0.565,-0.645,-0.4,-0.8463
40,,-0.325,-0.52,-0.65,-0.3,-0.8525
41,,-0.3025,-0.5525,-0.6525,-0.315,-0.7875
42,,-0.24,-0.4625,-0.6475,-0.2825,-0.8525
43,,-0.2975,-0.4225,-0.545,-0.2775,
44,,-0.295,-0.3363,-0.4825,-0.28,-0.64
45,,-0.4025,-0.5475,-0.55,-0.2225,-0.4675
46,,-0.4225,-0.55,-0.485,-0.2075,-0.5525
47,,-0.4175,-0.5025,-0.4825,-0.2425,-0.515
48,,-0.4225,-0.4975,-0.4625,-0.2225,
