"CANTON MO - URSA FARMERS COOP-GREGORY LANDING - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2375,-0.15,-0.1075,
2,-0.26,-0.1475,-0.0925,
3,-0.28,-0.15,-0.1225,-0.06
4,-0.235,-0.155,-0.1175,-0.05
5,-0.19,-0.1625,-0.1125,-0.0525
6,-0.2175,-0.1525,-0.1175,-0.075
7,-0.1875,-0.1075,-0.1175,-0.0625
8,-0.2275,-0.115,-0.09,-0.045
9,-0.275,-0.2025,-0.13,-0.0425
10,-0.245,-0.3075,-0.1125,-0.0525
11,-0.2125,-0.31,-0.135,-0.05
12,-0.2275,-0.345,-0.1113,-0.065
13,-0.2075,-0.27,-0.1275,-0.0675
14,-0.1875,-0.32,-0.09,-0.0675
15,-0.1425,-0.24,-0.0775,-0.0875
16,-0.1175,-0.175,-0.06,-0.075
17,-0.204,-0.23,-0.1575,-0.135
18,-0.2125,-0.1875,-0.1525,-0.1175
19,-0.215,-0.2225,-0.145,-0.1275
20,-0.2425,-0.235,-0.1613,-0.1225
21,-0.2375,-0.2735,-0.245,-0.14
22,-0.23,-0.22,-0.18,-0.1238
23,-0.2,-0.1525,-0.2175,-0.105
24,-0.1925,-0.135,-0.1875,-0.07
25,-0.1475,-0.2425,-0.32,-0.025
26,-0.1,-0.18,-0.315,0.0125
27,-0.14,-0.2125,-0.305,-0.05
28,-0.2663,-0.2225,-0.3175,-0.065
29,-0.265,-0.29,-0.255,-0.1225
30,-0.32,-0.2825,-0.2225,-0.145
31,-0.275,-0.235,-0.205,-0.2525
32,-0.2775,-0.2938,-0.2225,-0.3375
33,-0.335,-0.3925,-0.33,-0.31
34,-0.27,-0.425,-0.345,-0.3625
35,-0.2825,-0.5075,-0.42,-0.4075
36,-0.2925,-0.44,-0.52,-0.3
37,,-0.3975,-0.5025,-0.295
38,,-0.3475,-0.36,-0.41
39,,-0.4125,-0.345,-0.2925
40,,-0.31,-0.36,-0.1075
41,,-0.1725,-0.3325,-0.145
42,,-0.12,-0.2525,-0.1275
43,,-0.1275,-0.2225,-0.16
44,,-0.105,-0.1263,-0.155
45,,-0.2225,-0.2175,-0.1525
46,,-0.3125,-0.19,-0.1325
47,,-0.2475,-0.2025,
48,,-0.2525,-0.1975,
