"CENTER MO - ADM QUINCY - Corn Basis"
"Week
","2017
","2016
","2015
","2014
"
1,-0.2275,-0.0825,-0.5025,-0.095
2,-0.2425,-0.08,-0.5,-0.14
3,-0.2925,0.0025,,-0.1175
4,-0.2975,-0.1425,-0.3525,-0.1438
5,-0.2725,-0.12,-0.355,-0.1225
6,-0.2775,-0.12,-0.2475,-0.14
7,-0.2275,-0.1625,-0.1675,-0.1875
8,-0.21,-0.225,-0.1875,-0.225
9,-0.28,-0.1825,-0.265,-0.37
10,-0.2825,-0.135,-0.18,-0.375
11,-0.305,-0.1425,-0.1975,-0.2975
12,-0.2913,-0.1525,-0.23,-0.165
13,-0.3075,-0.15,-0.2275,-0.1675
14,-0.28,-0.125,-0.2525,-0.1425
15,-0.2775,-0.1775,-0.23,-0.135
16,-0.25,-0.1275,-0.0913,-0.0775
17,-0.3575,-0.1975,,-0.13
18,-0.3125,-0.185,,-0.135
19,-0.295,-0.225,,-0.135
20,-0.2663,-0.2375,,-0.125
21,-0.355,-0.2275,-0.18,-0.1325
22,-0.29,-0.1725,-0.2125,-0.15
23,-0.3075,-0.2,-0.1825,-0.095
24,-0.3175,-0.2688,-0.2225,-0.05
25,-0.41,-0.295,-0.295,0.0175
26,-0.455,-0.29,-0.285,0.0875
27,-0.415,-0.225,-0.26,-0.0125
28,-0.4175,-0.2275,-0.2475,0.0250
29,-0.385,-0.27,-0.2275,-0.1125
30,-0.3425,-0.245,-0.2325,-0.18
31,-0.295,-0.3425,-0.2625,-0.365
32,-0.3575,-0.355,-0.3525,-0.16
33,-0.55,-0.4025,,-0.4
34,-0.565,-0.4975,,-0.5475
35,-0.55,-0.51,,-0.4475
36,-0.63,-0.4925,,-0.505
37,,,-0.3475,-0.7025
38,,,-0.35,-0.8025
39,,,-0.26,-0.805
40,,,-0.2,-0.8513
41,-0.4625,-0.4425,-0.115,-0.8525
42,-0.4525,-0.3375,-0.0525,-0.6975
43,-0.3825,-0.345,-0.0275,-0.7025
44,-0.1913,-0.3325,-0.05,-0.5025
45,-0.3875,-0.34,-0.1225,-0.5
46,,-0.315,-0.0475,-0.5775
47,,-0.3025,-0.0925,-0.5825
48,,-0.2825,-0.0925,-0.5575
