"CHARLESTON MO - BIRDS POINT TERMINAL - Corn Basis"
"Week
","2016
","2015
","2014
"
1,0.0475,-0.0525,0.2650
2,0.0800,0.1100,0.2100
3,0.0625,0.1300,0.1925
4,0.1175,0.0175,0.2363
5,0.0600,0.1250,0.2875
6,0.0200,0.1125,0.2200
7,0.0375,,0.3325
8,0.0150,0.2025,0.1950
9,-0.0025,0.1050,0.1300
10,-0.005,0.1200,0.1850
11,-0.0025,0.0625,0.1325
12,0.0025,0.0900,0.1850
13,,0.0725,0.1425
14,,0.0475,0.1475
15,,0.1200,0.1650
16,,0.1438,0.1675
17,,0.1225,0.1200
18,,0.1175,0.1450
19,,0.0900,0.1550
20,,0.1350,0.2850
21,,0.0700,0.1375
22,,0.0775,0.2000
23,,0.1175,0.2050
24,,0.1275,0.1800
25,,-0.025,0.2375
26,,0.0250,0.2175
27,,0.0400,
28,,-0.0125,0.1550
29,,-0.0975,0.0175
30,,-0.2325,0.0500
31,,-0.1525,0.1550
32,,-0.1325,0.2000
33,,-0.375,-0.15
34,,-0.28,-0.1175
35,,-0.3,-0.3175
36,,-0.28,-0.395
37,,-0.2475,-0.5225
38,,-0.15,-0.7525
39,,-0.13,-0.445
40,,0.0500,-0.3763
41,,0.1050,-0.1725
42,,0.1275,-0.0475
43,,0.1625,-0.0525
44,,0.0700,0.1475
45,,0.0375,0.0800
46,,0.0925,-0.0575
47,,0.1075,-0.0325
48,,-0.025,-0.095
