"CHARLESTON MO - CGB-BIRDS POINT TERMINAL - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0275,0.0900,0.1025,
2,-0.03,0.0725,0.0875,
3,-0.06,0.1200,0.0475,
4,-0.005,0.0600,0.0325,
5,0.0600,0.0675,0.1175,
6,0.0525,0.0375,0.0525,
7,0.0825,0.0925,0.1025,
8,0.0025,0.0750,0.0800,
9,-0.045,0.0275,0.0400,
10,-0.045,-0.0675,-0.0225,
11,-0.0025,-0.2,-0.025,
12,0.0125,-0.195,-0.0163,
13,0.0025,,,0.0850
14,-0.0075,,,0.0500
15,0.0075,,,0.1950
16,0.0125,,,0.1925
17,-0.054,0.0000,,
18,,0.0025,,
19,,-0.0025,,
20,,0.0000,,-0.005
21,,,,-0.1425
22,,,,-0.2075
23,,,,-0.11
24,,,,-0.2325
25,,,-0.2,-0.3075
26,,,-0.205,-0.24
27,,,-0.195,-0.255
28,,,-0.2975,-0.2
29,-0.255,,-0.205,-0.1025
30,-0.28,,-0.1925,-0.1475
31,-0.315,,-0.175,-0.155
32,-0.2975,,-0.1275,-0.1225
33,-0.455,-0.2025,-0.3,-0.12
34,-0.34,-0.295,-0.305,-0.005
35,-0.2625,-0.3375,-0.36,0.0175
36,-0.3025,-0.34,-0.45,0.0175
37,,-0.2375,-0.4525,
38,,-0.2975,-0.33,
39,,-0.2525,-0.275,
40,,-0.2525,-0.27,
41,,,-0.1925,
42,,,-0.1525,
43,,,-0.1025,
44,,,-0.0513,
45,,-0.0525,-0.0975,
46,,-0.0525,-0.11,
47,,-0.0175,-0.1825,
48,,-0.0625,-0.0575,
