CRAIG MO - CRAIG GRAIN &amp; SUPPLY CO - Corn Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.4275,-0.49,-0.4775,-0.2025,-0.4025,-0.285
2,-0.4,-0.4875,-0.4825,-0.2,-0.4,-0.24
3,-0.4,-0.49,-0.4725,-0.2075,-0.4,-0.2175
4,-0.38,-0.445,-0.4775,-0.2925,-0.3825,-0.2688
5,-0.36,-0.4525,-0.4925,-0.28,-0.365,-0.2425
6,-0.3575,-0.4525,-0.5475,-0.26,-0.2575,-0.26
7,-0.3575,-0.4475,-0.5475,-0.3025,,-0.3475
8,-0.3575,-0.445,-0.55,-0.295,-0.2475,-0.365
9,-0.335,-0.5325,-0.6,-0.3325,-0.295,-0.44
10,-0.335,-0.5275,-0.5725,-0.305,-0.29,-0.515
11,-0.3325,-0.53,-0.555,-0.2825,-0.3275,-0.5175
12,-0.3475,-0.525,-0.5113,-0.2725,-0.31,
13,-0.2975,-0.5,-0.4875,-0.28,-0.3075,-0.4875
14,-0.3775,-0.5,-0.48,-0.285,-0.2825,-0.4625
15,-0.3825,-0.47,-0.4675,,-0.27,-0.475
16,-0.3875,-0.415,-0.44,-0.3475,-0.2413,-0.4125
17,-0.464,-0.46,-0.4975,-0.4075,-0.2475,-0.43
18,-0.4725,-0.4575,-0.4825,-0.445,-0.2525,-0.445
19,-0.345,-0.4625,-0.465,-0.435,-0.22,-0.365
20,-0.4875,-0.455,-0.4313,-0.4575,-0.195,-0.305
21,-0.3775,-0.4335,-0.465,-0.4675,-0.2,-0.2325
22,-0.38,-0.43,-0.56,-0.4825,-0.2025,-0.24
23,-0.38,-0.4325,-0.5575,-0.49,-0.2025,-0.235
24,-0.3825,-0.345,-0.5375,-0.4888,-0.1625,-0.2
25,-0.3475,-0.4125,,-0.475,-0.445,-0.1225
26,-0.25,-0.41,-0.695,-0.41,-0.445,-0.2425
27,-0.25,-0.4125,-0.695,-0.395,-0.45,-0.3025
28,-0.2113,-0.4125,-0.6575,-0.3975,-0.4225,-0.345
29,-0.205,-0.45,-0.605,-0.37,-0.3875,-0.3325
30,-0.21,-0.4525,-0.6025,-0.395,-0.3925,-0.33
31,-0.205,-0.445,-0.515,-0.4325,-0.2725,-0.305
32,-0.2075,-0.4138,-0.5175,-0.435,-0.3725,-0.3
33,-0.245,-0.5425,-0.68,-0.5425,-0.315,-0.32
34,-0.25,-0.535,-0.655,-0.5675,-0.29,
35,-0.2525,-0.5275,-0.66,-0.5,-0.46,-0.4975
36,-0.2525,-0.53,-0.63,-0.5625,-0.39,-0.625
37,,-0.5575,-0.6325,-0.6575,-0.4375,-0.6725
38,,-0.4575,-0.63,-0.63,-0.47,-0.8625
39,,-0.4625,-0.595,-0.515,-0.42,-0.815
40,,-0.425,-0.65,-0.51,-0.43,-0.8525
41,,-0.3925,-0.6525,-0.5825,-0.465,-0.8725
42,,-0.34,-0.6525,-0.5675,-0.4225,-0.7775
43,,-0.3375,-0.6525,-0.485,-0.2375,-0.6325
44,,-0.335,-0.5813,-0.3975,-0.2,-0.5825
45,,-0.4325,-0.5775,-0.48,-0.2925,-0.62
46,,-0.4325,,-0.485,-0.2275,-0.5475
47,,-0.4275,-0.5825,-0.4825,-0.2425,-0.4725
48,,-0.4325,-0.5775,-0.4825,-0.2625,-0.4675
