"DEXTER MO - TYSON FOODS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,0.1025,,0.1425,,0.0975,
2,0.1000,,0.1475,,0.1000,
3,0.1000,,0.1475,,0.1000,
4,0.1000,,0.1425,,0.0975,
5,0.1200,0.0475,0.1475,,0.0950,
6,0.1225,-0.0575,0.1925,,0.0925,
7,0.1225,0.0700,0.2525,,0.0925,
8,0.1425,,0.1800,,0.2425,
9,0.0450,0.1000,0.1800,,0.3450,
10,0.1450,0.1000,0.1775,,0.2800,
11,0.1475,0.1000,0.1750,,0.2425,
12,0.1525,0.1550,,,0.2500,
13,0.0525,0.0500,,,,
14,0.0525,0.1025,,,,
15,0.0475,0.0975,,,,
16,0.1425,0.1000,,,,
17,0.1260,0.0965,,,,
18,0.1475,0.1000,-0.0225,,,
19,0.1450,0.1475,,,,-0.05
20,0.2325,0.1550,,,,-0.21
21,0.2425,0.0975,,,,-0.1775
22,0.2300,0.1200,,0.0000,,-0.1075
23,0.2000,0.1975,,-0.005,,-0.005
24,0.2175,0.0975,,-0.0025,,-0.0025
25,0.1525,0.0000,,0.2450,,
26,0.1500,0.0975,,0.0075,,
27,0.1500,0.1050,,-0.0075,,-0.0612
28,0.1488,-0.0037,,0.2000,,
29,0.0550,-0.0025,,0.1975,,0.2425
30,0.0500,-0.005,,0.1925,,0.0975
31,0.0450,0.0025,,0.2100,,0.1475
32,0.0325,0.0000,,0.1950,,0.0500
33,-0.005,0.0525,,0.2000,-0.035,0.0425
34,0.0000,0.0525,,0.1975,0.1000,0.0975
35,0.0475,0.0975,,0.1925,0.0200,0.1025
36,0.0475,0.1250,,0.1950,0.1000,
37,,0.1475,-0.0525,0.1925,0.0925,
38,,0.1500,-0.05,0.0700,0.1500,
39,,0.1525,-0.005,0.1550,0.1400,
40,,0.1450,0.0000,0.1475,0.1500,
41,,0.0975,0.0475,0.1475,0.2250,
42,,0.1375,0.0475,,0.2475,
43,,0.1425,0.0475,,0.2425,
44,,0.1375,0.1488,,0.2500,
45,,,0.0825,,0.2475,
46,,,0.0800,,,
47,,,0.0775,,,
48,,,0.0825,,,
