"DUDLEY MO - ADM GRAIN - Corn Basis"
"Week
","2018
","2017
","2016
","2015
","2014
"
1,-0.3,-0.1475,-0.1525,-0.3225,-0.115
2,-0.2975,-0.1525,-0.15,-0.25,-0.1
3,-0.3,-0.2025,-0.1475,-0.17,-0.1475
4,-0.295,-0.1975,-0.1525,-0.3025,-0.1488
5,,,-0.15,-0.245,-0.1125
6,,,-0.2,-0.2475,-0.1
7,,,-0.2525,-0.2475,-0.0475
8,,,-0.205,-0.1775,-0.095
9,,,-0.2125,,-0.2
10,,-0.2625,-0.195,-0.2,-0.145
11,,-0.255,-0.2025,-0.2475,-0.1475
12,,-0.2563,-0.2225,-0.25,-0.145
13,,-0.2575,-0.2,-0.2475,-0.1975
14,,-0.26,-0.205,-0.2025,-0.2025
15,,-0.2575,-0.2075,-0.2,-0.195
16,,-0.26,,-0.1963,-0.1725
17,,-0.3175,,-0.1475,-0.2
18,,-0.3025,-0.205,-0.1525,-0.195
19,,-0.295,-0.325,-0.2,-0.195
20,,-0.3263,-0.3275,-0.205,-0.145
21,,-0.385,-0.2975,-0.21,-0.1525
22,,-0.35,-0.2025,-0.2525,-0.15
23,,-0.3475,-0.25,-0.2025,-0.145
24,,-0.3475,-0.2,-0.2025,-0.15
25,,-0.45,-0.155,-0.335,-0.0925
26,,-0.455,,-0.315,-0.1325
27,,-0.395,,-0.35,-0.1325
28,,-0.3975,,-0.3975,-0.135
29,,-0.305,-0.1,-0.3475,-0.2025
30,,-0.3025,-0.195,-0.4025,-0.25
31,,-0.295,-0.2525,-0.4025,-0.245
32,,-0.2975,-0.25,-0.3625,-0.2
33,,-0.45,,,-0.41
34,,-0.455,,,-0.2675
35,,-0.45,,,-0.3275
36,,-0.45,,,-0.535
37,,-0.5025,-0.3475,-0.1975,-0.4525
38,,-0.5,-0.34,-0.2,-1.0025
39,,-0.505,-0.345,-0.2,-0.695
40,,-0.5,-0.35,-0.15,-0.6513
41,,-0.4125,,-0.165,-0.4025
42,,-0.4125,-0.2475,-0.1525,-0.2475
43,,-0.3025,-0.255,-0.1475,-0.3025
44,,-0.3013,-0.2875,-0.15,-0.1025
45,,-0.4275,-0.25,-0.2225,-0.36
46,,-0.35,-0.145,-0.1375,-0.2875
47,,-0.4025,-0.1525,-0.1525,-0.3525
48,,-0.3975,-0.1525,-0.1775,-0.3525
