"EAST PRAIRIE MO - CGB ENTERPRISES INC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0275,0.0900,,
2,-0.05,0.1125,,
3,-0.1,0.1200,0.0975,
4,0.0250,0.0650,0.0725,
5,0.0800,0.0675,0.1025,
6,0.0525,0.0275,0.1200,
7,0.0825,0.1525,0.0400,
8,0.0225,0.0750,0.0475,
9,-0.045,0.0575,0.0150,
10,-0.005,-0.0875,-0.0163,
11,-0.0025,-0.2,,
12,0.0225,-0.195,,
13,,-0.04,,
14,,-0.07,0.0500,
15,,-0.07,-0.0275,
16,,0.0850,0.4075,
17,,-0.03,-0.045,
18,,0.0525,-0.0662,
19,,0.0275,-0.125,
20,,0.0300,-0.07,
21,,,-0.0775,
22,,,-0.1075,
23,,,-0.22,
24,,,-0.225,
25,0.0025,,-0.205,
26,0.0300,,-0.2275,
27,,,-0.145,
28,,,-0.1625,
29,,-0.05,-0.105,
30,,0.0275,-0.1025,
31,,0.0050,-0.25,
32,,-0.0788,-0.245,
33,,-0.2525,-0.32,
34,-0.3,-0.315,-0.4,
35,-0.2225,-0.4175,-0.2525,
36,-0.2525,-0.26,-0.22,
37,,-0.2675,-0.235,
38,,-0.3275,-0.23,
39,,-0.3225,-0.2025,
40,,-0.195,-0.1325,
41,,-0.0525,-0.1025,
42,,-0.05,-0.0313,
43,,-0.0675,-0.1075,
44,,-0.045,-0.12,
45,,-0.0725,-0.1325,
46,,-0.0825,0.0025,
47,,-0.0275,,
48,,-0.0525,,
