"GALLATIN  MO - MFA AGRI SERVICE - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
"
1,-0.4475,-0.54,-0.6175,-0.4425,
2,-0.45,-0.5375,-0.6225,-0.44,
3,-0.45,-0.54,-0.6225,-0.4375,
4,-0.45,-0.54,-0.6175,-0.4425,
5,-0.45,-0.4925,-0.5425,-0.34,
6,-0.4475,-0.4925,-0.5375,-0.34,
7,-0.4475,-0.4875,-0.5375,-0.3425,
8,-0.4475,-0.495,-0.54,-0.345,
9,-0.555,-0.5725,-0.59,-0.3825,
10,-0.455,-0.5675,-0.5925,-0.375,
11,-0.4525,-0.57,-0.595,-0.3825,
12,-0.4475,-0.565,-0.5763,-0.3775,
13,-0.4475,-0.55,-0.5675,-0.42,
14,-0.4475,-0.55,-0.57,-0.455,-0.5
15,-0.4525,-0.55,-0.5675,-0.4575,-0.4975
16,-0.4475,-0.545,-0.57,-0.4475,-0.4475
17,-0.394,-0.59,-0.6475,-0.5175,-0.4425
18,-0.4025,-0.5875,-0.6525,-0.525,-0.4325
19,-0.405,-0.5925,-0.655,-0.515,-0.5525
20,-0.3975,-0.585,-0.6513,-0.5175,-0.445
21,-0.3975,,-0.575,-0.5175,-0.44
22,-0.4,-0.5,-0.58,-0.5225,-0.56
23,-0.4,-0.5025,-0.5775,-0.57,-0.53
24,-0.4025,-0.505,-0.5775,-0.5888,-0.5275
25,-0.3975,-0.4825,-0.62,-0.605,-0.53
26,-0.4,-0.47,-0.625,-0.6,-0.53
27,-0.4,-0.4625,-0.615,-0.605,-0.53
28,-0.4013,-0.4625,-0.6175,-0.4975,-0.545
29,-0.245,-0.5,,,-0.5325
30,-0.25,-0.3025,-0.6025,,-0.4175
31,-0.245,-0.295,-0.605,,-0.37
32,-0.2475,-0.2988,-0.6025,,-0.4025
33,-0.425,,-0.67,,-0.3875
34,-0.4,,-0.665,,-0.4025
35,-0.4025,,-0.67,,-0.4025
36,-0.4025,,-0.67,,
37,,-0.4475,-0.6325,-0.6775,
38,,-0.4475,-0.63,-0.67,
39,,-0.4525,-0.635,-0.675,
40,,-0.45,-0.63,-0.68,
41,,-0.4525,-0.6325,-0.6825,
42,,-0.45,-0.6325,-0.6775,
43,,-0.4475,-0.6325,-0.685,
44,,-0.455,-0.5913,-0.6775,
45,,-0.4525,-0.7175,-0.65,
46,,-0.4425,-0.72,-0.645,
47,,-0.4475,-0.7225,-0.6525,
48,,-0.4525,-0.7175,-0.6525,
