"HAMILTON  MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3975,-0.54,-0.6275,-0.4425,-0.7025,-0.235
2,-0.4,-0.5375,-0.6225,-0.44,-0.7,-0.25
3,-0.4,-0.54,-0.6225,-0.4475,-0.7,-0.3075
4,-0.4,-0.54,-0.6275,-0.4425,-0.7025,-0.2838
5,-0.4,-0.4925,-0.5425,-0.45,-0.735,-0.2725
6,-0.3975,-0.4925,-0.5475,-0.34,-0.7075,-0.25
7,-0.3975,-0.4875,-0.5475,-0.3425,-0.7075,-0.2875
8,-0.3975,-0.495,-0.54,-0.355,-0.7075,-0.305
9,-0.555,-0.5725,-0.61,-0.3825,-0.585,-0.4
10,-0.455,-0.5675,,-0.385,-0.57,-0.405
11,-0.4525,-0.57,-0.595,-0.3825,-0.4875,-0.4575
12,-0.4475,-0.565,-0.5863,-0.3825,-0.48,-0.505
13,-0.4475,-0.55,-0.5675,-0.42,-0.4875,-0.4475
14,-0.4475,-0.55,-0.57,-0.455,-0.4825,-0.5025
15,-0.4525,-0.55,-0.5775,-0.4675,-0.48,-0.505
16,-0.4475,-0.545,-0.57,-0.4575,-0.4863,-0.5025
17,-0.394,-0.59,-0.6475,-0.5275,-0.4875,-0.55
18,-0.4025,-0.5875,-0.6525,-0.525,-0.5425,-0.505
19,-0.405,-0.5925,-0.655,-0.525,-0.43,-0.475
20,-0.3975,-0.585,-0.6513,-0.5275,-0.435,-0.405
21,-0.3975,,-0.585,-0.5075,-0.38,
22,-0.4,-0.5,-0.58,-0.5225,-0.3825,-0.42
23,-0.4,-0.5025,-0.5875,-0.57,-0.3825,-0.425
24,-0.4025,-0.505,-0.5875,-0.5938,-0.3825,-0.36
25,-0.3975,-0.4825,,-0.605,-0.455,-0.2525
26,-0.4,-0.47,-0.625,-0.6,-0.415,-0.4025
27,-0.4,-0.4625,-0.615,-0.605,-0.5,-0.4325
28,-0.4013,-0.4625,-0.6175,-0.4975,-0.5075,-0.42
29,-0.245,-0.35,,-0.47,-0.4475,-0.3825
30,-0.25,-0.3025,-0.6025,-0.435,-0.4425,-0.38
31,-0.245,-0.295,-0.605,-0.4825,-0.4425,-0.305
32,-0.2475,-0.2988,-0.6025,-0.46,-0.5525,-0.45
33,-0.405,,-0.67,-0.5825,-0.445,-0.47
34,-0.38,,-0.665,-0.5975,-0.44,-0.4575
35,-0.3825,,-0.67,-0.59,-0.56,
36,-0.3825,,-0.67,-0.5925,-0.535,-0.705
37,,-0.3975,-0.6325,-0.6875,-0.5375,-0.8625
38,,-0.3975,-0.55,-0.67,-0.53,-0.7425
39,,-0.4025,-0.555,-0.685,-0.48,-0.805
40,,-0.3,-0.55,-0.68,-0.47,-0.8513
41,,-0.2025,-0.5525,-0.6825,-0.495,-0.8525
42,,-0.2,-0.5525,-0.6875,-0.4725,-0.8575
43,,-0.1975,-0.5525,-0.685,-0.4275,-0.9725
44,,-0.205,-0.5513,-0.6825,-0.37,-0.9725
45,,-0.4025,-0.6775,-0.65,-0.4025,-0.83
46,,-0.3925,-0.68,-0.655,-0.3975,-0.8375
47,,-0.3975,-0.6725,-0.6525,-0.4125,-0.8325
48,,-0.4025,-0.6775,-0.6525,-0.4025,-0.7775
