"JEFFERSON CITY MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.53,-0.4975,,-0.5625,
2,-0.44,-0.4875,-0.4225,-0.2775,-0.51,
3,-0.48,-0.53,-0.5125,,,
4,-0.5,-0.54,-0.5375,,,
5,-0.4775,-0.5325,-0.5325,,,
6,-0.3975,-0.5725,-0.5075,,-0.6075,
7,-0.3375,-0.4575,-0.5875,,,
8,-0.555,-0.545,-0.41,,,
9,-0.565,-0.6225,-0.43,,,
10,-0.6125,-0.5875,-0.5225,,,
11,-0.6775,-0.45,-0.435,,-0.4475,
12,-0.5175,-0.535,-0.4313,,,
13,-0.5175,-0.61,-0.4775,,-0.3575,
14,-0.4925,-0.67,-0.54,,,
15,-0.4175,-0.63,,-0.3075,,-0.295
16,-0.614,-0.565,-0.49,-0.3675,,
17,-0.6425,-0.75,-0.4975,,,
18,-0.685,-0.7375,-0.4425,,-0.3225,
19,-0.6975,-0.6425,-0.465,,,
20,,-0.56,-0.4913,-0.3975,,
21,,-0.4335,-0.645,-0.4625,,
22,,-0.48,-0.62,-0.56,,
23,,-0.4425,-0.5375,-0.3188,,
24,,-0.425,-0.4175,-0.315,-0.4425,
25,,-0.5225,,,-0.525,
26,,-0.4,-0.855,-0.175,-0.505,
27,,-0.5725,-0.625,-0.1575,-0.54,
28,,-0.5925,-0.6875,-0.15,,-0.755
29,,-0.57,-0.535,-0.225,,-0.8625
30,,-0.5625,-0.6225,-0.2025,,
31,,-0.465,-0.525,-0.22,-0.4725,
32,,-0.3188,-0.4075,-0.5225,,
33,,-0.5025,-0.19,-0.5175,,-0.8025
34,,-0.525,-0.515,-0.5,,
35,,-0.3775,-0.65,-0.4425,,
36,,-0.54,-0.67,-0.6275,-0.7325,-0.7925
37,,-0.4475,-0.6825,-0.51,,
38,,-0.4275,-0.69,-0.535,-0.64,
39,,-0.5525,-0.585,-0.54,,
40,,-0.485,-0.61,-0.4625,-0.4,
41,,-0.5325,-0.5825,-0.5075,,
42,,-0.46,-0.5825,-0.435,,
43,,-0.3075,-0.4825,-0.4375,-0.3075,
44,,-0.265,-0.5213,-0.68,-0.37,
45,,-0.5025,-0.6275,-0.565,-0.3925,
46,,-0.5525,-0.59,-0.5025,,
47,,-0.5175,-0.5925,-0.4525,,
48,,-0.4325,-0.5375,,,
