"KANSAS CITY MO - USDA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0375,-0.15,-0.1375,,-0.1525,0.0150
2,,-0.1275,-0.1525,0.0425,-0.14,0.0500
3,,-0.13,-0.1525,0.0475,-0.12,0.0925
4,-0.0425,-0.145,-0.1575,0.0500,-0.1225,0.0562
5,-0.02,-0.1525,-0.1525,0.0400,-0.085,0.0875
6,-0.0175,-0.1525,-0.1775,0.0475,-0.0775,0.0500
7,0.0425,-0.1575,-0.1875,0.0150,-0.0875,0.0425
8,0.0425,-0.135,-0.18,-0.0325,-0.0075,0.0450
9,-0.135,-0.1825,-0.25,-0.005,-0.055,-0.05
10,-0.005,-0.1875,-0.2225,-0.0225,-0.05,-0.055
11,0.0275,-0.16,-0.225,-0.0225,-0.0075,-0.0575
12,0.0225,-0.155,-0.1813,-0.02,0.0000,-0.055
13,0.0225,-0.14,-0.1575,-0.005,-0.0175,-0.0475
14,0.0725,-0.14,-0.15,-0.0275,-0.0025,-0.0425
15,0.1375,-0.1,-0.1575,-0.0475,0.0000,-0.045
16,0.1725,-0.055,-0.15,-0.0875,0.0337,-0.0225
17,0.0860,-0.14,-0.1675,-0.035,0.0225,-0.02
18,0.0875,-0.1475,-0.1525,-0.045,0.0275,-0.005
19,0.0850,-0.1025,-0.105,-0.0575,0.0200,0.0350
20,0.0025,-0.105,-0.1013,-0.0775,0.0450,0.0550
21,-0.0075,-0.0835,-0.155,-0.1225,0.0500,0.0575
22,0.0000,-0.07,-0.18,-0.12,0.0475,0.0900
23,-0.01,-0.0025,-0.1575,-0.0938,0.0975,0.1150
24,0.1475,-0.005,-0.1575,-0.135,0.0675,0.1000
25,0.1425,-0.0925,-0.25,-0.07,-0.055,0.1775
26,0.1500,0.0300,-0.255,-0.105,-0.015,
27,0.2000,0.0775,-0.255,-0.1075,-0.05,0.0175
28,0.1988,0.0475,-0.2575,-0.1,-0.0525,0.0300
29,0.1450,0.0000,-0.255,-0.105,-0.0475,0.0675
30,0.1500,-0.0425,-0.2025,-0.1325,-0.0025,0.0700
31,0.1450,-0.055,-0.185,-0.19,0.0175,0.1450
32,0.1925,-0.1038,-0.1525,-0.2825,,-0.21
33,0.0950,-0.2525,-0.3,-0.2975,,-0.02
34,0.1000,-0.255,-0.285,-0.29,-0.13,-0.0275
35,0.0375,-0.3075,-0.28,-0.3325,,-0.1575
36,-0.0525,-0.42,-0.32,-0.4075,-0.175,-0.205
37,,-0.4875,-0.3825,-0.39,-0.2275,-0.5525
38,,-0.3575,-0.4,-0.405,-0.17,-0.6025
39,,-0.2025,-0.405,-0.35,-0.06,-0.505
40,,-0.14,-0.4,-0.3325,0.0000,-0.5013
41,,-0.0525,-0.3525,-0.3075,0.0550,-0.4525
42,,-0.02,-0.3225,-0.205,0.0775,-0.4075
43,,-0.0075,-0.2725,-0.1325,0.1425,-0.3025
44,,0.0350,-0.1363,-0.18,0.1200,-0.2525
45,,-0.0925,-0.2075,-0.185,0.0275,-0.28
46,,-0.0825,-0.15,-0.1525,0.0325,-0.2575
47,,-0.0875,-0.1525,-0.1525,0.0275,-0.2225
48,,-0.0825,-0.1575,,0.0500,-0.1975
