"LA BELLE MO - ADM QUINCY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4875,-0.26,-0.2575,-0.2425,-0.5025,-0.115
2,-0.47,-0.2475,-0.2725,-0.22,-0.5,-0.14
3,-0.51,-0.25,-0.2725,-0.2175,,-0.1975
4,-0.475,-0.26,-0.2975,-0.2225,-0.3525,-0.2088
5,-0.39,-0.2725,-0.3225,-0.22,-0.355,-0.1425
6,-0.3975,-0.2125,-0.3175,-0.2,-0.3475,-0.22
7,-0.3775,-0.2175,-0.3175,-0.2125,-0.2475,-0.2575
8,-0.3775,-0.205,-0.28,-0.255,-0.1975,-0.275
9,-0.455,-0.3125,-0.34,-0.2325,-0.245,-0.36
10,-0.455,-0.4075,-0.3225,-0.195,-0.27,-0.385
11,-0.4025,-0.42,-0.305,-0.2125,-0.2275,-0.3575
12,-0.3675,-0.415,-0.3063,-0.2025,-0.26,-0.235
13,-0.4175,-0.38,-0.3175,-0.16,-0.2475,-0.2775
14,-0.3475,-0.42,-0.28,-0.175,-0.2425,-0.2525
15,-0.3325,-0.34,-0.2775,-0.1875,-0.25,-0.245
16,-0.3075,-0.285,-0.25,-0.1875,-0.1013,-0.2225
17,-0.394,-0.33,-0.3575,-0.2475,-0.1975,-0.27
18,-0.3925,-0.2875,-0.3525,-0.255,-0.1725,-0.225
19,-0.395,-0.2725,-0.335,-0.255,-0.25,-0.225
20,-0.3825,-0.335,-0.3663,-0.3075,-0.245,-0.205
21,-0.4175,-0.3835,-0.435,-0.3275,-0.21,-0.1625
22,-0.42,-0.3,-0.38,-0.2925,-0.2025,-0.13
23,-0.36,-0.2525,-0.3975,-0.33,-0.2025,-0.105
24,-0.3525,-0.235,-0.3875,-0.2988,-0.2525,-0.08
25,-0.3775,-0.3525,-0.48,-0.335,-0.335,0.0275
26,-0.31,-0.24,-0.545,-0.25,-0.395,-0.0225
27,-0.21,-0.3025,-0.495,-0.205,-0.35,-0.0725
28,-0.2663,-0.2725,-0.5175,-0.2075,-0.3675,-0.045
29,-0.335,-0.34,-0.465,-0.23,-0.2375,-0.1525
30,-0.38,-0.3425,-0.4225,-0.275,-0.2225,-0.06
31,-0.355,-0.285,-0.435,-0.3225,-0.2425,-0.105
32,-0.3675,-0.3488,-0.4525,-0.37,-0.4025,-0.01
33,-0.435,-0.4525,-0.41,-0.0025,,-0.15
34,-0.4,-0.485,-0.455,-0.4375,-0.44,-0.4275
35,-0.4325,-0.5575,-0.48,-0.02,-0.5,-0.4775
36,-0.3625,-0.5,-0.01,-0.4625,-0.435,-0.475
37,,-0.4675,,,-0.3575,-0.7525
38,,-0.4975,,,-0.32,-0.8025
39,,-0.5025,,,-0.27,-0.705
40,,-0.465,,,-0.2,-0.5763
41,,-0.4725,-0.3825,-0.3825,-0.195,-0.8025
42,,-0.28,-0.4225,-0.2575,-0.1825,-0.6475
43,,-0.4675,-0.2625,-0.275,-0.1775,-0.7025
44,,-0.475,-0.3063,-0.2275,-0.15,-0.5025
45,,-0.3825,-0.2675,-0.34,-0.1825,-0.5
46,,-0.5025,-0.26,-0.355,-0.1675,-0.5775
47,,-0.4375,-0.3125,-0.3425,-0.2225,-0.5825
48,,-0.4625,-0.2975,-0.3425,-0.2225,-0.5575
