"LA GRANGE MO - BUNGE COOP - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2475,,,-0.0625,-0.2525,-0.145
2,-0.25,,,-0.05,-0.19,-0.19
3,-0.32,,,-0.0375,-0.15,-0.1775
4,-0.23,,-0.1275,-0.0325,-0.2025,-0.0838
5,-0.19,,-0.1375,-0.04,-0.165,-0.0225
6,-0.1875,,-0.08,-0.05,-0.0675,-0.08
7,-0.2075,,-0.14,-0.0325,-0.0275,-0.0575
8,-0.2075,,-0.1525,-0.045,-0.0575,-0.025
9,-0.295,-0.22,-0.125,-0.0425,-0.105,-0.11
10,-0.255,-0.1875,-0.1163,-0.025,-0.08,-0.125
11,-0.1925,-0.1725,,-0.0425,-0.1475,-0.1775
12,,-0.24,,-0.0325,-0.06,-0.035
13,,-0.3235,-0.0875,-0.04,-0.0675,-0.0275
14,,-0.22,-0.06,-0.045,-0.0625,-0.0125
15,,-0.2225,-0.1675,-0.0475,-0.03,0.0250
16,,-0.135,-0.1525,-0.0375,-0.0013,0.0225
17,,-0.2025,-0.145,-0.0475,0.0125,-0.02
18,,-0.18,-0.1713,-0.075,-0.0525,0.0150
19,,-0.2125,-0.245,-0.135,-0.03,0.0050
20,,-0.2025,-0.19,-0.1075,0.0050,0.1050
21,,-0.28,-0.2075,-0.1075,-0.03,0.0375
22,,,-0.2075,-0.1025,-0.0525,0.1000
23,,,-0.33,-0.13,-0.1225,0.0750
24,,-0.2788,-0.335,-0.0938,-0.1225,0.0500
25,,-0.4325,-0.305,-0.165,-0.245,0.1275
26,,-0.405,-0.3375,-0.04,-0.175,0.0975
27,,-0.4975,,0.0150,-0.18,0.1675
28,,-0.42,,0.0325,-0.1425,0.0750
29,,-0.3775,,-0.05,-0.1675,0.0375
30,,-0.3275,,-0.075,-0.2025,-0.01
31,-0.305,-0.3925,,-0.1325,-0.1225,0.0950
32,,-0.4125,,-0.17,-0.2025,-0.02
33,,-0.1625,,-0.2725,-0.325,-0.27
34,,,-0.52,-0.2875,-0.29,-0.2775
35,-0.2625,-0.1475,-0.4625,-0.28,-0.44,-0.2775
36,-0.2825,-0.095,-0.37,-0.3325,-0.385,-0.505
37,,,-0.335,-0.3975,-0.3075,-0.8225
38,,,-0.36,-0.27,-0.27,-0.7225
39,,,-0.2525,-0.295,-0.13,-0.605
40,,-0.2725,-0.2625,-0.36,-0.07,-0.5963
41,,,-0.2025,-0.2225,-0.055,-0.3825
42,,,-0.1363,-0.1475,-0.0125,-0.3675
43,,,-0.2275,-0.135,0.0025,-0.3025
44,,,-0.19,-0.1375,-0.03,-0.2125
45,,,-0.2025,-0.15,-0.0725,-0.26
46,,,-0.2075,-0.145,-0.0075,-0.2975
47,,,,-0.1325,-0.0225,-0.3025
48,,,,-0.1125,-0.0725,-0.2675
