"LACLEDE MO - SOUTHEASTERN GRAIN CO - Corn Basis"
"Week
","2018
","2017
","2016
"
1,,,
2,,-0.5525,
3,,-0.5475,
4,,-0.5525,
5,,-0.5475,
6,,-0.5475,
7,,-0.55,
8,,-0.58,
9,,-0.5825,
10,,-0.585,
11,,-0.5763,
12,,-0.6075,
13,,-0.61,
14,,-0.6075,
15,,-0.61,
16,,-0.4875,
17,,-0.4825,
18,,,-0.5
19,,,-0.5525
20,,-0.645,-0.4975
21,,-0.4,-0.49
22,,-0.3975,-0.495
23,,-0.3975,-0.5
24,,-0.74,
25,,-0.735,
26,,,
27,,,
28,,-0.585,
29,,-0.5925,
30,,-0.585,
31,,-0.5775,
32,,-0.4,
33,,-0.395,
34,,-0.55,
35,,-0.55,
36,,-0.6025,
37,,-0.55,
38,,-0.555,
39,,-0.5,
40,,-0.5025,
41,,,
42,,,
43,,,
44,,-0.4475,
45,,-0.45,
46,,-0.4525,
47,,-0.4475,
48,,,
