"LAWSON MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.28,-0.2275,-0.1525,-0.3525,-0.155
2,-0.22,-0.2175,-0.2525,,-0.34,-0.1
3,-0.22,-0.23,-0.2525,-0.1475,-0.32,-0.1275
4,-0.22,-0.23,-0.2475,-0.1525,-0.3025,-0.1438
5,-0.2175,-0.2325,-0.2525,-0.15,,-0.1525
6,-0.2175,-0.2525,-0.2775,,-0.2775,-0.2
7,-0.2175,-0.2475,-0.2775,-0.1825,-0.2675,-0.1975
8,-0.225,-0.245,-0.28,-0.185,-0.2075,-0.205
9,-0.225,-0.2325,-0.38,-0.2225,-0.335,-0.32
10,-0.2225,-0.2275,-0.3925,-0.205,-0.31,-0.295
11,-0.2175,-0.23,-0.415,-0.2225,-0.2075,-0.2475
12,,-0.235,-0.2863,-0.2225,-0.2,-0.255
13,,-0.26,-0.2475,-0.12,-0.2075,-0.2375
14,,-0.26,-0.25,-0.105,-0.3025,-0.2525
15,,-0.23,-0.2475,-0.1475,-0.2,-0.245
16,,-0.225,-0.2,-0.1375,-0.1613,-0.1025
17,,-0.2,-0.2475,-0.1575,-0.2275,-0.2
18,,-0.1975,-0.2525,-0.125,-0.2325,-0.195
19,,-0.2025,-0.205,-0.145,-0.18,-0.165
20,,-0.205,-0.2013,-0.1675,-0.155,-0.145
21,,-0.2635,,-0.1975,-0.15,-0.1425
22,,-0.26,-0.28,-0.2225,-0.1325,-0.12
23,,-0.2625,-0.2475,-0.22,-0.1025,-0.125
24,,-0.265,-0.2475,-0.1888,-0.0825,-0.12
25,,-0.2625,-0.35,-0.225,-0.305,-0.0225
26,,-0.26,-0.355,-0.17,-0.375,-0.0225
27,,-0.2625,-0.345,-0.205,-0.33,-0.1825
28,,-0.2625,-0.3475,-0.1975,-0.1375,-0.165
29,,-0.26,-0.305,-0.2,-0.2475,-0.1325
30,,,-0.3025,-0.195,-0.2025,-0.13
31,,,-0.295,-0.2325,-0.1825,-0.045
32,,,-0.2975,-0.29,-0.3225,-0.15
33,,,,-0.4825,,-0.22
34,,,,-0.4875,,
35,,,,-0.49,,-0.4975
36,,,,-0.4925,-0.34,-0.555
37,,-0.4975,-0.5825,-0.5975,-0.4375,-0.8025
38,,-0.4975,-0.6,-0.54,-0.42,-0.8025
39,,-0.5025,-0.555,-0.545,-0.25,-0.705
40,,-0.5,-0.55,-0.55,-0.22,-0.7013
41,,-0.5025,-0.5525,-0.4825,-0.145,-0.8025
42,,-0.5,-0.5225,-0.4775,-0.1025,-0.7975
43,,-0.4975,-0.4725,-0.485,-0.0475,-0.7025
44,,-0.505,-0.4713,-0.3225,-0.1,-0.7025
45,,,-0.4975,-0.41,-0.1925,-0.49
46,,,-0.5,-0.415,-0.1775,-0.4475
47,,,-0.5025,-0.3525,-0.1825,-0.4225
48,,,-0.4975,-0.3525,-0.1725,-0.3925
