"LOUISIANA MO - BUNGE NORTH AMERICA - Corn Basis"
"Week
","2019
","2018
","2017
"
1,-0.2375,-0.21,
2,,-0.1975,
3,,-0.16,
4,,-0.16,
5,,-0.0825,
6,,,
7,,-0.0875,
8,-0.1375,-0.065,
9,-0.295,-0.1925,
10,-0.255,-0.2575,
11,-0.2125,-0.25,
12,-0.2375,-0.255,
13,-0.1575,-0.21,
14,-0.1575,-0.23,
15,-0.1525,-0.3,
16,-0.1075,-0.175,
17,-0.174,,
18,-0.1625,,
19,-0.155,,
20,-0.1725,,
21,-0.1775,,
22,-0.15,,
23,-0.13,,
24,-0.1025,-0.115,
25,,,
26,-0.05,,
27,-0.1,,
28,-0.2363,,
29,-0.275,,
30,-0.32,-0.3125,
31,-0.325,-0.205,
32,-0.2875,-0.2688,
33,-0.375,,
34,-0.28,,
35,-0.2825,-0.4775,
36,-0.3025,-0.42,
37,,-0.3775,
38,,-0.3275,
39,,-0.3825,
40,,-0.315,
41,,,
42,,,
43,,-0.1175,
44,,-0.085,
45,,,
46,,-0.3025,
47,,-0.3675,
48,,-0.2825,
