"LUCERNE MO - MURPHY-BROWN, LLC - Corn Basis",,,
"Week
",2018,2017,2016
1,-0.24,-0.3475,
2,-0.1975,-0.3025,
3,-0.18,-0.2525,-0.12
4,-0.25,-0.2475,-0.12
5,-0.3025,-0.3025,-0.1225
6,-0.3025,-0.3375,-0.125
7,-0.2475,-0.4575,-0.1525
8,-0.295,-0.46,-0.075
9,-0.3725,-0.48,-0.0825
10,-0.3675,-0.4825,-0.1225
11,-0.37,-0.485,-0.15
12,-0.375,-0.4263,-0.105
13,-0.4,-0.3175,-0.1575
14,-0.43,-0.37,-0.1475
15,-0.43,-0.4475,-0.2775
16,-0.425,-0.45,-0.275
17,-0.45,-0.4875,-0.335
18,-0.4475,-0.4925,-0.3375
19,-0.4525,-0.385,-0.3575
20,-0.455,-0.3813,
21,-0.4035,-0.345,
22,-0.4,-0.5,-0.3588
23,-0.4025,-0.4975,-0.335
24,-0.395,-0.4975,-0.23
25,-0.4425,-0.5,-0.225
26,-0.35,-0.505,-0.2675
27,-0.3025,-0.495,-0.36
28,-0.3025,-0.4975,-0.405
29,-0.25,-0.465,-0.4325
30,-0.2525,-0.4225,-0.52
31,-0.165,-0.375,-0.6425
32,-0.1788,-0.3425,-0.4775
33,-0.2825,-0.42,-0.48
34,-0.185,-0.415,-0.5025
35,,-0.24,-0.5475
36,,-0.4,-0.54
37,,-0.5025,-0.345
38,,-0.45,-0.35
39,,-0.355,-0.4525
40,,-0.35,-0.4475
41,,,-0.455
42,,-0.4025,-0.4475
43,,-0.2825,-0.54
44,,-0.2813,-0.415
45,,-0.2475,-0.4225
46,,-0.25,-0.3025
47,,-0.2525,
48,,-0.2975,
