"MACON MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4175,-0.34,-0.3675,-0.2025,-0.6825,-0.155
2,-0.42,-0.3375,-0.3425,-0.2,-0.68,-0.15
3,-0.42,-0.32,-0.4225,-0.1975,-0.64,-0.1975
4,-0.41,-0.33,-0.4175,-0.2025,-0.6525,-0.1988
5,-0.4,-0.3525,-0.3825,-0.2,-0.565,-0.1225
6,-0.3975,-0.3725,-0.3775,-0.2,-0.4975,-0.2
7,-0.3975,-0.3675,-0.4375,-0.2025,-0.4475,-0.1975
8,-0.3275,-0.365,-0.41,-0.205,-0.4475,-0.255
9,-0.395,-0.4625,-0.48,-0.3025,-0.445,-0.34
10,-0.395,-0.4975,-0.4925,-0.275,-0.47,-0.345
11,-0.3625,-0.5,-0.425,-0.2825,-0.4975,-0.3975
12,-0.3575,-0.505,-0.3913,-0.2775,-0.5,-0.405
13,-0.3375,-0.48,-0.3675,-0.3,-0.4975,-0.3975
14,-0.2975,-0.48,-0.35,-0.295,-0.5025,-0.4025
15,-0.3025,-0.41,-0.3475,-0.3675,-0.5,-0.405
16,-0.2975,-0.405,-0.3,-0.3775,-0.4463,-0.4025
17,-0.354,-0.46,-0.3475,-0.4075,-0.4475,-0.44
18,-0.3525,-0.3975,-0.4025,-0.355,-0.4025,-0.375
19,-0.405,-0.4025,-0.405,-0.345,-0.4,-0.365
20,-0.4675,-0.395,-0.3613,-0.3775,-0.395,-0.195
21,-0.3975,-0.4035,-0.395,-0.3775,-0.41,-0.2025
22,-0.4,-0.4,-0.4,-0.4225,-0.4025,-0.2
23,-0.35,-0.3525,-0.3975,-0.43,-0.4025,-0.205
24,-0.3025,-0.355,-0.3475,-0.4138,-0.3725,-0.2
25,-0.3375,-0.4025,-0.48,-0.415,-0.385,-0.0925
26,-0.3,-0.4,-0.475,-0.41,-0.345,-0.0725
27,-0.24,-0.4025,-0.475,-0.415,-0.4,-0.0425
28,-0.2563,-0.3525,-0.4475,-0.4075,-0.4225,-0.085
29,-0.145,-0.35,-0.455,-0.45,-0.3975,-0.0925
30,-0.13,-0.2625,-0.4525,-0.445,-0.4025,-0.09
31,-0.205,-0.255,-0.455,-0.4525,-0.4025,-0.195
32,-0.1375,-0.2788,-0.4175,-0.49,-0.5125,-0.2
33,-0.265,-0.4525,,-0.5425,-0.405,
34,-0.31,-0.395,,-0.5775,-0.4,
35,-0.3725,-0.4175,,-0.58,-0.38,
36,-0.3725,-0.42,,-0.6025,-0.4,
37,,-0.5075,-0.5725,-0.5975,-0.4475,-0.5525
38,,-0.5275,-0.55,-0.57,-0.34,-0.6525
39,,-0.5325,-0.505,-0.545,-0.28,-0.695
40,,-0.515,-0.47,-0.45,-0.2,-0.8513
41,,-0.5025,-0.4025,-0.4525,-0.215,-0.8525
42,,-0.35,-0.4025,-0.4475,-0.1725,-0.6475
43,,-0.3475,-0.3925,-0.455,-0.1675,-0.6525
44,,-0.355,-0.3513,-0.4475,-0.17,-0.6025
45,,-0.4025,-0.4475,-0.5,-0.2325,-0.73
46,,-0.4025,-0.4,-0.455,,-0.7075
47,,-0.4175,-0.4025,-0.4125,,-0.6525
48,,-0.4225,-0.3375,-0.4125,,-0.6575
