"MACON MO - POET - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2275,-0.17,-0.2175,-0.0025,-0.4025,0.0950
2,-0.23,-0.1675,-0.1825,0.0000,-0.31,0.1000
3,-0.2,-0.15,-0.2325,0.0225,-0.24,0.0025
4,-0.175,-0.18,-0.2475,0.0175,-0.2725,0.0162
5,-0.15,-0.2125,-0.2325,0.0000,-0.195,0.1075
6,-0.1475,-0.2225,-0.2275,0.0000,-0.1775,0.0000
7,-0.1275,-0.2375,-0.2875,-0.0325,-0.1775,-0.0375
8,-0.1275,-0.245,-0.24,-0.055,-0.1775,-0.055
9,-0.205,-0.3225,-0.28,-0.1025,-0.235,-0.12
10,-0.165,-0.3675,-0.2825,-0.075,-0.28,-0.145
11,-0.1625,-0.33,-0.275,-0.0725,-0.3075,-0.1975
12,-0.1475,-0.335,-0.1963,-0.0725,-0.32,-0.195
13,-0.1375,-0.3,-0.1575,-0.1,-0.2975,-0.1675
14,-0.0775,-0.31,-0.14,-0.135,-0.3525,-0.2325
15,-0.1025,-0.26,-0.1375,-0.1875,-0.27,-0.145
16,-0.0975,-0.235,-0.12,-0.1575,-0.2213,-0.1175
17,-0.144,-0.31,-0.1975,-0.1975,-0.1575,-0.2
18,-0.1525,-0.2475,-0.2325,-0.165,-0.1725,-0.155
19,-0.225,-0.2525,-0.215,-0.165,-0.18,-0.095
20,-0.3575,-0.25,-0.2213,-0.1775,-0.145,0.0050
21,-0.3975,-0.2435,-0.245,-0.1975,-0.16,0.0475
22,-0.3,-0.2,-0.22,-0.2625,-0.1725,0.0500
23,-0.25,-0.1525,-0.2175,-0.28,-0.1725,0.0750
24,-0.1825,-0.145,-0.1975,-0.2138,-0.1825,0.0800
25,-0.1975,-0.2525,-0.32,-0.205,-0.285,0.0975
26,-0.14,-0.22,-0.315,-0.22,-0.225,0.0475
27,-0.1,-0.1625,-0.315,-0.205,-0.24,0.0575
28,-0.1063,,-0.3075,-0.1975,-0.1875,0.0650
29,-0.105,-0.16,-0.315,-0.25,-0.1775,0.0175
30,-0.11,-0.1425,-0.3025,-0.305,-0.1825,-0.1
31,-0.085,-0.135,-0.295,-0.3025,-0.1525,-0.145
32,-0.0775,-0.1388,-0.2575,-0.345,-0.2625,-0.1
33,-0.185,-0.3025,-0.4,-0.4425,-0.255,-0.1
34,-0.19,-0.315,-0.455,-0.4075,-0.25,0.0525
35,-0.2525,-0.3475,-0.48,-0.4,-0.26,-0.1275
36,-0.2825,-0.34,,-0.4425,-0.3,-0.295
37,,-0.3675,-0.4525,-0.4275,-0.3475,-0.4025
38,,-0.3975,-0.42,-0.37,-0.2,-0.5025
39,,-0.4025,-0.385,-0.375,-0.12,-0.555
40,,-0.335,-0.33,-0.28,-0.05,-0.6063
41,,-0.2325,-0.2825,-0.3525,-0.065,-0.5025
42,,-0.15,-0.3025,-0.3475,-0.0225,-0.3875
43,,-0.1475,-0.2625,-0.355,0.0025,-0.4525
44,,-0.105,-0.1913,-0.3275,0.0000,-0.4525
45,,-0.2125,-0.2875,-0.37,-0.0625,-0.37
46,,-0.2525,-0.25,-0.295,-0.0175,-0.3975
47,,-0.2475,-0.2325,-0.2625,-0.0225,-0.3825
48,,-0.2525,-0.1975,-0.2525,-0.0125,-0.4175
