"MARSHALL MO - CENTRAL MISSOURI AGRISERVICE - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2975,-0.3,-0.3475,-0.1025,-0.4025,0.0450
2,-0.28,-0.2975,-0.3025,-0.1,-0.35,0.0500
3,-0.28,-0.3,-0.3025,-0.0975,-0.34,0.0525
4,-0.28,-0.295,-0.2975,-0.1025,-0.3025,0.0012
5,-0.28,-0.3025,-0.3025,-0.1,-0.315,0.0875
6,-0.2775,-0.3025,-0.2975,-0.1,-0.2975,0.0000
7,-0.2775,-0.2975,-0.2975,-0.1525,-0.2475,0.0025
8,-0.2475,-0.305,-0.3,-0.155,-0.2175,-0.005
9,-0.295,-0.3825,-0.37,-0.1025,-0.295,-0.1
10,-0.295,-0.3775,-0.3525,-0.095,-0.3,-0.105
11,-0.3025,-0.38,-0.355,-0.1525,-0.2475,-0.0975
12,-0.2975,-0.355,-0.3213,-0.145,-0.25,-0.055
13,-0.2475,-0.35,-0.2975,-0.15,-0.1975,-0.0475
14,-0.2475,-0.35,-0.28,-0.175,-0.2025,-0.1825
15,-0.2525,-0.3,-0.2775,-0.2075,-0.15,-0.125
16,-0.1975,-0.295,-0.25,-0.1175,-0.1463,-0.1575
17,-0.224,-0.35,-0.3275,-0.1775,-0.1475,-0.2
18,-0.2025,-0.3475,-0.3225,-0.145,-0.1525,-0.155
19,-0.205,-0.3525,-0.335,-0.165,-0.15,-0.045
20,-0.1975,-0.295,-0.3213,-0.1975,-0.145,-0.045
21,-0.1975,-0.2535,-0.315,-0.2475,-0.16,-0.0025
22,-0.2,-0.25,-0.32,-0.3325,-0.1525,0.0000
23,-0.2,-0.2525,-0.3175,-0.33,-0.1525,0.0050
24,-0.2025,-0.255,-0.2975,-0.2238,-0.1425,-0.05
25,-0.1475,-0.3025,-0.4,-0.205,-0.305,0.0175
26,-0.15,-0.3,-0.395,-0.2,-0.215,-0.0825
27,-0.1,-0.3025,-0.395,-0.205,-0.3,-0.0525
28,-0.1013,-0.3025,-0.3975,-0.1975,-0.2475,-0.1
29,-0.095,-0.2,-0.405,-0.2,-0.1475,-0.0525
30,-0.1,-0.2025,-0.4025,-0.195,-0.1525,-0.12
31,-0.105,-0.195,-0.395,-0.2525,-0.1525,-0.045
32,-0.0975,-0.2538,-0.3975,-0.26,-0.2625,0.0000
33,-0.105,-0.4025,-0.5,-0.3925,-0.255,-0.3
34,-0.11,-0.395,-0.495,-0.3975,-0.35,-0.3975
35,-0.1025,-0.3975,-0.5,-0.4,-0.38,-0.3975
36,-0.1525,-0.4,-0.53,-0.4725,-0.3525,-0.395
37,,-0.3975,-0.4825,-0.4675,-0.2475,-0.5525
38,,-0.3975,-0.48,-0.46,-0.2,-0.5525
39,,-0.4025,-0.485,-0.465,-0.1,-0.555
40,,-0.375,-0.48,-0.4,-0.1,-0.5563
41,,-0.3525,,-0.4025,-0.015,-0.5525
42,,-0.3,-0.4525,-0.3975,-0.0025,-0.4875
43,,-0.2975,-0.4025,-0.355,0.0025,-0.5025
44,,-0.295,-0.3263,-0.3475,0.0000,-0.4025
45,,-0.3825,-0.3475,-0.45,-0.0725,-0.39
46,,-0.3525,-0.33,-0.455,-0.0875,-0.3475
47,,-0.3475,-0.3325,-0.4525,-0.1025,-0.3525
48,,-0.3525,-0.2975,-0.4025,-0.1025,-0.3625
