"MARYVILLE MO - MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.44,-0.4575,-0.3425,-0.4725,-0.285
2,-0.36,-0.4375,-0.4625,-0.34,-0.47,-0.25
3,-0.36,-0.43,-0.4625,-0.3375,-0.46,-0.2475
4,-0.32,-0.43,-0.4575,-0.3425,-0.4725,-0.2488
5,-0.3175,-0.4425,,-0.32,-0.465,-0.1925
6,-0.3175,-0.4425,,-0.32,-0.3975,-0.26
7,-0.3175,-0.4375,,-0.3225,-0.3975,-0.2975
8,,-0.435,,-0.325,-0.3475,-0.325
9,,-0.5325,,-0.3525,-0.395,-0.43
10,,-0.5275,-0.5725,-0.345,-0.4,-0.465
11,,-0.53,-0.575,-0.3725,-0.3975,-0.4575
12,,-0.525,-0.5163,-0.3725,-0.4,-0.465
13,,-0.46,,-0.33,-0.3275,-0.4175
14,,-0.46,,-0.335,-0.3325,-0.4425
15,,-0.43,,-0.3375,-0.33,
16,,-0.425,,-0.3675,-0.3263,
17,,-0.47,-0.4575,-0.4775,-0.2575,
18,,-0.4675,-0.4625,-0.485,-0.2625,
19,,,-0.465,-0.475,-0.34,
20,-0.4075,-0.435,-0.4613,-0.4775,-0.335,
21,-0.41,-0.4035,-0.455,-0.4675,-0.29,
22,-0.33,-0.4,-0.46,-0.4725,-0.2825,
23,-0.3325,-0.4025,-0.4575,-0.47,-0.2825,
24,-0.3375,-0.395,-0.4975,-0.4688,-0.2825,
25,-0.34,,-0.59,-0.535,-0.445,
26,-0.19,,-0.625,-0.53,-0.405,
27,-0.1913,,-0.615,-0.535,-0.44,
28,,,-0.6175,-0.4675,-0.4375,
29,,,-0.595,-0.4,-0.3875,
30,,-0.3525,-0.5925,-0.395,-0.3525,
31,,-0.345,-0.585,-0.4025,-0.3525,
32,-0.375,-0.3088,-0.4675,-0.395,-0.4625,
33,-0.3,-0.4525,-0.63,-0.5725,-0.455,
34,-0.4825,-0.455,-0.625,-0.5775,-0.45,-0.2475
35,-0.4825,-0.4475,,-0.6,-0.48,-0.4975
36,,-0.55,,,-0.5025,
37,,-0.5975,,,-0.5475,
38,,-0.5975,,,-0.49,-0.8025
39,,-0.5325,,,-0.49,-0.845
40,,-0.505,,,-0.42,-0.8413
41,,-0.4825,,-0.5825,-0.395,-0.9725
42,,-0.39,-0.6525,-0.5775,-0.3825,-0.8375
43,,-0.3875,-0.6525,-0.585,-0.2775,-0.7525
44,,-0.395,,-0.4475,-0.28,-0.7025
45,,,-0.5075,-0.5,-0.3625,-0.67
46,,,-0.51,-0.505,-0.3275,-0.6775
47,,,-0.5025,-0.5025,-0.3425,-0.6025
48,,,-0.4975,,-0.345,-0.5925
