"MONTGOMERY CITY MO - MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2075,-0.2,-0.1675,-0.0325,-0.4025,-0.095
2,-0.18,-0.2075,-0.1825,-0.03,-0.35,-0.1
3,-0.22,-0.15,-0.1625,-0.0575,-0.33,-0.1075
4,-0.225,-0.155,-0.1875,-0.0525,-0.3825,-0.1038
5,-0.25,-0.1825,-0.1825,-0.04,-0.305,-0.0625
6,-0.1275,-0.1825,-0.1875,-0.06,-0.2775,-0.1
7,-0.1375,-0.2375,-0.2375,-0.1025,-0.2575,-0.1075
8,-0.1375,-0.115,-0.23,-0.125,-0.2575,-0.165
9,-0.155,-0.3125,-0.22,-0.1425,-0.305,-0.29
10,-0.215,-0.4075,-0.2225,-0.165,-0.25,-0.395
11,-0.2125,-0.4,-0.265,-0.1725,-0.2075,-0.3975
12,-0.2175,-0.405,-0.2613,-0.1675,-0.32,-0.295
13,-0.1775,-0.32,-0.2375,-0.14,-0.3275,-0.2975
14,-0.1775,-0.32,-0.27,-0.085,-0.2425,-0.2925
15,-0.1725,-0.31,-0.2475,-0.1375,-0.24,-0.295
16,-0.1175,-0.315,-0.22,-0.1075,-0.1563,-0.2475
17,-0.194,-0.22,-0.2875,-0.1575,-0.1575,-0.24
18,,-0.2975,-0.3025,-0.155,-0.1525,-0.215
19,-0.205,-0.2925,-0.305,-0.215,-0.15,-0.205
20,-0.2575,-0.275,-0.2713,-0.2575,-0.155,-0.205
21,-0.2075,-0.2535,-0.335,-0.2275,-0.15,-0.1825
22,-0.2,-0.26,-0.34,-0.1825,-0.1925,-0.18
23,-0.21,-0.2025,-0.3375,-0.21,-0.1825,-0.185
24,-0.2025,-0.205,-0.3075,-0.5438,-0.2225,-0.18
25,-0.1575,-0.2725,-0.41,-0.105,-0.335,-0.0825
26,-0.15,-0.27,-0.415,-0.07,-0.305,-0.0525
27,-0.1,-0.2725,-0.385,-0.035,-0.34,-0.3025
28,-0.1263,-0.2725,-0.3875,-0.1175,-0.3125,
29,-0.155,-0.23,-0.385,-0.11,-0.2975,
30,-0.15,-0.2125,-0.3925,-0.155,-0.4425,
31,-0.155,-0.255,-0.325,-0.2125,-0.4525,
32,-0.1575,-0.2788,-0.3025,-0.215,-0.4625,
33,-0.205,-0.4425,-0.41,-0.3025,-0.485,
34,-0.25,-0.445,-0.455,-0.3175,-0.53,
35,-0.3025,-0.4575,-0.57,-0.35,-0.43,-0.4375
36,-0.3325,-0.44,-0.6,-0.3525,-0.28,-0.555
37,,-0.4075,-0.7025,-0.5275,-0.2075,-0.7525
38,,-0.3575,-0.52,-0.44,-0.18,-0.9025
39,,-0.3525,-0.545,-0.395,-0.17,-0.855
40,,-0.28,-0.48,-0.33,-0.12,-0.8013
41,,-0.2525,-0.4225,-0.3125,-0.125,-0.6525
42,,-0.23,-0.4225,-0.2875,-0.0225,-0.6575
43,,-0.2275,-0.3325,-0.255,-0.0275,-0.6025
44,,-0.235,-0.2563,-0.2875,-0.02,-0.2525
45,,-0.2325,-0.3875,-0.35,-0.1025,-0.34
46,,-0.2225,-0.38,-0.295,-0.0975,-0.3175
47,,-0.2275,-0.3825,-0.2625,-0.0025,-0.5725
48,,-0.2225,-0.2075,-0.2625,-0.0525,-0.5225
