"NEW MADRID MO - CARGILL - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0175,0.1300,0.1725,0.0575,-0.0025,0.2450
2,-0.03,0.1425,0.1675,0.0500,0.1800,0.2500
3,-0.05,0.1800,0.1075,0.0725,0.1600,0.1825
4,0.0500,0.1450,0.1225,0.1175,0.0475,0.2363
5,,,0.1175,0.1200,0.1450,0.2175
6,0.1025,,0.1325,0.0000,0.1125,0.2500
7,0.1325,,0.1525,0.0275,0.1425,0.3125
8,0.0825,0.1950,0.1800,0.0150,0.1925,0.2850
9,0.0450,0.0775,0.1000,0.0475,0.1150,0.1300
10,0.0550,0.0225,0.1375,0.0450,0.1500,0.1950
11,0.0875,0.0300,0.0950,0.0675,0.0925,0.1725
12,0.0925,0.0250,0.0687,0.0975,0.1000,0.2350
13,0.1025,-0.05,0.0725,0.1200,0.0825,0.2025
14,0.0825,0.0000,0.0600,0.1350,0.0775,0.2075
15,0.1175,0.0500,0.0725,0.1325,0.1500,0.2050
16,0.1325,0.1150,0.1000,0.1325,0.1688,0.2025
17,0.1160,0.0000,-0.0775,0.1225,0.1325,0.1400
18,0.2175,0.1425,0.0375,0.1450,0.1975,0.1650
19,0.0750,0.1175,0.0350,0.0550,0.1000,0.1750
20,0.2725,0.1050,0.0288,0.0325,0.0950,0.1750
21,0.3025,0.0265,-0.065,0.0525,0.1000,0.2375
22,0.3200,0.0200,-0.03,0.1275,0.0975,0.2400
23,0.3100,0.0975,-0.0275,0.1300,0.0975,0.2450
24,0.2475,0.0950,-0.0075,0.1913,0.0975,0.2500
25,0.0725,0.0475,-0.11,0.1850,-0.085,0.2775
26,0.1500,0.0500,-0.185,0.1900,-0.015,0.2375
27,0.1500,-0.0025,-0.185,0.3450,-0.05,0.2975
28,0.0537,0.0975,-0.1975,0.3225,-0.0525,0.3450
29,-0.155,0.0300,-0.145,0.0800,-0.1075,0.1175
30,-0.23,0.0175,-0.1425,0.0350,-0.2025,0.1400
31,-0.205,0.0350,-0.075,0.0075,-0.1525,0.0950
32,-0.2075,-0.0438,-0.1025,0.0400,-0.2025,0.2000
33,-0.295,-0.1025,-0.21,-0.0925,-0.205,-0.16
34,-0.22,-0.215,-0.185,-0.1075,-0.21,-0.1475
35,-0.2225,-0.3275,-0.28,-0.05,-0.23,-0.2575
36,-0.2025,-0.21,-0.32,-0.0625,-0.24,-0.385
37,,-0.1375,-0.6225,,-0.1575,-0.5025
38,,-0.1375,-0.25,-0.06,-0.15,-0.6525
39,,-0.2525,-0.205,-0.005,-0.16,-0.255
40,,-0.105,-0.15,0.0200,0.0000,-0.3013
41,,0.0975,-0.1225,0.0775,0.0950,-0.0025
42,,0.0200,-0.1025,0.0425,0.1175,0.0425
43,,0.0525,-0.1025,0.0650,0.1425,-0.0025
44,,0.0450,0.0387,0.0025,0.1500,0.2275
45,,0.0175,-0.0575,0.0600,0.0575,0.1400
46,,0.0175,0.0000,0.0850,0.1025,0.0425
47,,0.0125,-0.1025,0.0775,0.1075,-0.0325
48,,-0.0225,-0.0575,0.1175,0.0175,0.0125
