"NOVELTY MO - ADM QUINCY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4375,-0.27,-0.3175,-0.1825,-0.5025,-0.075
2,-0.42,-0.2675,-0.3325,-0.18,-0.5,-0.1
3,-0.4,-0.25,-0.3325,-0.1775,,-0.1575
4,-0.37,-0.285,-0.3575,-0.1825,-0.4025,-0.1688
5,-0.34,-0.3125,-0.3825,-0.18,-0.405,-0.1025
6,-0.3475,-0.3225,-0.3875,-0.17,-0.3775,-0.18
7,-0.2975,-0.3375,-0.3875,-0.2125,-0.2975,-0.2175
8,-0.2975,-0.345,-0.34,-0.255,-0.2575,-0.235
9,-0.375,-0.4225,-0.38,-0.2525,-0.305,-0.29
10,-0.375,-0.4675,-0.3825,-0.245,-0.32,-0.315
11,-0.3325,-0.43,-0.345,-0.2325,-0.2875,-0.3975
12,-0.3275,-0.435,-0.3513,-0.2425,-0.32,-0.365
13,-0.3175,-0.4,-0.3575,-0.26,-0.3175,-0.3075
14,-0.2475,-0.41,-0.33,-0.235,-0.3125,-0.3125
15,-0.2425,-0.36,-0.3175,-0.2775,-0.28,-0.315
16,-0.2475,-0.335,-0.3,-0.2675,-0.2163,-0.2375
17,-0.354,-0.41,-0.3875,-0.2775,-0.2475,-0.28
18,-0.3325,-0.3475,-0.4125,-0.275,-0.2525,-0.225
19,-0.375,-0.3525,-0.405,-0.325,-0.2,-0.225
20,-0.4675,-0.355,-0.4363,-0.3375,-0.245,-0.155
21,-0.4775,-0.3435,-0.445,-0.3675,-0.23,-0.1725
22,-0.47,-0.3,-0.42,-0.3325,-0.2625,-0.14
23,-0.41,-0.2525,-0.4175,-0.37,-0.2325,-0.105
24,-0.3625,-0.255,-0.3775,-0.3388,-0.2625,-0.1
25,-0.3675,-0.3525,-0.51,-0.375,-0.375,0.0175
26,-0.31,-0.27,-0.525,-0.29,-0.385,-0.0425
27,-0.29,-0.2825,-0.515,-0.245,-0.36,-0.1125
28,-0.2763,-0.2025,-0.5175,-0.2475,-0.3475,-0.08
29,-0.275,-0.21,-0.505,-0.29,-0.3175,-0.1925
30,-0.3,-0.1925,-0.5025,-0.325,-0.3225,-0.26
31,-0.245,-0.185,-0.485,-0.3825,-0.3225,-0.275
32,-0.3075,-0.1338,-0.4725,-0.44,-0.4425,-0.22
33,-0.335,-0.3025,-0.49,-0.4025,,-0.22
34,-0.35,-0.295,-0.555,-0.5275,-0.45,-0.3775
35,-0.4325,-0.3275,-0.48,-0.58,-0.48,-0.4275
36,-0.4125,-0.33,-0.53,-0.5225,-0.325,-0.425
37,,,,,-0.3475,-0.7025
38,,,,,-0.25,-0.8025
39,,,,,-0.25,-0.855
40,,-0.4275,,,-0.25,-0.7263
41,,-0.4525,-0.3225,-0.4025,-0.265,-0.8025
42,,-0.45,-0.3425,-0.3475,-0.2225,-0.6475
43,,-0.4475,-0.3025,-0.355,-0.1775,-0.7025
44,,-0.455,-0.3063,-0.3725,-0.18,-0.5025
45,,-0.3825,-0.3375,-0.4,-0.2625,-0.5
46,,-0.4225,-0.3,-0.415,-0.2075,-0.5775
47,,-0.4375,-0.3325,-0.4025,-0.1925,-0.5825
48,,-0.4625,-0.2975,-0.4025,-0.1925,-0.5575
