"ORRICK MO - ORRICK FARM SERVICE - Corn Basis"
"Week
","2017
","2016
","2015
","2014
"
1,-0.4675,-0.1625,-0.4425,-0.135
2,-0.4725,-0.16,-0.44,-0.14
3,-0.4725,-0.1575,-0.43,-0.1375
4,-0.4675,-0.1625,-0.4425,-0.1588
5,-0.4225,-0.16,,-0.1025
6,-0.4175,-0.16,-0.3875,-0.14
7,-0.4175,-0.1625,-0.3875,-0.1375
8,-0.42,-0.165,-0.3875,-0.135
9,-0.45,-0.2025,-0.375,-0.17
10,-0.4725,-0.195,-0.38,-0.175
11,-0.465,-0.2025,-0.3775,-0.1675
12,-0.4663,-0.2475,-0.38,-0.175
13,-0.4475,-0.25,-0.3475,-0.1375
14,-0.45,-0.255,-0.3525,-0.1625
15,-0.4475,-0.3575,-0.35,-0.225
16,-0.45,-0.3875,-0.3063,-0.2175
17,-0.2775,-0.3875,-0.2675,-0.27
18,-0.2825,-0.395,-0.2725,-0.265
19,-0.285,-0.205,-0.27,-0.175
20,-0.2813,-0.2075,-0.265,-0.175
21,-0.255,-0.1975,-0.29,-0.1425
22,-0.26,-0.2025,-0.2325,-0.14
23,-0.2575,-0.2,-0.2325,-0.135
24,-0.2575,-0.1988,-0.2225,-0.14
25,-0.45,-0.375,,-0.0325
26,-0.455,-0.38,-0.255,-0.0825
27,-0.445,-0.375,-0.29,-0.0525
28,-0.4475,-0.3775,-0.2875,-0.045
29,-0.455,-0.35,-0.2375,-0.1525
30,-0.4825,-0.345,-0.2425,-0.17
31,-0.485,-0.3525,-0.2425,-0.145
32,-0.48,-0.35,-0.3525,-0.15
33,,,-0.455,-0.45
34,,,-0.45,-0.4475
35,,,-0.43,-0.4475
36,,,-0.4,-0.455
37,,-0.5675,-0.3175,-0.5825
38,,-0.56,-0.32,-0.6125
39,,-0.565,-0.32,-0.605
40,,-0.57,-0.32,-0.6663
41,,-0.5225,-0.305,-0.6025
42,,-0.5175,-0.2925,-0.5875
43,,-0.525,-0.2875,-0.6025
44,,-0.5175,-0.09,-0.5525
45,,-0.52,-0.1325,-0.53
46,,-0.525,-0.1175,-0.5275
47,,-0.5225,-0.1825,-0.5325
48,,-0.5225,-0.1825,-0.4625
