"ORRICK MO - RIVER VALLEY MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
"
1,-0.3075,-0.35,
2,-0.31,-0.3475,
3,-0.31,-0.35,
4,-0.31,-0.35,
5,,-0.3325,
6,,-0.3325,
7,,-0.3275,
8,,-0.325,
9,,-0.3825,
10,,-0.4075,
11,,-0.41,
12,,-0.415,
13,-0.2275,-0.4,
14,-0.2275,-0.4,
15,-0.1825,-0.35,
16,-0.1775,-0.345,
17,-0.264,-0.4,
18,,-0.3975,
19,,-0.3725,
20,,-0.375,
21,-0.1775,,
22,-0.18,,
23,-0.18,,
24,-0.1825,,
25,,-0.3925,
26,,-0.39,
27,,,
28,,,
29,-0.075,,
30,-0.08,-0.2525,
31,-0.085,-0.245,
32,-0.0775,-0.2988,
33,-0.165,,
34,-0.16,,
35,-0.3025,,
36,-0.3025,,
37,,,
38,,,
39,,,
40,,-0.3475,
41,,-0.3525,
42,,-0.35,
43,,-0.3275,
44,,-0.335,
45,,-0.3625,
46,,-0.3625,
47,,-0.3575,
48,,-0.3625,
