"PERRY MO - PERRY FARM SERVICE - Corn Basis"
"Week
","2018
","2017
","2015
","2014
"
1,,,-0.4025,
2,-0.26,,-0.4,
3,-0.26,,-0.39,
4,,,-0.4025,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,-0.45,,,
11,-0.455,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,-0.4025,,,
33,-0.435,,,
34,-0.4875,,,
35,-0.46,,,
36,-0.4575,,,
37,-0.4575,,-0.2475,
38,-0.4625,,-0.18,
39,-0.3925,,-0.18,
40,,,-0.12,
41,,,-0.035,
42,-0.2275,,-0.0225,
43,-0.225,,-0.0175,
44,,,-0.02,
45,,,,
46,,,,
47,,,,
48,,,,
