"PERRYVILLE MO - BUCHHEIT AGRI DIVISION - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,0.0225,-0.03,0.0325,-0.1025,-0.2525,-0.165
2,0.0200,0.0525,-0.0525,-0.1,-0.2,-0.17
3,-0.05,0.0500,-0.0025,-0.0975,-0.25,-0.1175
4,-0.025,0.0300,0.0025,-0.1025,-0.2525,-0.1188
5,0.0500,0.0075,-0.0025,-0.06,-0.195,-0.0825
6,0.0425,-0.0025,-0.0675,-0.01,-0.1975,-0.12
7,0.0525,-0.0475,-0.0675,-0.0025,-0.1975,-0.1175
8,0.1025,-0.045,-0.07,-0.005,-0.0575,-0.115
9,-0.035,-0.1325,-0.14,-0.0325,-0.075,-0.16
10,0.0050,-0.0975,-0.1425,-0.025,-0.08,-0.175
11,0.0075,-0.1,-0.135,-0.1025,-0.0775,-0.1975
12,-0.0575,-0.145,-0.1363,-0.1175,-0.15,-0.195
13,-0.0475,-0.15,-0.1375,-0.12,-0.0275,-0.1975
14,-0.0475,-0.15,-0.1,-0.115,-0.0325,-0.2025
15,-0.0525,-0.15,-0.0975,-0.0275,-0.03,0.0550
16,-0.0475,-0.245,-0.1,-0.0975,-0.0263,0.0525
17,-0.134,-0.29,-0.1875,-0.1375,-0.0575,0.0100
18,-0.1525,-0.2875,-0.1925,-0.125,0.0475,0.0550
19,-0.145,-0.2925,-0.185,-0.175,0.0500,0.0550
20,-0.1475,-0.285,-0.1413,-0.1775,0.0550,0.0550
21,-0.1475,-0.3035,-0.135,-0.1775,0.0000,0.0475
22,-0.15,-0.3,-0.2,-0.2025,-0.0025,0.0500
23,0.0000,-0.3025,-0.1975,-0.2,-0.0025,0.0550
24,0.0975,-0.295,-0.1975,-0.1988,-0.0425,0.0500
25,0.0525,-0.3925,-0.3,-0.095,-0.025,0.1475
26,0.0500,-0.39,-0.295,-0.1,-0.085,0.1075
27,0.0500,-0.3925,-0.295,-0.095,-0.33,0.1075
28,0.0487,-0.3925,-0.2975,-0.0975,-0.3975,0.3050
29,0.0050,-0.39,-0.295,-0.1,-0.2775,0.2975
30,-0.05,-0.4025,-0.3025,-0.095,-0.2025,-0.11
31,-0.255,-0.395,-0.295,-0.1025,-0.2025,-0.105
32,-0.2975,-0.1988,-0.2725,-0.095,-0.3125,-0.11
33,-0.455,-0.3025,-0.4,-0.2325,-0.345,-0.36
34,-0.4,-0.245,-0.195,-0.1875,-0.35,-0.3275
35,-0.3525,-0.2475,,-0.19,-0.38,-0.3275
36,-0.3425,-0.35,-0.45,-0.0925,-0.25,-0.475
37,,-0.2975,-0.4525,-0.1475,-0.2475,-0.4025
38,,-0.2975,-0.4,-0.19,-0.1,-0.6525
39,,-0.3525,-0.345,-0.195,0.0000,-0.445
40,,-0.225,-0.1,-0.2,0.0500,-0.5013
41,,-0.1025,-0.1025,-0.2025,0.0350,-0.3625
42,,-0.1,-0.1025,0.0025,0.0475,-0.2875
43,,0.0025,-0.1025,0.0050,0.0525,-0.2925
44,,0.0050,-0.1013,0.0025,0.0500,-0.1725
45,,-0.0025,-0.1375,-0.05,-0.0425,-0.26
46,,-0.0025,-0.05,-0.045,0.0125,-0.0975
47,,0.0025,-0.0525,-0.0525,0.0075,-0.1525
48,,-0.0025,-0.0475,-0.0525,-0.0925,-0.1775
